           Time[sec]             ao1_Vcmd            ai2_Vgyro           ai3_Vpoten                Wgyro 
        0.0000000000         1.5000000000         1.2130986854         2.5755923097        -0.0259476601 
        0.0050000000         1.5000000000         1.2105497339         2.5679464849        -0.0923470570 
        0.0100000000         1.5000000000         1.2130986854         2.5730437014        -0.0259476601 
        0.0150000000         1.5000000000         1.2080007824         2.5679464849        -0.1587464538 
        0.0200000000         1.5000000000         1.2080007824         2.5755923097        -0.1587464538 
        0.0250000000         1.5000000000         1.2080007824         2.5679464849        -0.1587464538 
        0.0300000000         1.5000000000         1.2232944913         2.5806895262         0.2396499274 
        0.0350000000         1.5000000000         1.2207455399         2.5806895262         0.1732505305 
        0.0400000000         1.5000000000         1.2130986854         2.5755923097        -0.0259476601 
        0.0450000000         1.5000000000         1.2207455399         2.5806895262         0.1732505305 
        0.0500001000         1.5000000000         1.2130986854         2.5730437014        -0.0259476601 
        0.0550000000         1.5000000000         1.2080007824         2.5628492683        -0.1587464538 
        0.0600000000         1.5000000000         1.2181965884         2.5781409179         0.1068511336 
        0.0650001000         1.5000000000         1.2181965884         2.5730437014         0.1068511336 
        0.0700000000         1.5000000000         1.2130986854         2.5755923097        -0.0259476601 
        0.0750000000         1.5000000000         1.2130986854         2.5781409179        -0.0259476601 
        0.0800000000         1.5000000000         1.2003539280         2.5679464849        -0.3579446444 
        0.0850000000         1.5000000000         1.2003539280         2.5679464849        -0.3579446444 
        0.0900000000         1.5000000000         1.1927070735         2.5781409179        -0.5571428351 
        0.0950000000         1.5000000000         0.8970287012         2.5450090105        -8.2594728719 
        0.1000021000         1.5000000000         0.7237000001         2.4991340617       -12.7746318590 
        0.1050000000         1.5000000000         0.7721300783         2.4558077211       -11.5130433185 
        0.1100000000         1.5000000000         0.7644832239         2.4124813806       -11.7122415091 
        0.1150001000         1.5000000000         0.7772279813         2.3666064318       -11.3802445248 
        0.1200000000         1.5000000000         0.7797769328         2.3232800912       -11.3138451279 
        0.1250001000         1.5000000000         0.7823258843         2.2850509672       -11.2474457310 
        0.1300000000         1.5000000000         0.8027174962         2.2519190597       -10.7162505561 
        0.1350000000         1.5000000000         0.8078153991         2.2085927192       -10.5834517623 
        0.1400004000         1.5000000000         0.8154622536         2.1703635952       -10.3842535717 
        0.1450000000         1.5000000000         0.8205601566         2.1193914298       -10.2514547780 
        0.1500000000         1.5000000000         0.8205601566         2.0786136975       -10.2514547780 
        0.1550000000         1.5000000000         0.8231091081         2.0352873570       -10.1850553811 
        0.1600000000         1.5000000000         0.8307559625         2.0098012743        -9.9858571905 
        0.1650000000         1.5000000000         0.8358538655         1.9639263255        -9.8530583968 
        0.1700000000         1.5000000000         0.8511475744         1.9282458098        -9.4546620156 
        0.1750001000         1.5000000000         0.8485986229         1.8849194692        -9.5210614124 
        0.1800001000         1.5000000000         0.8536965259         1.8594333866        -9.3882626187 
        0.1850000000         1.5000000000         0.8536965259         1.8186556543        -9.3882626187 
        0.1900001000         1.5000000000         0.8460496714         1.7727807055        -9.5874608093 
        0.1950000000         1.5000000000         0.8485986229         1.7345515815        -9.5210614124 
        0.2000000000         1.5000000000         0.8536965259         1.7065168905        -9.3882626187 
        0.2050000000         1.5000000000         0.8435007200         1.6580933334        -9.6538602062 
        0.2100001000         1.5000000000         0.8384028170         1.6300586425        -9.7866589999 
        0.2150000000         1.5000000000         0.8256580595         1.5816350854       -10.1186559842 
        0.2200000000         1.5000000000         0.8129133021         1.5485031779       -10.4506529686 
        0.2250000000         1.5000000000         0.8052664477         1.5102740539       -10.6498511592 
        0.2300000000         1.5000000000         0.7925216902         1.4643991051       -10.9818481435 
        0.2350000000         1.5000000000         0.7950706417         1.4338158059       -10.9154487467 
        0.2400001000         1.5000000000         0.7823258843         1.3828436406       -11.2474457310 
        0.2450000000         1.5000000000         0.7874237873         1.3446145166       -11.1146469373 
        0.2500000000         1.5000000000         0.7925216902         1.2987395677       -10.9818481435 
        0.2550000000         1.5000000000         0.7950706417         1.2554132272       -10.9154487467 
        0.2600000000         1.5000000000         0.7925216902         1.2069896701       -10.9818481435 
        0.2650000000         1.5000000000         0.8001685447         1.1687605461       -10.7826499529 
        0.2700000000         1.5000000000         0.8027174962         1.1356286386       -10.7162505561 
        0.2750000000         1.5000000000         0.8078153991         1.0923022981       -10.5834517623 
        0.2800000000         1.5000000000         0.8103643506         1.0566217823       -10.5170523655 
        0.2850000000         1.5000000000         0.8078153991         1.0132954418       -10.5834517623 
        0.2900001000         1.5000000000         0.8129133021         0.9801635343       -10.4506529686 
        0.2950000000         1.5000000000         0.8027174962         0.9291913690       -10.7162505561 
        0.3000001000         1.5000000000         0.7925216902         0.8884136367       -10.9818481435 
        0.3050000000         1.5000000000         0.8001685447         0.8552817292       -10.7826499529 
        0.3100000000         1.5000000000         0.7925216902         0.8094067804       -10.9818481435 
        0.3150001000         1.5000000000         0.7823258843         0.7609832233       -11.2474457310 
        0.3200000000         1.5000000000         0.7848748358         0.7227540993       -11.1810463342 
        0.3250000000         1.5000000000         0.7848748358         0.6717819340       -11.1810463342 
        0.3300000000         1.5000000000         0.7848748358         0.6284555934       -11.1810463342 
        0.3350000000         1.5000000000         0.7797769328         0.5774834281       -11.3138451279 
        0.3400000000         1.5000000000         0.7721300783         0.5290598710       -11.5130433185 
        0.3450000000         1.5000000000         0.7848748358         0.4933793553       -11.1810463342 
        0.3500001000         1.5000000000         0.7797769328         0.4500530147       -11.3138451279 
        0.3550001000         1.5000000000         0.7874237873         0.4067266742       -11.1146469373 
        0.3600000000         1.5000000000         0.7848748358         0.3557545088       -11.1810463342 
        0.3650000000         1.5000000000         0.7976195932         0.3251712096       -10.8490493498 
        0.3700000000         1.5000000000         0.7874237873         0.2741990443       -11.1146469373 
        0.3750000000         1.5000000000         0.7772279813         0.2206782707       -11.3802445248 
        0.3800000000         1.5000000000         0.7746790298         0.1697061053       -11.4466439216 
        0.3850000000         1.5000000000         0.7772279813         0.1314769813       -11.3802445248 
        0.3900000000         1.5000000000         0.7772279813         0.0983450738       -11.3802445248 
        0.3950000000         1.5000000000         0.7695811269         0.0448243002       -11.5794427154 
        0.4000000000         1.5000000000         0.7619342724        -0.0010506486       -11.7786409060 
        0.4050000000         1.5000000000         0.7593853209        -0.0035992569       -11.8450403028 
