           Time[sec]           V_{cmd}[V]          V_{gyro}[V]          \theta[deg] \omega_{gyro}[deg/sec] 
        0.0000000000         0.0000000000         1.2130986854        41.3953070267         1.2706713377 
        0.0050000000         0.2576871872         1.2130986854        41.5788068220         1.2706713377 
        0.0100000000         0.4791829744         1.2156476369        41.5788068220         5.0750765406 
        0.0150000000         0.6333789367         1.2538819092        41.9458064125        62.1411545830 
        0.0200000000         0.6986187099         1.2691756181        42.3128060029        84.9675858000 
        0.0250000000         0.6657395613         1.3125077934        43.0468051839       149.6424742481 
        0.0300000000         0.5393592699         1.3227035993        43.0468051839       164.8600950594 
        0.0350000000         0.3372275715         1.3405462597        43.9643041602       191.4909314792 
        0.0400000000         0.0877332631         1.3481931142        45.4323025222       202.9041470877 
        0.0450000000        -0.1740829210         1.3532910171        46.1663017032       210.5129574934 
        0.0500000000        -0.4114496769         1.3328994052        47.2673004747       180.0777158707 
        0.0550000000        -0.5910295481         1.2844693270        47.4508002699       107.7940170170 
        0.0600000000        -0.6876010756         1.2513329577        47.8177998604        58.3367493802 
        0.0650000000        -0.6876010754         1.2130986854        48.1847994509         1.2706713377 
        0.0700000000        -0.5910295479         1.1978049765        48.0012996557       -21.5557598792 
        0.0750000000        -0.4114496763         1.0856511111        47.6343000652      -188.9495888037 
        0.0800000000        -0.1740829206         1.0601615963        46.5333012937      -226.9936408320 
        0.0850000000         0.0877332635         1.1111406260        45.7993021127      -150.9055367754 
        0.0900000000         0.3372275722         1.1264343349        45.4323025222      -128.0791055584 
        0.0950000000         0.5393592702         1.1519238497        44.6983033412       -90.0350535302 
        0.1000000000         0.6657395614         1.1927070735        43.9643041602       -29.1645702849 
        0.1050000000         0.6986187099         1.2207455399        43.7808043649        12.6838869462 
        0.1100000000         0.6333789366         1.2105497339        44.3313037507        -2.5337338651 
        0.1150000000         0.4791829742         1.2385882003        44.3313037507        39.3147233660 
        0.1200000000         0.2576871865         1.4297595617        46.1663017032       324.6451135782 
        0.1250000000         0.0000000000         1.3481931142        46.1663017032       202.9041470877 
        0.1300000000        -0.2576871872         1.3303504538        47.4508002699       176.2733106679 
        0.1350000000        -0.4791829744         1.2972140844        48.1847994509       126.8160430311 
        0.1400000000        -0.6333789367         1.2640777151        48.7352988366        77.3587753943 
        0.1450000000        -0.6986187099         1.2283923943        48.7352988366        24.0971025547 
        0.1500000000        -0.6657395613         1.2029028795        48.9187986319       -13.9469494736 
        0.1550000000        -0.5393592699         1.2080007824        49.4692980176        -6.3381390679 
        0.1600000000        -0.3372275715         1.1085916745        48.3682992461      -154.7099419783 
        0.1650000000        -0.0877332631         1.0423189359        47.2673004747      -253.6244772518 
        0.1700000000         0.1740829210         1.1009448200        46.3498014984      -166.1231575867 
        0.1750000000         0.4114496769         1.1187874804        45.4323025222      -139.4923211669 
        0.1800000000         0.5910295481         1.1468259468        44.6983033412       -97.6438639358 
        0.1850000000         0.6876010756         1.2003539280        44.8818031364       -17.7513546764 
        0.1900000000         0.6876010754         1.2334902973        45.4323025222        31.7059129604 
        0.1950000000         0.5910295479         1.2283923943        44.8818031364        24.0971025547 
        0.2000000000         0.4114496763         1.3889763379        45.7993021127       263.7746303330 
        0.2050000000         0.1740829206         1.3303504538        46.1663017032       176.2733106679 
        0.2100001000        -0.0877384998         1.3303504538        47.2673004747       176.2733106679 
        0.2150000000        -0.3372275722         1.3532910171        48.7352988366       210.5129574934 
        0.2200000000        -0.5393592702         1.3074098904        49.8362976081       142.0336638424 
        0.2250000000        -0.6657395614         1.2793714240        50.3867969939       100.1852066113 
        0.2300000000        -0.6986187099         1.2436861032        50.7537965844        46.9235337717 
        0.2350000000        -0.6333789366         1.2003539280        50.3867969939       -17.7513546764 
        0.2400001000        -0.4791791267         1.0805532081        49.6527978129      -196.5583992094 
        0.2450000000        -0.2576871865         1.0729063537        48.3682992461      -207.9716148179 
        0.2500000000        -0.0000000000         1.1009448200        47.6343000652      -166.1231575867 
        0.2550000000         0.2576871872         1.0907490141        47.2673004747      -181.3407783981 
        0.2600000000         0.4791829744         1.1136895775        46.9003008842      -147.1011315726 
        0.2650000000         0.6333789367         1.1519238497        46.3498014984       -90.0350535302 
        0.2700000000         0.6986187099         1.1825112676        45.9828019079       -44.3821910962 
        0.2750000000         0.6657395613         1.2156476369        45.7993021127         5.0750765406 
        0.2800000000         0.5393592699         1.2895672300        46.1663017032       115.4028274226 
        0.2850000000         0.3372275715         1.3787805320        46.3498014984       248.5570095216 
        0.2900000000         0.0877332631         1.3150567448        47.2673004747       153.4468794509 
        0.2950000000        -0.1740829210         1.3379973082        47.6343000652       187.6865262764 
        0.3000000000        -0.4114496769         1.3405462597        49.2857982224       191.4909314792 
        0.3050000000        -0.5910295481         1.2946651330        49.8362976081       123.0116378283 
        0.3100000000        -0.6876010756         1.2691756181        50.7537965844        84.9675858000 
        0.3150000000        -0.6876010754         1.2258434428        51.1207961749        20.2926973519 
        0.3200000000        -0.5910295479         1.1901581220        50.3867969939       -32.9689754877 
        0.3250000000        -0.4114496763         1.0448678873        49.6527978129      -249.8200720490 
        0.3300000000        -0.1740829206         1.1187874804        48.9187986319      -139.4923211669 
        0.3350000000         0.0877332635         1.0856511111        47.8177998604      -188.9495888037 
        0.3400000000         0.3372275722         1.1009448200        47.6343000652      -166.1231575867 
        0.3450000000         0.5393592702         1.1442769953        46.9003008842      -101.4482691387 
        0.3500001000         0.6657411924         1.1723154616        46.3498014984       -59.5998119075 
        0.3550000000         0.6986187099         1.1927070735        45.7993021127       -29.1645702849 
        0.3600000000         0.6333789366         1.2283923943        45.2488027269        24.0971025547 
        0.3650000000         0.4791829742         1.3736826290        45.9828019079       240.9481991160 
        0.3700000000         0.2576871865         1.3379973082        47.4508002699       187.6865262764 
        0.3750000000         0.0000000000         1.3430952112        48.9187986319       195.2953366820 
        0.3800000000        -0.2576871872         1.3532910171        48.9187986319       210.5129574934 
        0.3850000000        -0.4791829744         1.3176056963        50.3867969939       157.2512846537 
        0.3900000000        -0.6333789367         1.2921161815        51.6712955606       119.2072326254 
        0.3950000000        -0.6986187099         1.2538819092        51.3042959701        62.1411545830 
        0.4000000000        -0.6657395613         1.2054518309        51.1207961749       -10.1425442707 
        0.4050000000        -0.5393592699         1.1570217527        51.3042959701       -82.4262431245 
        0.4100000000        -0.3372275715         1.0576126448        50.9372963796      -230.7980460348 
        0.4150000000        -0.0877332631         1.1213364319        50.2032971986      -135.6879159641 
        0.4200001000         0.1740880332         1.0882000626        48.9187986319      -185.1451836009 
        0.4250000000         0.4114496769         1.1136895775        48.1847994509      -147.1011315726 
        0.4300000000         0.5910295481         1.1468259468        47.4508002699       -97.6438639358 
