           Time[sec]           V_{cmd}[V]          V_{gyro}[V]          \theta[deg] \omega_{gyro}[deg/sec] 
        0.0000000000         2.5000000000         1.2105497339       179.0201534631      1806.7906476418 
        0.0050000000         2.5000000000         1.2207455399       179.3871530536      1822.0082684531 
        0.0100001000         2.5000000000         1.2054518309       178.4696540773      1799.1818372361 
        0.0150000000         2.5000000000         1.2130986854       178.8366536678      1810.5950528446 
        0.0200001000         2.5000000000         1.2130986854       178.8366536678      1810.5950528446 
        0.0250001000         2.5000000000         1.2105497339       179.0201534631      1806.7906476418 
        0.0300000000         2.5000000000         1.2207455399       179.3871530536      1822.0082684531 
        0.0350065000         2.5000000000         1.2029028795       178.6531538726      1795.3774320333 
        0.0400001000         2.5000000000         1.2054518309       178.4696540773      1799.1818372361 
        0.0450000000         2.5000000000         1.2130986854       179.0201534631      1810.5950528446 
        0.0500001000         2.5000000000         1.2130986854       179.0201534631      1810.5950528446 
        0.0550000000         2.5000000000         1.2029028795       178.4696540773      1795.3774320333 
        0.0600000000         2.5000000000         1.2105497339       178.2861542821      1806.7906476418 
        0.0650001000         2.5000000000         1.2130986854       179.0201534631      1810.5950528446 
        0.0700000000         2.5000000000         1.2130986854       178.4696540773      1810.5950528446 
        0.0750000000         2.5000000000         1.2080007824       178.4696540773      1802.9862424390 
        0.0800001000         2.5000000000         1.2207455399       179.3871530536      1822.0082684531 
        0.0850000000         2.5000000000         1.2156476369       179.3871530536      1814.3994580474 
        0.0900001000         2.5000000000         1.2130986854       178.2861542821      1810.5950528446 
        0.0950001000         2.5000000000         1.2130986854       178.8366536678      1810.5950528446 
        0.1000000000         2.5000000000         1.2029028795       178.8366536678      1795.3774320333 
        0.1050001000         2.5000000000         1.2054518309       178.4696540773      1799.1818372361 
        0.1100000000         2.5000000000         1.2181965884       179.3871530536      1818.2038632503 
        0.1150000000         2.5000000000         1.2054518309       178.4696540773      1799.1818372361 
        0.1200001000         2.5000000000         1.2054518309       178.2861542821      1799.1818372361 
        0.1250000000         2.5000000000         1.2130986854       179.0201534631      1810.5950528446 
        0.1300000000         2.5000000000         1.2105497339       178.8366536678      1806.7906476418 
        0.1350001000         2.5000000000         1.2156476369       178.8366536678      1814.3994580474 
        0.1400000000         2.5000000000         1.2080007824       179.0201534631      1802.9862424390 
        0.1450001000         2.5000000000         1.2105497339       179.3871530536      1806.7906476418 
        0.1500001000         2.5000000000         1.2105497339       179.0201534631      1806.7906476418 
        0.1550000000         2.5000000000         1.2130986854       178.8366536678      1810.5950528446 
        0.1600001000         2.5000000000         1.2181965884       179.3871530536      1818.2038632503 
        0.1650001000         2.5000000000         1.2054518309       178.4696540773      1799.1818372361 
        0.1700000000         2.5000000000         1.2181965884       179.5706528488      1818.2038632503 
        0.1750001000         2.5000000000         1.2207455399       179.0201534631      1822.0082684531 
        0.1800001000         2.5000000000         1.2130986854       179.0201534631      1810.5950528446 
        0.1850000000         2.5000000000         1.2181965884       179.5706528488      1818.2038632503 
        0.1900001000         2.5000000000         1.2105497339       178.8366536678      1806.7906476418 
        0.1950000000         2.5000000000         1.2105497339       179.0201534631      1806.7906476418 
        0.2000000000         2.5000000000         1.2105497339       178.8366536678      1806.7906476418 
        0.2050001000         2.5000000000         1.2130986854       178.4696540773      1810.5950528446 
        0.2100001000         2.5000000000         1.2130986854       179.0201534631      1810.5950528446 
        0.2150001000         2.5000000000         1.2080007824       179.0201534631      1802.9862424390 
        0.2200001000         2.5000000000         1.2105497339       178.4696540773      1806.7906476418 
        0.2250000000         2.5000000000         1.2130986854       179.0201534631      1810.5950528446 
        0.2300001000         2.5000000000         1.2156476369       179.0201534631      1814.3994580474 
        0.2350000000         2.5000000000         1.2156476369       178.8366536678      1814.3994580474 
        0.2400001000         2.5000000000         1.2105497339       178.8366536678      1806.7906476418 
        0.2450001000         2.5000000000         1.2130986854       179.0201534631      1810.5950528446 
        0.2500000000         2.5000000000         1.2130986854       178.8366536678      1810.5950528446 
        0.2550000000         2.5000000000         1.2130986854       178.8366536678      1810.5950528446 
        0.2600001000         2.5000000000         1.2156476369       179.5706528488      1814.3994580474 
        0.2650000000         2.5000000000         1.2080007824       178.4696540773      1802.9862424390 
        0.2700001000         2.5000000000         1.2130986854       179.0201534631      1810.5950528446 
        0.2750001000         2.5000000000         1.2054518309       178.2861542821      1799.1818372361 
        0.2800000000         2.5000000000         1.2130986854       178.6531538726      1810.5950528446 
