           Time[sec]           V_{cmd}[V]          V_{gyro}[V]          \theta[deg] \omega_{gyro}[deg/sec] 
        0.0000000000         1.2500000000         1.2105497339        92.7885488351        -4.2076721543 
        0.0050000000        -0.6443649225         1.2156476369        93.3390482208         3.4011382513 
        0.0100000000        -0.6481878349         1.2181965884        93.7060478113         7.2055434542 
        0.0150000000        -0.6507364431         1.2232944913        93.7060478113        14.8143538598 
        0.0200000000        -0.6507364431         1.2080007824        92.7885488351        -8.0120773572 
        0.0250000000        -0.6443649225         1.1544728012        93.1555484256       -87.9045866166 
        0.0300000000        -0.6469135307         1.0040846636        92.4215492446      -312.3644935835 
        0.0350000000        -0.6418163142         1.0882000626        90.5865512921      -186.8191218901 
        0.0400000000        -0.6290732729         0.9964378091        89.1185529301      -323.7777091920 
        0.0450000000        -0.6188788398         1.0295741784        88.2010539539      -274.3204415552 
        0.0500000000        -0.6125073191         0.9505566824        86.1825562061      -392.2570028429 
        0.0550000000        -0.5984899737         1.0066336150        85.6320568204      -308.5600883807 
        0.0600000000        -0.5946670613         0.9582035368        83.4300592774      -380.8437872344 
        0.0650000000        -0.5793754116         0.9887909546        81.7785611202      -335.1909248005 
        0.0700000000        -0.5679066744         0.9276161190        79.2095639867      -426.4966496684 
        0.0750000000        -0.5500664166         0.9556545853        78.1085652152      -384.6481924373 
        0.0800000000        -0.5424205918         0.9531056338        75.7230678770      -388.4525976401 
        0.0850000000        -0.5258546380         0.9403608764        73.7045701292      -407.4746236542 
        0.0900000000        -0.5118372926         0.9454587794        72.4200715625      -399.8658132486 
        0.0950000000        -0.5029171636         0.9148713616        70.0345742243      -445.5186756825 
        0.1000000000        -0.4863512099         0.9454587794        67.6490768860      -399.8658132486 
        0.1050000000        -0.4697852562         0.9199692645        65.2635795478      -437.9098652769 
        0.1100017000        -0.4532193024         0.9148713616        63.4285815953      -445.5186756825 
        0.1150000000        -0.4404762611         0.9250671675        61.0430842571      -430.3010548712 
        0.1200000000        -0.4239103073         0.9250671675        59.7585856903      -430.3010548712 
        0.1250000000        -0.4149901784         0.9301650705        57.1895885569      -422.6922444655 
        0.1300000000        -0.3971499205         0.9352629734        55.5380903996      -415.0834340599 
        0.1350000000        -0.3856811833         0.9327140220        53.1525930614      -418.8878392627 
        0.1400000000        -0.3691152296         0.9148713616        50.9505955184      -445.5186756825 
        0.1450000000        -0.3538235800         0.9403608764        49.2990973612      -407.4746236542 
        0.1500000000        -0.3423548428         0.9148713616        46.7301002277      -445.5186756825 
        0.1550000000        -0.3245145849         0.9225182160        44.1611030942      -434.1054600740 
        0.1600000000        -0.3066743270         0.9352629734        42.5096049370      -415.0834340599 
        0.1650000000        -0.2952055898         0.9276161190        40.4911071892      -426.4966496684 
