           Time[sec]           V_{cmd}[V]          V_{gyro}[V]          \theta[deg] \omega_{gyro}[deg/sec] 
        0.0000000000        -0.2000000000         1.2130986854      -120.0712136532        -0.3430826335 
        0.0050000000        -0.2000000000         1.2181965884      -119.1537146770         7.2657277721 
        0.0100000000        -0.2000000000         1.2130986854      -119.5207142675        -0.3430826335 
        0.0150000000        -0.2000000000         1.2207455399      -119.1537146770        11.0701329750 
        0.0200000000        -0.2000000000         1.2181965884      -119.1537146770         7.2657277721 
        0.0250000000        -0.2000000000         1.2105497339      -119.1537146770        -4.1474878364 
        0.0300000000        -0.2000000000         1.0729063537      -120.6217130389      -209.5853687891 
        0.0350000000        -0.2000000000         1.1493748983      -120.2547134484       -95.4532127043 
        0.0400000000        -0.2000000000         1.1595707042      -120.8052128342       -80.2355918929 
        0.0450000000        -0.2000000000         1.0958469171      -121.1722124247      -175.3457219637 
        0.0500000000        -0.2000000000         1.1391790923      -121.9062116057      -110.6708335156 
        0.0550000000        -0.2000000000         1.1085916745      -123.1907101724      -156.3236959495 
        0.0600000000        -0.2000000000         1.1111406260      -123.9247093534      -152.5192907467 
        0.0650000000        -0.2000000000         1.1034937715      -125.2092079202      -163.9325063552 
        0.0700000000        -0.2000000000         1.1009448200      -125.7597073059      -167.7369115580 
        0.0750000000        -0.2000000000         1.1060427230      -126.3102066916      -160.1281011524 
        0.0800000000        -0.2000000000         1.1289832864      -126.4937064869      -125.8884543269 
        0.0850000000        -0.2000000000         1.0882000626      -128.1452046441      -186.7589375722 
        0.0900000000        -0.2000000000         1.0983958685      -129.0627036204      -171.5413167608 
        0.0950000000        -0.2000000000         1.1034937715      -129.4297032109      -163.9325063552 
        0.1000000000        -0.2000000000         1.0983958685      -130.3472021871      -171.5413167608 
        0.1050000000        -0.2000000000         1.1060427230      -131.0812013681      -160.1281011524 
        0.1100000000        -0.2000000000         1.0780042567      -132.3656999348      -201.9765583835 
        0.1150000000        -0.2000000000         1.0932979656      -132.7326995253      -179.1501271665 
