           Time[sec]           V_{cmd}[V]          V_{gyro}[V]          \theta[deg] \omega_{gyro}[deg/sec] 
        0.0000000000         2.6900000000         1.2156476369       107.4552333162         3.5837497011 
        0.0050000000         2.6900000000         1.2130986854       106.9047339304        -0.2206555018 
        0.0100000000         2.6900000000         1.2207455399       107.4552333162        11.1925601067 
        0.0150000000         2.6900000000         1.2130986854       106.5377343399        -0.2206555018 
        0.0200000000         2.6900000000         1.2207455399       107.0882337257        11.1925601067 
        0.0250000000         2.6900000000         1.2105497339       106.9047339304        -4.0250607046 
        0.0300000000         2.6900000000         1.2156476369       107.2717335209         3.5837497011 
        0.0350000000         2.6900000000         1.2080007824       106.5377343399        -7.8294659074 
        0.0400000000         2.6900000000         1.2130986854       107.0882337257        -0.2206555018 
        0.0450000000         2.6900000000         1.2130986854       106.1707347494        -0.2206555018 
        0.0500000000         2.6900000000         1.2156476369       106.9047339304         3.5837497011 
        0.0550000000         2.6900000000         1.2080007824       106.3542345447        -7.8294659074 
        0.0600000000         2.6900000000         1.2411371518       107.0882337257        41.6278017293 
        0.0650000000         2.6900000000         1.2309413458       106.7212341352        26.4101809180 
        0.0700032000         2.6900000000         1.2258434428       107.8222329067        18.8013705124 
        0.0750000000         2.6900000000         1.2258434428       107.0882337257        18.8013705124 
        0.0800000000         2.6900000000         1.2334902973       108.0057327019        30.2145861209 
        0.0850000000         2.6900000000         1.2130986854       107.6387331114        -0.2206555018 
        0.0900000000         2.6900000000         1.2207455399       107.4552333162        11.1925601067 
        0.0950000000         2.6900000000         1.2207455399       108.3727322924        11.1925601067 
        0.1000000000         2.6900000000         1.2130986854       107.4552333162        -0.2206555018 
        0.1050000000         2.6900000000         1.2130986854       108.1892324972        -0.2206555018 
        0.1100000000         2.6900000000         1.2105497339       107.6387331114        -4.0250607046 
        0.1150000000         2.6900000000         1.2080007824       107.4552333162        -7.8294659074 
        0.1200000000         2.6900000000         1.2207455399       108.1892324972        11.1925601067 
        0.1250000000         2.6900000000         1.2130986854       107.8222329067        -0.2206555018 
        0.1300000000         2.6900000000         1.2130986854       107.8222329067        -0.2206555018 
        0.1350000000         2.6900000000         1.2130986854       107.8222329067        -0.2206555018 
        0.1400000000         2.6900000000         1.2130986854       107.8222329067        -0.2206555018 
        0.1450000000         2.6900000000         1.2207455399       108.5562320877        11.1925601067 
        0.1500000000         2.6900000000         1.2130986854       107.8222329067        -0.2206555018 
        0.1550000000         2.6900000000         1.2232944913       108.3727322924        14.9969653095 
        0.1600000000         2.6900000000         1.2130986854       108.0057327019        -0.2206555018 
        0.1650000000         2.6900000000         1.2130986854       107.8222329067        -0.2206555018 
        0.1700000000         2.6900000000         1.2181965884       108.3727322924         7.3881549039 
        0.1750000000         2.6900000000         1.2080007824       107.2717335209        -7.8294659074 
        0.1800001000         2.6900000000         1.2207455399       108.3727322924        11.1925601067 
        0.1850000000         2.6900000000         1.2130986854       107.8222329067        -0.2206555018 
        0.1900000000         2.6900000000         1.2130986854       107.8222329067        -0.2206555018 
        0.1950000000         2.6900000000         1.2232944913       108.5562320877        14.9969653095 
        0.2000000000         2.6900000000         1.2181965884       108.3727322924         7.3881549039 
        0.2050000000         2.6900000000         1.2130986854       107.8222329067        -0.2206555018 
        0.2100001000         2.6900000000         1.2130986854       107.8222329067        -0.2206555018 
        0.2150000000         2.6900000000         1.2080007824       107.4552333162        -7.8294659074 
        0.2200000000         2.6900000000         1.2181965884       107.8222329067         7.3881549039 
        0.2250000000         2.6900000000         1.2130986854       107.8222329067        -0.2206555018 
        0.2300000000         2.6900000000         1.2130986854       107.4552333162        -0.2206555018 
        0.2350000000         2.6900000000         1.2207455399       108.1892324972        11.1925601067 
        0.2400001000         2.6900000000         1.2130986854       108.5562320877        -0.2206555018 
        0.2450000000         2.6900000000         1.2080007824       107.6387331114        -7.8294659074 
        0.2500000000         2.6900000000         1.2080007824       107.8222329067        -7.8294659074 
        0.2550000000         2.6900000000         1.2130986854       108.0057327019        -0.2206555018 
        0.2600000000         2.6900000000         1.2130986854       108.5562320877        -0.2206555018 
        0.2650000000         2.6900000000         1.2080007824       107.4552333162        -7.8294659074 
        0.2700000000         2.6900000000         1.2130986854       107.8222329067        -0.2206555018 
        0.2750000000         2.6900000000         1.2105497339       107.8222329067        -4.0250607046 
        0.2800000000         2.6900000000         1.2054518309       107.8222329067       -11.6338711103 
        0.2850000000         2.6900000000         1.2080007824       107.6387331114        -7.8294659074 
        0.2900001000         2.6900000000         1.2130986854       107.6387331114        -0.2206555018 
        0.2950000000         2.6900000000         1.2130986854       108.0057327019        -0.2206555018 
        0.3000000000         2.6900000000         1.2080007824       107.6387331114        -7.8294659074 
        0.3050000000         2.6900000000         1.2207455399       108.1892324972        11.1925601067 
        0.3100000000         2.6900000000         1.2105497339       107.8222329067        -4.0250607046 
        0.3150000000         2.6900000000         1.2181965884       107.8222329067         7.3881549039 
        0.3200000000         2.6900000000         1.2156476369       108.3727322924         3.5837497011 
        0.3250000000         2.6900000000         1.2080007824       107.6387331114        -7.8294659074 
        0.3300000000         2.6900000000         1.2130986854       107.8222329067        -0.2206555018 
        0.3350000000         2.6900000000         1.2054518309       107.8222329067       -11.6338711103 
        0.3400000000         2.6900000000         1.2130986854       107.6387331114        -0.2206555018 
        0.3450000000         2.6900000000         1.2207455399       108.3727322924        11.1925601067 
        0.3500001000         2.6900000000         1.2130986854       107.8222329067        -0.2206555018 
        0.3550001000         2.6900000000         1.2130986854       107.8222329067        -0.2206555018 
        0.3600000000         2.6900000000         1.2207455399       107.8222329067        11.1925601067 
        0.3650000000         2.6900000000         1.2207455399       108.3727322924        11.1925601067 
        0.3700000000         2.6900000000         1.2130986854       107.6387331114        -0.2206555018 
        0.3750000000         2.6900000000         1.2130986854       108.3727322924        -0.2206555018 
        0.3800000000         2.6900000000         1.2080007824       107.4552333162        -7.8294659074 
        0.3850000000         2.6900000000         1.2130986854       107.8222329067        -0.2206555018 
        0.3900000000         2.6900000000         1.2105497339       108.0057327019        -4.0250607046 
        0.3950000000         2.6900000000         1.2130986854       107.4552333162        -0.2206555018 
        0.4000000000         2.6900000000         1.2130986854       108.5562320877        -0.2206555018 
        0.4050000000         2.6900000000         1.2080007824       107.4552333162        -7.8294659074 
        0.4100000000         2.6900000000         1.2130986854       107.8222329067        -0.2206555018 
        0.4150001000         2.6900000000         1.2130986854       107.8222329067        -0.2206555018 
        0.4200001000         2.6900000000         1.2029028795       107.4552333162       -15.4382763131 
        0.4250000000         2.6900000000         1.2207455399       108.5562320877        11.1925601067 
        0.4300000000         2.6900000000         1.2130986854       107.8222329067        -0.2206555018 
        0.4350000000         2.6900000000         1.2054518309       107.4552333162       -11.6338711103 
        0.4400000000         2.6900000000         1.2207455399       108.3727322924        11.1925601067 
        0.4450000000         2.6900000000         1.2105497339       108.3727322924        -4.0250607046 
        0.4500000000         2.6900000000         1.2054518309       107.4552333162       -11.6338711103 
        0.4550000000         2.6900000000         1.2130986854       108.5562320877        -0.2206555018 
        0.4600000000         2.6900000000         1.2054518309       107.8222329067       -11.6338711103 
        0.4650000000         2.6900000000         1.2130986854       107.8222329067        -0.2206555018 
        0.4700000000         2.6900000000         1.2054518309       107.4552333162       -11.6338711103 
        0.4750001000         2.6900000000         1.2130986854       107.8222329067        -0.2206555018 
        0.4800001000         2.6900000000         1.2130986854       107.8222329067        -0.2206555018 
        0.4850000000         2.6900000000         1.2130986854       107.8222329067        -0.2206555018 
        0.4900000000         2.6900000000         1.2130986854       108.3727322924        -0.2206555018 
        0.4950000000         2.6900000000         1.2105497339       107.4552333162        -4.0250607046 
        0.5000000000         2.6900000000         1.2207455399       108.3727322924        11.1925601067 
        0.5050000000         2.6900000000         1.2130986854       108.0057327019        -0.2206555018 
        0.5100000000         2.6900000000         1.2181965884       108.3727322924         7.3881549039 
        0.5150000000         2.6900000000         1.2054518309       107.4552333162       -11.6338711103 
        0.5200000000         2.6900000000         1.2156476369       108.0057327019         3.5837497011 
        0.5250000000         2.6900000000         1.2130986854       107.8222329067        -0.2206555018 
        0.5300000000         2.6900000000         1.2105497339       107.4552333162        -4.0250607046 
        0.5350000000         2.6900000000         1.2207455399       107.8222329067        11.1925601067 
        0.5400000000         2.6900000000         1.2130986854       107.8222329067        -0.2206555018 
        0.5450000000         2.6900000000         1.2080007824       107.4552333162        -7.8294659074 
        0.5500000000         2.6900000000         1.2156476369       108.5562320877         3.5837497011 
