           Time[sec]           V_{cmd}[V]          V_{gyro}[V]          \theta[deg] \omega_{gyro}[deg/sec] 
        0.0000000000         0.0000000000         1.2181965884        10.0301411780         7.4033725247 
        0.0050001000         0.0017593252         1.2181965884        10.0301411780         7.4033725247 
        0.0100001000         0.0035186041         1.2156476369         9.4796417923         3.5989673219 
        0.0150001000         0.0052778608         1.2080007824         9.6631415875        -7.8142482866 
        0.0200001000         0.0070370842         1.2054518309         9.6631415875       -11.6186534894 
        0.0250001000         0.0087962631         1.2105497339        10.0301411780        -4.0098430838 
        0.0300001000         0.0105553864         1.2130986854        10.0301411780        -0.2054378810 
        0.0350001000         0.0123144431         1.2283923943        10.3971407685        22.6209933360 
        0.0400001000         0.0140734220         1.2309413458         9.8466413827        26.4253985388 
        0.0450001000         0.0158323120         1.1850602191        10.0301411780       -42.0538951121 
        0.0500001000         0.0175911020         1.2232944913        10.3971407685        15.0121829304 
        0.0550000000         0.0193497457         1.2130986854        10.0301411780        -0.2054378810 
        0.0600001000         0.0211083375         1.2130986854         9.1126422018        -0.2054378810 
        0.0650001000         0.0228667608         1.2080007824         9.8466413827        -7.8142482866 
        0.0700001000         0.0246250397         1.2130986854        10.0301411780        -0.2054378810 
        0.0750001000         0.0263831630         1.2207455399        11.1311399495        11.2077777275 
        0.0800001000         0.0281411197         1.2105497339        10.7641403590        -4.0098430838 
        0.0850001000         0.0298988986         1.1748644131        10.0301411780       -57.2715159234 
        0.0900001000         0.0316564887         1.2742735211        10.2136409732        91.1002869869 
        0.0950001000         0.0334138788         1.2411371518        10.7641403590        41.6430193502 
        0.1000001000         0.0351710579         1.2105497339        11.3146397447        -4.0098430838 
        0.1050001000         0.0369280148         1.2360392488        10.5806405637        34.0342089445 
        0.1100001000         0.0386847384         1.2462350547        10.2136409732        49.2518297558 
        0.1150001000         0.0404412177         1.2615287636        11.4981395400        72.0782609728 
        0.1200001000         0.0421974415         1.2334902973        11.1311399495        30.2298037417 
        0.1250000000         0.0439533637         1.2360392488        11.6816393352        34.0342089445 
        0.1300001000         0.0457090784         1.2411371518        12.4156385162        41.6430193502 
        0.1350001000         0.0474644694         1.2309413458        13.1496376972        26.4253985388 
        0.1400001000         0.0492195605         1.2411371518        12.9661379020        41.6430193502 
        0.1450001000         0.0509743407         1.2258434428        12.0486389257        18.8165881332 
        0.1500001000         0.0527287990         1.2283923943        12.0486389257        22.6209933360 
        0.1550001000         0.0544829241         1.2436861032        12.5991383115        45.4474245530 
        0.1600001000         0.0562367052         1.2487840062        12.4156385162        53.0562349587 
        0.1650001000         0.0579901310         1.2309413458        12.9661379020        26.4253985388 
        0.1700001000         0.0597431905         1.2411371518        12.9661379020        41.6430193502 
        0.1750001000         0.0614958726         1.2232944913        13.3331374925        15.0121829304 
        0.1800001000         0.0632481663         1.2334902973        13.1496376972        30.2298037417 
        0.1850001000         0.0650000605         1.2334902973        13.1496376972        30.2298037417 
        0.1900001000         0.0667515441         1.2283923943        13.7001370830        22.6209933360 
        0.1950001000         0.0685026061         1.2334902973        14.2506364687        30.2298037417 
        0.2000001000         0.0702532354         1.2640777151        14.0671366735        75.8826661756 
        0.2050001000         0.0720034209         1.2334902973        14.4341362640        30.2298037417 
        0.2100001000         0.0737531516         1.2283923943        14.2506364687        22.6209933360 
        0.2150001000         0.0755024165         1.2462350547        14.0671366735        49.2518297558 
        0.2200001000         0.0772512044         1.2334902973        14.4341362640        30.2298037417 
        0.2250001000         0.0789995044         1.2360392488        15.7186348307        34.0342089445 
        0.2300001000         0.0807473053         1.2334902973        15.1681354450        30.2298037417 
        0.2350001000         0.0824945963         1.2411371518        12.5991383115        41.6430193502 
        0.2400001000         0.0842413661         1.2411371518        16.0856344212        41.6430193502 
        0.2450001000         0.0859876038         1.2513329577        15.1681354450        56.8606401615 
        0.2500000000         0.0877332635         1.2538819092        14.9846356497        60.6650453643 
        0.2550001000         0.0894784388         1.2768224726        16.4526340117        94.9046921898 
        0.2600001000         0.0912230140         1.2615287636        16.8196336022        72.0782609728 
        0.2650001000         0.0929670130         1.2589798122        16.6361338069        68.2738557700 
        0.2700001000         0.0947104248         1.2538819092        17.1866331927        60.6650453643 
        0.2750001000         0.0964532383         1.2640777151        17.5536327832        75.8826661756 
        0.2800001000         0.0981954426         1.2717245696        18.1041321689        87.2958817841 
        0.2850001000         0.0999370266         1.2691756181        17.9206323737        83.4914765813 
        0.2900001000         0.1016779794         1.2717245696        15.9021346259        87.2958817841 
        0.2950001000         0.1034182899         1.2768224726        19.0216311452        94.9046921898 
        0.3000001000         0.1051579472         1.2691756181        19.2051309404        83.4914765813 
        0.3050000000         0.1068969054         1.2819203755        20.1226299167       102.5135025954 
        0.3100001000         0.1086352580         1.2768224726        19.9391301214        94.9046921898 
        0.3150001000         0.1103728896         1.2742735211        20.6731293024        91.1002869869 
        0.3200001000         0.1121098241         1.2742735211        21.4071284834        91.1002869869 
        0.3250001000         0.1138460504         1.2538819092        21.2236286882        60.6650453643 
        0.3300001000         0.1155815575         1.2793714240        21.9576278691        98.7090973926 
        0.3350001000         0.1173163346         1.2921161815        23.0586266406       117.7311234068 
        0.3400001000         0.1190503707         1.2997630359        23.4256262311       129.1443390152 
        0.3450001000         0.1207836548         1.2946651330        23.6091260264       121.5355286096 
        0.3500001000         0.1225161759         1.2819203755        24.1596254121       102.5135025954 
        0.3550001000         0.1242479232         1.3074098904        24.7101247979       140.5575546237 
        0.3600001000         0.1259788856         1.2946651330        25.4441239789       121.5355286096 
        0.3650001000         0.1277090523         1.3023119874        26.1781231599       132.9487442181 
        0.3700001000         0.1294384124         1.2997630359        26.7286225456       129.1443390152 
        0.3750000000         0.1311669202         1.2895672300        26.3616229551       113.9267182039 
        0.3800001000         0.1328946687         1.2895672300        25.8111235694       113.9267182039 
        0.3850001000         0.1346215431         1.2997630359        27.4626217266       129.1443390152 
        0.3900001000         0.1363475672         1.2972140844        29.1141198838       125.3399338124 
        0.3950001000         0.1380727301         1.3048609389        28.1966209076       136.7531494209 
        0.4000001000         0.1397970208         1.3125077934        30.5821182458       148.1663650294 
        0.4050001000         0.1415204285         1.2946651330        30.5821182458       121.5355286096 
        0.4100001000         0.1432429423         1.3074098904        32.2336164031       140.5575546237 
        0.4150001000         0.1449645513         1.2997630359        32.2336164031       129.1443390152 
        0.4200001000         0.1466852446         1.2972140844        30.3986184506       125.3399338124 
        0.4250001000         0.1484050113         1.2997630359        33.1511153793       129.1443390152 
        0.4300000000         0.1501238063         1.3048609389        33.3346151746       136.7531494209 
        0.4350001000         0.1518417218         1.2921161815        34.2521141508       117.7311234068 
        0.4400001000         0.1535586437         1.2921161815        34.9861133318       117.7311234068 
        0.4450001000         0.1552745957         1.2972140844        34.9861133318       125.3399338124 
        0.4500001000         0.1569895670         1.2921161815        35.5366127175       117.7311234068 
        0.4550001000         0.1587035465         1.2972140844        36.6376114890       125.3399338124 
        0.4600001000         0.1604165237         1.2946651330        36.6376114890       121.5355286096 
        0.4650001000         0.1621284875         1.3278015023        37.9221100558       170.9927962464 
        0.4700001000         0.1638394272         1.2972140844        38.6561092368       125.3399338124 
        0.4750001000         0.1655493321         1.2921161815        39.3901084178       117.7311234068 
        0.4800001000         0.1672581913         1.3099588419        40.6746069845       144.3619598266 
        0.4850001000         0.1689659939         1.3176056963        42.6931047322       155.7751754350 
        0.4900001000         0.1706727293         1.2717245696        41.0416065750        87.2958817841 
        0.4950001000         0.1723783866         1.3278015023        42.3261051417       170.9927962464 
        0.5000000000         0.1740829210         1.3099588419        43.0601043227       144.3619598266 
        0.5050001000         0.1757864240         1.3099588419        43.4271039132       144.3619598266 
        0.5100001000         0.1774887825         1.3303504538        44.7116024800       174.7972014492 
        0.5150001000         0.1791900199         1.3150567448        45.2621018657       151.9707702322 
        0.5200001000         0.1808901254         1.3125077934        46.1796008420       148.1663650294 
        0.5250001000         0.1825890884         1.3150567448        46.9136000229       151.9707702322 
        0.5300001000         0.1842868980         1.3201546478        47.8310989992       159.5795806379 
        0.5350001000         0.1859835435         1.3176056963        48.3815983849       155.7751754350 
        0.5400001000         0.1876790143         1.3201546478        50.5835959279       159.5795806379 
        0.5450001000         0.1893732996         1.3176056963        49.6660969517       155.7751754350 
        0.5500001000         0.1910663887         1.3303504538        50.7670957232       174.7972014492 
        0.5550000000         0.1927582371         1.3252525508        51.6845946994       167.1883910435 
        0.5600001000         0.1944489356         1.3278015023        52.7855934709       170.9927962464 
        0.5650001000         0.1961383720         1.3328994052        54.8040912186       178.6016066520 
        0.5700001000         0.1978265695         1.3099588419        51.1340953137       144.3619598266 
        0.5750001000         0.1995135175         1.3456441627        54.8040912186       197.6236326662 
        0.5800001000         0.2011992051         1.3227035993        56.0885897854       163.3839858407 
        0.5850001000         0.2028836219         1.3252525508        57.0060887616       167.1883910435 
        0.5900001000         0.2045667572         1.3354483567        57.7400879426       182.4060118548 
        0.5950001000         0.2062486004         1.3201546478        57.5565881474       159.5795806379 
        0.6000001000         0.2079291407         1.3074098904        58.8410867141       140.5575546237 
        0.6050001000         0.2096083677         1.3430952112        59.9420854856       193.8192274633 
        0.6100001000         0.2112862706         1.3150567448        61.2265840523       151.9707702322 
        0.6150001000         0.2129628390         1.3532910171        61.9605832333       209.0368482747 
        0.6200001000         0.2146380621         1.3303504538        62.5110826191       174.7972014492 
        0.6250000000         0.2163118961         1.3405462597        63.4285815953       190.0148222605 
        0.6300001000         0.2179844306         1.3558399686        64.8965799573       212.8412534775 
        0.6350001000         0.2196555547         1.3379973082        64.5295803668       186.2104170577 
        0.6400001000         0.2213252914         1.3456441627        66.3645783193       197.6236326662 
        0.6450001000         0.2229936301         1.3660357746        68.5665758623       228.0588742888 
        0.6500001000         0.2246605602         1.3328994052        67.8325766813       178.6016066520 
        0.6550001000         0.2263260712         1.3456441627        69.3005750433       197.6236326662 
        0.6600001000         0.2279901527         1.3354483567        70.4015738148       182.4060118548 
        0.6650001000         0.2296527940         1.3558399686        70.4015738148       212.8412534775 
        0.6700001000         0.2313139847         1.3379973082        72.4200715625       186.2104170577 
