           Time[sec]           V_{cmd}[V]          V_{gyro}[V] \omega_{gyro}[rad/s]          \theta[rad] 
        0.0000000000         0.0000000000         1.2232944913         0.2609496297        -2.3102172806 
        0.0050000000         0.0136336500         1.2080007824        -0.1374467515        -2.3262306586 
        0.0100001000         0.0272624002         1.2181965884         0.1281508360        -2.3102172806 
        0.0150001000         0.0408805351         1.2156476369         0.0617514391        -2.3166226318 
        0.0204294000         0.0556501921         1.2080007824        -0.1374467515        -2.3230279830 
        0.0250000000         0.0680648457         1.2207455399         0.1945502328        -2.3102172806 
        0.0300000000         0.0816209803         1.2080007824        -0.1374467515        -2.3262306586 
        0.0350000000         0.0951461498         1.2156476369         0.0617514391        -2.3166226318 
        0.0400001000         0.1086354926         1.2232944913         0.2609496297        -2.3166226318 
        0.0450027000         0.1220903329         1.2130986854        -0.0046479578        -2.3102172806 
        0.0500000000         0.1354846276         1.3176056963         2.7177273139        -2.3070146050 
        0.0550000000         0.1488347726         1.2717245696         1.5225381702        -2.3006092538 
        0.0600000000         0.1621284533         1.2513329577         0.9913429953        -2.3070146050 
        0.0650000000         0.1753606264         1.2972140844         2.1865321389        -2.2877985513 
        0.0700000000         0.1885262719         1.2691756181         1.4561387733        -2.2813932001 
        0.0750001000         0.2016206563         1.2819203755         1.7881357577        -2.2717851733 
        0.0800000000         0.2146380286         1.2793714240         1.7217363608        -2.2621771465 
        0.0850000000         0.2275742336         1.2946651330         2.1201327420        -2.2589744709 
        0.0900000000         0.2404241025         1.2895672300         1.9873339483        -2.2397584173 
        0.0950000000         0.2531827604         1.3074098904         2.4521297264        -2.2237450393 
        0.1000000000         0.2658453669         1.3048609389         2.3857303295        -2.2205423637 
        0.1050001000         0.2784073683         1.3048609389         2.3857303295        -2.2077316612 
        0.1100000000         0.2908632485         1.3227035993         2.8505261076        -2.1885156076 
        0.1150000000         0.3032090324         1.3150567448         2.6513279170        -2.1949209588 
        0.1200000000         0.3154397863         1.3201546478         2.7841267107        -2.1789075808 
