           Time[sec]           V_{cmd}[V]          V_{gyro}[V]          \theta[deg] \omega_{gyro}[deg/sec] 
        0.0000000000         0.0000000000         1.2130986854      -114.0157204100        -0.2054378810 
        0.0050000000         0.0074768483         1.2080007824      -114.9332193862        -7.8142482866 
        0.0100000000         0.0149528436         1.2207455399      -113.0982214338        11.2077777275 
        0.0150000000         0.0224271329         1.2105497339      -114.9332193862        -4.0098430838 
        0.0200000000         0.0298988635         1.2181965884      -113.6487208195         7.4033725247 
        0.0250000000         0.0373671828         1.2207455399      -114.7497195910        11.2077777275 
        0.0300000000         0.0448312389         1.2232944913      -112.5477220480        15.0121829304 
        0.0350000000         0.0522901801         1.2207455399      -114.1992202052        11.2077777275 
        0.0400000000         0.0597431554         1.2334902973      -114.0157204100        30.2298037417 
        0.0450000000         0.0671893146         1.2334902973      -113.0982214338        30.2298037417 
        0.0500000000         0.0746278080         1.2360392488      -114.0157204100        34.0342089445 
        0.0550000000         0.0820577870         1.2487840062      -113.4652210242        53.0562349587 
        0.0600000000         0.0894784039         1.2487840062      -114.0157204100        53.0562349587 
        0.0650000000         0.0968888121         1.2513329577      -113.0982214338        56.8606401615 
        0.0700000000         0.1042881661         1.2640777151      -112.7312218433        75.8826661756 
        0.0750000000         0.1116756217         1.2487840062      -112.3642222528        53.0562349587 
        0.0800000000         0.1190503360         1.2640777151      -111.8137228670        75.8826661756 
        0.0850000000         0.1264114677         1.2640777151      -111.2632234813        75.8826661756 
        0.0900000000         0.1337581770         1.2742735211      -111.0797236860        91.1002869869 
        0.0950000000         0.1410896255         1.2742735211      -111.0797236860        91.1002869869 
        0.1000000000         0.1484049770         1.2768224726      -110.3457245050        94.9046921898 
        0.1050000000         0.1557033966         1.2972140844      -109.7952251193       125.3399338124 
        0.1100000000         0.1629840519         1.2768224726      -109.2447257335        94.9046921898 
        0.1150000000         0.1702461120         1.2972140844      -109.7952251193       125.3399338124 
        0.1200000000         0.1774887485         1.3125077934      -107.7767273715       148.1663650294 
        0.1250000000         0.1847111350         1.2921161815      -107.5932275763       117.7311234068 
        0.1300000000         0.1919124475         1.2870182785      -107.5932275763       110.1223130011 
        0.1350000000         0.1990918645         1.3252525508      -105.9417294191       167.1883910435 
        0.1400000000         0.2062485667         1.2997630359      -106.1252292143       129.1443390152 
        0.1450000000         0.2133817378         1.3252525508      -104.8407306476       167.1883910435 
        0.1500000000         0.2204905638         1.3099588419      -104.8407306476       144.3619598266 
        0.1550000000         0.2275742336         1.2691756181      -103.0057326951        83.4914765813 
        0.1600000000         0.2346319392         1.3252525508      -102.4552333093       167.1883910435 
        0.1650000000         0.2416628753         1.3150567448      -102.2717335141       151.9707702322 
        0.1700000000         0.2486662397         1.3328994052      -102.6387331046       178.6016066520 
        0.1750000000         0.2556412333         1.3354483567       -99.8862361759       182.4060118548 
        0.1800001000         0.2625871991         1.3328994052       -99.1522369949       178.6016066520 
        0.1850000000         0.2695029287         1.3328994052      -101.1707347426       178.6016066520 
        0.1900000000         0.2763880489         1.3507420656       -96.3997400661       205.2324430718 
        0.1950000000         0.2832416355         1.3354483567       -96.5832398614       182.4060118548 
        0.2000000000         0.2900629067         1.3150567448       -95.6657408851       151.9707702322 
        0.2050000000         0.2968510842         1.3507420656       -94.7482419089       205.2324430718 
        0.2100000000         0.3036053934         1.3583889201       -93.4637433422       216.6456586803 
        0.2150000000         0.3103250639         1.3685847260       -90.7112464134       231.8632794916 
        0.2200000000         0.3170093288         1.3711336775       -93.0967437517       235.6676846945 
        0.2250000000         0.3236574257         1.3685847260       -90.7112464134       231.8632794916 
        0.2300000000         0.3302685961         1.3991721439       -89.6102476419       277.5161419256 
        0.2350000000         0.3368420855         1.3660357746       -87.9587494847       228.0588742888 
        0.2400000000         0.3433771442         1.3991721439       -86.4907511227       277.5161419256 
        0.2450000000         0.3498730264         1.3838784350       -84.2887535797       254.6897107086 
        0.2500000000         0.3563289910         1.4042700468       -83.5547543987       285.1249523312 
        0.2550000000         0.3627443016         1.3966231924       -82.2702558320       273.7117367228 
        0.2600000000         0.3691182260         1.4042700468       -81.1692570605       285.1249523312 
        0.2650000000         0.3754500372         1.3991721439       -79.1507593128       277.5161419256 
        0.2700000000         0.3817390128         1.4170148043       -78.9672595175       304.1469783454 
        0.2750000000         0.3879844351         1.4221127072       -76.5817621793       311.7557887510 
        0.2800000000         0.3941855917         1.3940742409       -75.4807634078       269.9073315199 
