           Time[sec]           V_{cmd}[V]          V_{gyro}[V]          \theta[deg] \omega_{gyro}[deg/sec] 
        0.0000000000        17.2611400000         1.2130986854        -0.0623475607         1.1261039400 
        0.0050001000         5.3126004608         1.2411371518        -0.4293471512        42.9745611712 
        0.0100001000         5.2381609891         1.3864273864         0.8551514156       259.8256577324 
        0.0150000000         4.6408989748         1.4272106102         2.1396499823       320.6961409777 
        0.0200000000         4.4119071885         1.5495602815         3.9746479348       503.3075907135 
        0.0250001000         3.8589378766         1.6209309231         6.3601452730       609.8309363927 
        0.0300000000         3.4490654746         1.6540672925         9.4796417923       659.2882040295 
        0.0350000000         3.1251966113         1.7050463222        13.5166372877       735.3763080861 
        0.0400000000         2.6775405037         1.7815148668        17.3701329879       849.5084641710 
        0.0450001000         2.1522447572         1.8044554301        21.5906282787       883.7481109964 
        0.0500000000         1.7912104891         1.8528855084        26.1781231599       956.0318098502 
        0.0550000000         1.3159894785         1.8758260717        31.4996172221       990.2714566756 
        0.0600001000         0.8818610030         1.9166092955        35.9036123080      1051.1419399209 
        0.0650000000         0.4457689623         1.9089624411        41.4086061655      1039.7287243124 
        0.0700000000         0.1072445272         1.8962176836        45.8126012515      1020.7066982983 
        0.0750000000        -0.1402212992         1.8860218777        51.1340953137      1005.4890774870 
        0.0800001000        -0.4575811657         1.8758260717        56.6390891711       990.2714566756 
        0.0850000000        -0.7871234002         1.8375917995        60.4925848713       933.2053786332 
        0.0900494000        -0.9082201160         1.5011302033        64.3460805716       431.0238918597 
        0.0950001000         0.0216006483         1.3176056963        65.0800797525       157.1067172560 
        0.1000000000         0.6195896259         1.3125077934        65.9975787288       149.4979068504 
        0.1050000000         0.5766421877         1.2972140844        66.7315779098       126.6714756334 
        0.1100000000         0.5818059202         1.2793714240        67.6490768860       100.0406392136 
        0.1150001000         0.5837694854         1.4144658528        68.7500756575       301.6741149635 
        0.1200000000         0.0346186417         1.4858364944        70.0345742243       408.1974606428 
        0.1250000000        -0.3021595528         1.4093679498        71.6860723815       294.0653045579 
        0.1300001000        -0.1423348434         1.3966231924        72.6035713577       275.0432785437 
        0.1350001000        -0.1583356795         1.3787805320        74.2550695150       248.4124421239 
        0.1400015000        -0.2051015859         1.3507420656        75.3560682865       206.5639848928 
        0.1450000000        -0.1793915858         1.2411371518        75.9065676722        42.9745611712 
        0.1500001000         0.1702959399         1.1595707042        75.9065676722       -78.7664053194 
        0.1550000000         0.4577263618         1.1901581220        74.9890686960       -33.1135428854 
        0.1600000000         0.4108517931         1.2105497339        74.8055689007        -2.6783012628 
        0.1650000000         0.3511765555         1.2181965884        74.8055689007         8.7349143457 
        0.1700001000         0.3242299535         1.2283923943        75.3560682865        23.9525351570 
        0.1750000000         0.2517540470         1.3558399686        75.9065676722       214.1727952985 
        0.1800001000        -0.2339030909         1.2895672300        77.1910662390       115.2582600249 
        0.1850001000        -0.0856424485         1.2819203755        78.2920650104       103.8450444164 
        0.1900000000        -0.1317900538         1.2564308607        78.4755648057        65.8009923881 
        0.1950000000        -0.0541504149         1.2283923943        78.4755648057        23.9525351570 
