           Time[sec]           V_{cmd}[V]          V_{gyro}[V]          \theta[deg] \omega_{gyro}[deg/sec] 
        0.0000000000         0.0200000000         1.3940742409       -65.5717744644        -5.1587734550 
        0.0511850000         0.0200000000         1.3991721439       -64.6542754881         2.4500369506 
        0.0525372000         0.0200000000         1.3991721439       -64.6542754881         2.4500369506 
        0.0537880000         0.0200000000         1.4068189983       -64.2872758976        13.8632525591 
        0.0550424000         0.0200000000         1.3991721439       -64.6542754881         2.4500369506 
        0.0563784000         0.0200000000         1.3991721439       -64.4707756929         2.4500369506 
        0.0575917000         0.0200000000         1.3889763379       -65.2047748739       -12.7675838607 
        0.0588424000         0.0200000000         1.3966231924       -64.8377752834        -1.3543682522 
        0.0600711000         0.0200000000         1.3915252894       -65.2047748739        -8.9631786579 
        0.0613714000         0.0200000000         1.3864273864       -64.8377752834       -16.5719890635 
        0.0626054000         0.0200000000         1.3966231924       -64.8377752834        -1.3543682522 
        0.0638443000         0.0200000000         1.3940742409       -65.2047748739        -5.1587734550 
        0.0651166000         0.0200000000         1.3940742409       -64.6542754881        -5.1587734550 
        0.0663574000         0.0200000000         1.3915252894       -65.2047748739        -8.9631786579 
        0.0700000000         0.0200000000         1.3991721439       -65.0212750786         2.4500369506 
        0.0750001000         0.0200000000         1.3838784350       -65.2047748739       -20.3763942664 
        0.0800000000         0.0200000000         1.3991721439       -64.8377752834         2.4500369506 
        0.0850000000         0.0200000000         1.3991721439       -64.8377752834         2.4500369506 
        0.0900000000         0.0200000000         1.3813294835       -64.8377752834       -24.1807994692 
        0.0950001000         0.0200000000         1.3966231924       -64.4707756929        -1.3543682522 
        0.1000000000         0.0200000000         1.3966231924       -64.4707756929        -1.3543682522 
        0.1050000000         0.0200000000         1.3838784350       -64.4707756929       -20.3763942664 
        0.1100001000         0.0200000000         1.4042700468       -63.7367765119        10.0588473563 
        0.1150001000         0.0200000000         1.3966231924       -63.5532767167        -1.3543682522 
        0.1200000000         0.0200000000         1.4017210954       -63.1862771262         6.2544421535 
        0.1250000000         0.0200000000         1.3915252894       -63.0027773309        -8.9631786579 
        0.1300001000         0.0200000000         1.3991721439       -62.2687781499         2.4500369506 
        0.1350000000         0.0200000000         1.3864273864       -62.6357777404       -16.5719890635 
        0.1400000000         0.0200000000         1.4068189983       -61.9017785594        13.8632525591 
        0.1450001000         0.0200000000         1.3991721439       -62.0852783547         2.4500369506 
        0.1500001000         0.0200000000         1.3915252894       -62.2687781499        -8.9631786579 
        0.1550000000         0.0200000000         1.4042700468       -61.3512791737        10.0588473563 
        0.1600000000         0.0200000000         1.3991721439       -61.9017785594         2.4500369506 
        0.1650001000         0.0200000000         1.3915252894       -62.6357777404        -8.9631786579 
        0.1700000000         0.0200000000         1.3991721439       -61.1677793784         2.4500369506 
        0.1750000000         0.0200000000         1.3915252894       -61.3512791737        -8.9631786579 
        0.1800001000         0.0200000000         1.4042700468       -60.4337801974        10.0588473563 
        0.1850001000         0.0200000000         1.3966231924       -60.9842795832        -1.3543682522 
        0.1900000000         0.0200000000         1.4068189983       -60.6172799927        13.8632525591 
        0.1950000000         0.0200000000         1.3940742409       -60.9842795832        -5.1587734550 
        0.2000001000         0.0200000000         1.3991721439       -60.4337801974         2.4500369506 
        0.2050060000         0.0200000000         1.3940742409       -60.6172799927        -5.1587734550 
        0.2100001000         0.0200000000         1.3966231924       -60.0667806069        -1.3543682522 
        0.2150000000         0.0200000000         1.3889763379       -59.8832808117       -12.7675838607 
        0.2200001000         0.0200000000         1.3915252894       -60.2502804022        -8.9631786579 
        0.2250000000         0.0200000000         1.3966231924       -59.1492816307        -1.3543682522 
        0.2300000000         0.0200000000         1.3991721439       -59.1492816307         2.4500369506 
        0.2350001000         0.0200000000         1.3966231924       -59.1492816307        -1.3543682522 
        0.2400001000         0.0200000000         1.3762315805       -59.1492816307       -31.7896098748 
        0.2450000000         0.0200000000         1.3915252894       -58.5987822449        -8.9631786579 
        0.2500000000         0.0200000000         1.3838784350       -58.7822820402       -20.3763942664 
        0.2550001000         0.0200000000         1.3966231924       -57.8647830640        -1.3543682522 
        0.2600000000         0.0200000000         1.3991721439       -57.4977834735         2.4500369506 
        0.2650000000         0.0200000000         1.3940742409       -57.3142836782        -5.1587734550 
        0.2700001000         0.0200000000         1.3915252894       -57.4977834735        -8.9631786579 
        0.2750001000         0.0200000000         1.3966231924       -56.7637842925        -1.3543682522 
        0.2800000000         0.0200000000         1.4042700468       -56.0297851115        10.0588473563 
        0.2850000000         0.0200000000         1.3991721439       -55.8462853162         2.4500369506 
        0.2900001000         0.0200000000         1.4068189983       -55.2957859305        13.8632525591 
        0.2950000000         0.0200000000         1.3991721439       -55.4792857257         2.4500369506 
        0.3000000000         0.0200000000         1.3940742409       -55.4792857257        -5.1587734550 
        0.3050000000         0.0200000000         1.3940742409       -55.2957859305        -5.1587734550 
        0.3100001000         0.0200000000         1.4068189983       -54.3782869542        13.8632525591 
        0.3150000000         0.0200000000         1.3940742409       -54.5617867495        -5.1587734550 
        0.3200000000         0.0200000000         1.4068189983       -53.6442877732        13.8632525591 
        0.3250001000         0.0200000000         1.4042700468       -52.7267887970        10.0588473563 
        0.3300000000         0.0200000000         1.3991721439       -53.0937883875         2.4500369506 
        0.3350000000         0.0200000000         1.3940742409       -53.0937883875        -5.1587734550 
        0.3400000000         0.0200000000         1.3915252894       -52.7267887970        -8.9631786579 
        0.3450001000         0.0200000000         1.3991721439       -51.6257900255         2.4500369506 
        0.3500001000         0.0200000000         1.3915252894       -51.2587904350        -8.9631786579 
        0.3550001000         0.0200000000         1.4068189983       -50.5247912540        13.8632525591 
        0.3600001000         0.0200000000         1.3966231924       -50.8917908445        -1.3543682522 
        0.3650048000         0.0200000000         1.4068189983       -49.6072922778        13.8632525591 
        0.3700000000         0.0200000000         1.3940742409       -50.1577916635        -5.1587734550 
        0.3750000000         0.0200000000         1.3966231924       -48.8732930968        -1.3543682522 
        0.3800001000         0.0200000000         1.3889763379       -49.4237924825       -12.7675838607 
        0.3850000000         0.0200000000         1.4068189983       -48.1392939158        13.8632525591 
        0.3900000000         0.0200000000         1.4093679498       -47.5887945300        17.6676577619 
        0.3950001000         0.0200000000         1.3991721439       -47.5887945300         2.4500369506 
        0.4000001000         0.0200000000         1.3966231924       -47.4052947348        -1.3543682522 
        0.4050012000         0.0200000000         1.3864273864       -47.2217949395       -16.5719890635 
        0.4100000000         0.0200000000         1.3991721439       -46.4877957585         2.4500369506 
        0.4150001000         0.0200000000         1.4042700468       -45.7537965775        10.0588473563 
        0.4200001000         0.0200000000         1.3991721439       -45.7537965775         2.4500369506 
        0.4250000000         0.0200000000         1.4042700468       -44.8362976013        10.0588473563 
        0.4300000000         0.0200000000         1.3940742409       -45.0197973966        -5.1587734550 
        0.4350001000         0.0200000000         1.3915252894       -45.0197973966        -8.9631786579 
        0.4400000000         0.0200000000         1.3966231924       -44.2857982156        -1.3543682522 
        0.4450000000         0.0200000000         1.3966231924       -43.7352988298        -1.3543682522 
        0.4500001000         0.0200000000         1.3966231924       -43.0012996488        -1.3543682522 
        0.4550000000         0.0200000000         1.3940742409       -43.0012996488        -5.1587734550 
        0.4600470000         0.0200000000         1.4042700468       -42.0838006726        10.0588473563 
        0.4651474000         0.0200000000         1.3915252894       -42.8177998536        -8.9631786579 
        0.4700001000         0.0200000000         1.3991721439       -41.9003008773         2.4500369506 
        0.4750001000         0.0200000000         1.3915252894       -41.9003008773        -8.9631786579 
        0.4800001000         0.0200000000         1.3991721439       -40.6158023106         2.4500369506 
        0.4850001000         0.0200000000         1.4068189983       -40.0653029248        13.8632525591 
        0.4900019000         0.0200000000         1.3915252894       -40.7993021058        -8.9631786579 
        0.4950000000         0.0200000000         1.3991721439       -39.8818031296         2.4500369506 
        0.5000000000         0.0200000000         1.3966231924       -39.5148035391        -1.3543682522 
        0.5050001000         0.0200000000         1.3966231924       -39.6983033343        -1.3543682522 
        0.5100000000         0.0200000000         1.4017210954       -38.5973045629         6.2544421535 
        0.5150000000         0.0200000000         1.3991721439       -38.2303049724         2.4500369506 
        0.5200001000         0.0200000000         1.4068189983       -37.4963057914        13.8632525591 
        0.5250001000         0.0200000000         1.3991721439       -37.1293062009         2.4500369506 
        0.5300000000         0.0200000000         1.4068189983       -36.7623066104        13.8632525591 
        0.5350000000         0.0200000000         1.3966231924       -36.5788068151        -1.3543682522 
        0.5400001000         0.0200000000         1.3889763379       -36.5788068151       -12.7675838607 
        0.5450000000         0.0200000000         1.3991721439       -35.8448076341         2.4500369506 
        0.5500000000         0.0200000000         1.3991721439       -34.7438088626         2.4500369506 
        0.5550000000         0.0200000000         1.4042700468       -34.3768092721        10.0588473563 
        0.5600001000         0.0200000000         1.3966231924       -34.3768092721        -1.3543682522 
        0.5650029000         0.0200000000         1.3991721439       -34.0098096816         2.4500369506 
        0.5700001000         0.0200000000         1.3991721439       -33.0923107054         2.4500369506 
        0.5750001000         0.0200000000         1.3966231924       -33.4593102959        -1.3543682522 
        0.5800001000         0.0200000000         1.3915252894       -32.1748117292        -8.9631786579 
        0.5850000000         0.0200000000         1.4068189983       -31.6243123434        13.8632525591 
        0.5900000000         0.0200000000         1.3915252894       -31.8078121387        -8.9631786579 
        0.5950001000         0.0200000000         1.3915252894       -31.8078121387        -8.9631786579 
        0.6000000000         0.0200000000         1.3966231924       -30.8903131624        -1.3543682522 
        0.6050000000         0.0200000000         1.3915252894       -30.5233135719        -8.9631786579 
        0.6100001000         0.0200000000         1.3940742409       -30.3398137767        -5.1587734550 
        0.6150001000         0.0200000000         1.3966231924       -29.7893143909        -1.3543682522 
        0.6200030000         0.0200000000         1.3915252894       -29.0553152099        -8.9631786579 
        0.6250000000         0.0200000000         1.3966231924       -28.1378162337        -1.3543682522 
        0.6300001000         0.0200000000         1.3915252894       -28.5048158242        -8.9631786579 
        0.6350000000         0.0200000000         1.3991721439       -27.5873168479         2.4500369506 
        0.6400000000         0.0200000000         1.3966231924       -27.5873168479        -1.3543682522 
        0.6450001000         0.0200000000         1.4042700468       -26.4863180765        10.0588473563 
        0.6500001000         0.0200000000         1.3966231924       -25.7523188955        -1.3543682522 
        0.6550000000         0.0200000000         1.3966231924       -25.9358186907        -1.3543682522 
        0.6600000000         0.0200000000         1.3991721439       -26.1193184860         2.4500369506 
        0.6650031000         0.0200000000         1.3966231924       -25.0183197145        -1.3543682522 
        0.6700000000         0.0200000000         1.3966231924       -23.9173209430        -1.3543682522 
        0.6750000000         0.0200000000         1.3991721439       -24.1008207382         2.4500369506 
        0.6800000000         0.0200000000         1.3991721439       -23.7338211477         2.4500369506 
        0.6850001000         0.0200000000         1.3940742409       -23.9173209430        -5.1587734550 
        0.6900000000         0.0200000000         1.3787805320       -23.1833217620       -27.9852046720 
        0.6950001000         0.0200000000         1.3966231924       -22.9998219667        -1.3543682522 
        0.7000001000         0.0200000000         1.3966231924       -22.6328223762        -1.3543682522 
        0.7050326000         0.0200000000         1.4042700468       -21.1648240142        10.0588473563 
        0.7100000000         0.0200000000         1.3966231924       -21.5318236047        -1.3543682522 
        0.7150000000         0.0200000000         1.3991721439       -20.7978244238         2.4500369506 
        0.7200001000         0.0200000000         1.3940742409       -20.7978244238        -5.1587734550 
        0.7250000000         0.0200000000         1.3864273864       -20.0638252428       -16.5719890635 
        0.7300000000         0.0200000000         1.4042700468       -18.9628264713        10.0588473563 
        0.7350001000         0.0200000000         1.3991721439       -18.9628264713         2.4500369506 
        0.7400001000         0.0200000000         1.3991721439       -18.5958268808         2.4500369506 
        0.7450000000         0.0200000000         1.3864273864       -18.2288272903       -16.5719890635 
        0.7500000000         0.0200000000         1.3915252894       -17.8618276998        -8.9631786579 
        0.7550001000         0.0200000000         1.4042700468       -16.7608289283        10.0588473563 
        0.7600000000         0.0200000000         1.3864273864       -17.4948281093       -16.5719890635 
        0.7650000000         0.0200000000         1.4068189983       -16.2103295425        13.8632525591 
        0.7700001000         0.0200000000         1.4042700468       -15.6598301568        10.0588473563 
        0.7750001000         0.0200000000         1.3915252894       -15.8433299520        -8.9631786579 
        0.7800000000         0.0200000000         1.3966231924       -14.5588313853        -1.3543682522 
        0.7850000000         0.0200000000         1.3991721439       -14.7423311806         2.4500369506 
        0.7900001000         0.0200000000         1.4068189983       -14.3753315901        13.8632525591 
        0.7950000000         0.0200000000         1.3991721439       -14.0083319996         2.4500369506 
        0.8000000000         0.0200000000         1.3991721439       -13.4578326138         2.4500369506 
