  Angle_{input}[deg]  Angle_{output}[deg] 
      -30.0000000000       -27.9139464835 
      -27.0000000000       -24.9987464030 
      -24.0000000000       -22.2578711279 
      -21.0000000000       -18.8551732581 
      -18.0000000000       -15.8445532840 
      -15.0000000000       -12.8547299534 
      -12.0000000000        -9.9768414979 
       -9.0000000000        -6.9423665505 
       -6.0000000000        -3.7341784636 
       -3.0000000000        -1.1462196846 
        0.0000000000         2.0118117916 
        3.0000000000         5.2414081880 
        6.0000000000         7.8416002867 
        9.0000000000        11.2650948000 
       12.0000000000        14.2897830917 
       15.0000000000        17.1823515308 
       18.0000000000        20.1703398634 
       21.0000000000        23.2060381428 
       24.0000000000        26.0044100204 
       27.0000000000        29.1740631503 
