           Time[sec]           V_{cmd}[V]          V_{gyro}[V] \omega_{gyro}[rad/s]          \theta[rad] 
        0.0000000000        -0.4600000000         1.2130986854        -0.0254973684         1.4593319051 
        0.0050000000        -0.4600000000         1.2080007824        -0.1582961621         1.4497238783 
        0.0100000000        -0.4600000000         1.2130986854        -0.0254973684         1.4561292295 
        0.0150000000        -0.4600000000         1.2080007824        -0.1582961621         1.4529265539 
        0.0200000000        -0.4600000000         1.1978049765        -0.4238937496         1.4561292295 
        0.0250000000        -0.4600000000         1.0193783725        -5.0718515305         1.4369131759 
        0.0300000000        -0.4600000000         1.1136895775        -2.6150738463         1.4208997979 
        0.0350000000        -0.4600000000         1.1009448200        -2.9470708307         1.4080890955 
        0.0400000000        -0.4600000000         1.0066336150        -5.4038485148         1.3792650150 
        0.0450000000        -0.4600000000         1.0729063537        -3.6774641962         1.3664543126 
        0.0500000000        -0.4600000000         1.0474168388        -4.3414581649         1.3536436102 
        0.0550000000        -0.4600000000         1.0474168388        -4.3414581649         1.3312248810 
        0.0600000000        -0.4600000000         1.0372210329        -4.6070557524         1.2991981249 
        0.0650000000        -0.4600000000         1.0270252269        -4.8726533399         1.2863874225 
        0.0700000000        -0.4600000000         1.0091825665        -5.3374491179         1.2511579909 
        0.0750000000        -0.4600000000         1.0244762754        -4.9390527367         1.2351446129 
        0.0800000000        -0.4600000000         1.0168294210        -5.1382509273         1.1967125056 
        0.0850000000        -0.4600000000         0.9836930517        -6.0014430866         1.1678884252 
        0.0900000000        -0.4600000000         1.0015357121        -5.5366473086         1.1454696960 
        0.0950000000        -0.4600000000         0.9887909546        -5.8686442929         1.1198482911 
        0.1000000000        -0.4600000000         0.9989867606        -5.6030467054         1.0814161839 
        0.1050000000        -0.4600000000         0.9760461972        -6.2006412772         1.0718081571 
        0.1100000000        -0.4600000000         0.9887909546        -5.8686442929         1.0301733742 
        0.1150000000        -0.4600000000         0.9913399061        -5.8022448960         1.0013492938 
        0.1200000000        -0.4600000000         0.9887909546        -5.8686442929         0.9757278890 
        0.1250000000        -0.4600000000         0.9556545853        -6.7318364522         0.9372957817 
        0.1300000000        -0.4600000000         0.9683993428        -6.3998394679         0.9020663501 
        0.1350000000        -0.4600000000         0.9785951487        -6.1342418804         0.8924583233 
        0.1400000000        -0.4600000000         0.9683993428        -6.3998394679         0.8636342428 
        0.1450000000        -0.4600000000         0.9658503913        -6.4662388647         0.8252021356 
        0.1500000000        -0.4600000000         0.9531056338        -6.7982358491         0.7899727039 
        0.1550000000        -0.4600000000         0.9709482942        -6.3334400710         0.7707566503 
        0.1600000000        -0.4600000000         0.9709482942        -6.3334400710         0.7227165162 
        0.1650000000        -0.4600000000         0.9403608764        -7.1302328334         0.6874870846 
        0.1700000000        -0.4600000000         0.9531056338        -6.7982358491         0.6554603286 
        0.1750000000        -0.4600000000         0.9429098279        -7.0638334366         0.6138255457 
        0.1800001000        -0.4600000000         0.9403608764        -7.1302328334         0.5817987897 
        0.1850000000        -0.4600000000         0.9378119249        -7.1966322303         0.5561773849 
        0.1900000000        -0.4600000000         0.9531056338        -6.7982358491         0.5337586556 
        0.1950000000        -0.4600000000         0.9174203130        -7.7278274052         0.4793131704 
        0.2000000000        -0.4600000000         0.9454587794        -6.9974340397         0.4568944411 
        0.2050000000        -0.4600000000         0.9505566824        -6.8646352459         0.4088543071 
        0.2100001000        -0.4600000000         0.9276161190        -7.4622298178         0.3832329022 
        0.2150003000        -0.4600000000         0.9378119249        -7.1966322303         0.3415981194 
        0.2200000000        -0.4600000000         0.9123224101        -7.8606261990         0.3127740390 
        0.2250000000        -0.4600000000         0.9454587794        -6.9974340397         0.2775446073 
        0.2300000000        -0.4600000000         0.9276161190        -7.4622298178         0.2423151757 
        0.2350000000        -0.4600000000         0.9199692645        -7.6614280084         0.2006803928 
        0.2400001000        -0.4600000000         0.9250671675        -7.5286292146         0.1622482856 
        0.2450000000        -0.4600000000         0.9429098279        -7.0638334366         0.1430322320 
        0.2500000000        -0.4600000000         0.9174203130        -7.7278274052         0.0981947735 
        0.2550000000        -0.4600000000         0.9378119249        -7.1966322303         0.0725733687 
        0.2600000000        -0.4600000000         0.9225182160        -7.5950286115         0.0341412614 
        0.2650000000        -0.4600000000         0.9301650705        -7.3958304209        -0.0074935214 
        0.2700000000        -0.4600000000         0.9148713616        -7.7942268021        -0.0523309799 
        0.2750000000        -0.4600000000         0.9148713616        -7.7942268021        -0.0907630871 
        0.2800000000        -0.4600000000         0.9199692645        -7.6614280084        -0.1163844920 
        0.2850000000        -0.4600000000         0.9225182160        -7.5950286115        -0.1580192748 
        0.2900000000        -0.4600000000         0.9072245071        -7.9934249927        -0.1996540577 
        0.2950000000        -0.4600000000         0.8970287012        -8.2590225802        -0.2348834893 
        0.3000003000        -0.4600000000         0.9174203130        -7.7278274052        -0.2733155965 
        0.3050000000        -0.4600000000         0.9250671675        -7.5286292146        -0.2957343258 
        0.3100000000        -0.4600000000         0.9148713616        -7.7942268021        -0.3437744598 
