           Time[sec]           V_{cmd}[V]          V_{gyro}[V]          \theta[deg] \omega_{gyro}[deg/sec] 
        0.0000000000        -1.3000000000         1.2080007824       175.9006569439        -8.1566447549 
        0.0050001000        -1.3000000000         1.2130986854       176.2676565344        -0.5478343492 
        0.0100000000        -1.3000000000         1.2130986854       176.0841567391        -0.5478343492 
        0.0150001000        -1.3000000000         1.2029028795       176.0841567391       -15.7654551605 
        0.0200000000        -1.3000000000         0.9683993428       175.1666577629      -365.7707338208 
        0.0250001000        -1.3000000000         0.9862420032       173.6986594009      -339.1398974010 
        0.0300000000        -1.3000000000         0.9811441002       171.6801616531      -346.7487078067 
        0.0350001000        -1.3000000000         0.9480077309       169.8451637007      -396.2059754434 
        0.0400000000        -1.3000000000         0.9174203130       167.4596663624      -441.8588378774 
        0.0450001000        -1.3000000000         0.9046755556       165.6246684099      -460.8808638915 
        0.0500000000        -1.3000000000         0.8893818467       162.3216720955      -483.7072951085 
        0.0550001000        -1.3000000000         0.8613433804       159.9361747572      -525.5557523396 
        0.0600000000        -1.3000000000         0.8562454774       157.7341772143      -533.1645627453 
        0.0650001000        -1.3000000000         0.8154622536       155.1651800808      -594.0350459906 
        0.0700000000        -1.3000000000         0.8460496714       152.5961829473      -548.3821835566 
        0.0750001000        -1.3000000000         0.8154622536       149.2931866328      -594.0350459906 
        0.0800000000        -1.3000000000         0.8027174962       146.7241894993      -613.0570720047 
        0.0850001000        -1.3000000000         0.8129133021       143.9716925706      -597.8394511934 
        0.0900001000        -1.3000000000         0.7848748358       140.1181968704      -639.6879084245 
        0.0950001000        -1.3000000000         0.7772279813       137.3656999417      -651.1011240330 
        0.1000001000        -1.3000000000         0.7823258843       134.0627036272      -643.4923136274 
        0.1050001000        -1.3000000000         0.7644832239       131.3102066985      -670.1231500472 
        0.1100001000        -1.3000000000         0.7644832239       128.1907101792      -670.1231500472 
        0.1150001000        -1.3000000000         0.7593853209       124.3372144790      -677.7319604528 
        0.1200001000        -1.3000000000         0.7313468546       120.8507183693      -719.5804176839 
        0.1250000000        -1.3000000000         0.7440916120       118.0982214406      -700.5583916698 
        0.1300001000        -1.3000000000         0.7287979031       114.2447257404      -723.3848228868 
        0.1350000000        -1.3000000000         0.7262489516       110.7582296306      -727.1892280896 
        0.1400001000        -1.3000000000         0.7237000001       107.0882337257      -730.9936332924 
        0.1450000000        -1.3000000000         0.7186020971       103.0512382302      -738.6024436981 
        0.1500001000        -1.3000000000         0.7160531457       100.4822410967      -742.4068489009 
        0.1550000000        -1.3000000000         0.7007594367        96.2617458060      -765.2332801179 
        0.1600001000        -1.3000000000         0.7058573397        93.1422492868      -757.6244697122 
        0.1650000000        -1.3000000000         0.6956615338        89.1052537913      -772.8420905235 
        0.1700001000        -1.3000000000         0.6905636308        84.8847585006      -780.4509009292 
        0.1750000000        -1.3000000000         0.6982104853        81.2147625956      -769.0376853207 
        0.1800001000        -1.3000000000         0.6778188734        77.7282664859      -799.4729269434 
        0.1850000000        -1.3000000000         0.6982104853        74.6087699667      -769.0376853207 
