           Time[sec]           V_{cmd}[V]          V_{gyro}[V]          \theta[deg] \omega_{gyro}[deg/sec] 
        0.0000000000         0.1800000000         1.2130986854      -106.4922288048         0.3347876579 
        0.0050000000         0.1800000000         1.2130986854      -106.4922288048         0.3347876579 
        0.0100000000         0.1800000000         1.2130986854      -106.3087290096         0.3347876579 
        0.0150000000         0.1800000000         1.2080007824      -106.8592283953        -7.2740227478 
        0.0200000000         0.1800000000         1.2130986854      -106.4922288048         0.3347876579 
        0.0250000000         0.1800000000         1.2130986854      -106.4922288048         0.3347876579 
        0.0300000000         0.1800000000         1.3023119874      -106.6757286001       133.4889697569 
        0.0350013000         0.1800000000         1.3048609389      -105.5747298286       137.2933749597 
        0.0401877000         0.1800000000         1.2538819092      -105.3912300333        61.2052709031 
        0.0450000000         0.1800000000         1.2844693270      -105.0242304428       106.8581333371 
        0.0500000000         0.1800000000         1.3099588419      -104.2902312618       144.9021853654 
        0.0550000000         0.1800000000         1.3023119874      -102.6387331046       133.4889697569 
        0.0600000000         0.1800000000         1.2997630359      -102.4552333093       129.6845645540 
        0.0650000000         0.1800000000         1.3201546478      -101.3542345378       160.1198061767 
        0.0700000000         0.1800000000         1.3048609389      -100.8037351521       137.2933749597 
        0.0750000000         0.1800000000         1.3328994052       -99.8862361759       179.1418321908 
        0.0800000000         0.1800000000         1.3048609389       -99.8862361759       137.2933749597 
        0.0850000000         0.1800000000         1.3048609389       -99.5192365854       137.2933749597 
        0.0900000000         0.1800000000         1.3227035993       -98.4182378139       163.9242113795 
        0.0950000000         0.1800000000         1.3099588419       -97.1337392471       144.9021853654 
        0.1000000000         0.1800000000         1.3125077934       -96.9502394519       148.7065905682 
        0.1050000000         0.1800000000         1.3099588419       -96.0327404756       144.9021853654 
        0.1100000000         0.1800000000         1.3150567448       -95.8492406804       152.5109957710 
        0.1150000000         0.1800000000         1.3150567448       -94.9317417042       152.5109957710 
        0.1200000000         0.1800000000         1.3303504538       -93.2802435469       175.3374269880 
        0.1250000000         0.1800000000         1.3150567448       -93.0967437517       152.5109957710 
        0.1300000000         0.1800000000         1.3328994052       -91.9957449802       179.1418321908 
        0.1350000000         0.1800000000         1.3176056963       -92.1792447754       156.3154009738 
        0.1400000000         0.1800000000         1.3227035993       -91.0782460039       163.9242113795 
        0.1450000000         0.1800000000         1.3227035993       -90.7112464134       163.9242113795 
        0.1500000000         0.1800000000         1.3354483567       -89.2432480514       182.9462373937 
        0.1550000000         0.1800000000         1.3328994052       -88.1422492800       179.1418321908 
        0.1600000000         0.1800000000         1.3303504538       -87.4082500990       175.3374269880 
        0.1650000000         0.1800000000         1.3456441627       -85.7567519417       198.1638582050 
        0.1700000000         0.1800000000         1.3354483567       -85.5732521465       182.9462373937 
        0.1750000000         0.1800000000         1.3405462597       -84.4722533750       190.5550477993 
        0.1800001000         0.1800000000         1.3507420656       -83.5547543987       205.7726686106 
        0.1850000000         0.1800000000         1.3303504538       -83.0042550130       175.3374269880 
        0.1900000000         0.1800000000         1.3456441627       -81.1692570605       198.1638582050 
        0.1950000000         0.1800000000         1.3430952112       -81.1692570605       194.3594530021 
        0.2000000000         0.1800000000         1.3379973082       -79.7012586985       186.7506425965 
        0.2050000000         0.1800000000         1.3507420656       -78.9672595175       205.7726686106 
        0.2100001000         0.1800000000         1.3379973082       -78.0497605413       186.7506425965 
        0.2150000000         0.1800000000         1.3430952112       -77.1322615650       194.3594530021 
        0.2200000000         0.1800000000         1.3430952112       -76.0312627936       194.3594530021 
        0.2250000000         0.1800000000         1.3532910171       -75.1137638173       209.5770738135 
        0.2300000000         0.1800000000         1.3430952112       -74.1962648411       194.3594530021 
        0.2350000000         0.1800000000         1.3532910171       -72.5447666838       209.5770738135 
        0.2400001000         0.1800000000         1.3430952112       -72.1777670933       194.3594530021 
        0.2450000000         0.1800000000         1.3328994052       -71.6272677076       179.1418321908 
        0.2500000000         0.1800000000         1.3456441627       -70.8932685266       198.1638582050 
        0.2550000000         0.1800000000         1.3532910171       -69.2417703694       209.5770738135 
        0.2600000000         0.1800000000         1.3405462597       -68.5077711884       190.5550477993 
        0.2650000000         0.1800000000         1.3379973082       -67.7737720074       186.7506425965 
        0.2700000000         0.1800000000         1.3456441627       -66.3057736454       198.1638582050 
        0.2750000000         0.1800000000         1.3532910171       -64.8377752834       209.5770738135 
        0.2800000000         0.1800000000         1.3379973082       -64.4707756929       186.7506425965 
        0.2850000000         0.1800000000         1.3558399686       -62.8192775357       213.3814790163 
        0.2900001000         0.1800000000         1.3481931142       -62.0852783547       201.9682634078 
        0.2950000000         0.1800000000         1.3711336775       -60.6172799927       236.2079102333 
        0.3000000000         0.1800000000         1.3558399686       -59.5162812212       213.3814790163 
        0.3050000000         0.1800000000         1.3634868231       -58.7822820402       224.7946946248 
        0.3100000000         0.1800000000         1.3532910171       -58.7822820402       209.5770738135 
        0.3150078000         0.1800000000         1.3634868231       -57.4977834735       224.7946946248 
        0.3200000000         0.1800000000         1.3507420656       -56.0297851115       205.7726686106 
        0.3250000000         0.1800000000         1.3609378716       -55.2957859305       220.9902894219 
        0.3300000000         0.1800000000         1.3609378716       -54.0112873637       220.9902894219 
        0.3350000000         0.1800000000         1.3609378716       -52.9102885922       220.9902894219 
        0.3400000000         0.1800000000         1.3685847260       -51.2587904350       232.4035050304 
        0.3450000000         0.1800000000         1.3660357746       -50.3412914588       228.5990998276 
        0.3500001000         0.1800000000         1.3532910171       -49.0567928920       209.5770738135 
        0.3550001000         0.1800000000         1.3609378716       -48.3227937110       220.9902894219 
        0.3600000000         0.1800000000         1.3685847260       -47.9557941205       232.4035050304 
        0.3650000000         0.1800000000         1.3558399686       -46.4877957585       213.3814790163 
        0.3700000000         0.1800000000         1.3634868231       -45.5702967823       224.7946946248 
        0.3750000000         0.1800000000         1.3583889201       -44.2857982156       217.1858842191 
        0.3800000000         0.1800000000         1.3558399686       -43.7352988298       213.3814790163 
        0.3850000000         0.1800000000         1.3660357746       -41.1663016963       228.5990998276 
        0.4036767000         0.1800000000         1.3507420656       -38.4138047676       205.7726686106 
        0.4050132000         0.1800000000         1.3583889201       -38.4138047676       217.1858842191 
        0.4063537000         0.1800000000         1.3711336775       -37.8633053819       236.2079102333 
        0.4076525000         0.1800000000         1.3685847260       -37.8633053819       232.4035050304 
        0.4100000000         0.1800000000         1.3609378716       -37.4963057914       220.9902894219 
        0.4150001000         0.1800000000         1.3507420656       -36.2118072246       205.7726686106 
        0.4200099000         0.1800000000         1.3660357746       -34.3768092721       228.5990998276 
        0.4250000000         0.1800000000         1.3685847260       -33.4593102959       232.4035050304 
        0.4300000000         0.1800000000         1.3609378716       -32.3583115244       220.9902894219 
        0.4350000000         0.1800000000         1.3507420656       -32.1748117292       205.7726686106 
        0.4400000000         0.1800000000         1.3583889201       -30.5233135719       217.1858842191 
        0.4450000000         0.1800000000         1.3634868231       -29.6058145957       224.7946946248 
        0.4500000000         0.1800000000         1.3583889201       -28.5048158242       217.1858842191 
        0.4550000000         0.1800000000         1.3507420656       -27.7708166432       205.7726686106 
        0.4600000000         0.1800000000         1.3711336775       -25.9358186907       236.2079102333 
        0.4650000000         0.1800000000         1.3634868231       -25.3853193050       224.7946946248 
        0.4700000000         0.1800000000         1.3634868231       -23.9173209430       224.7946946248 
        0.4750001000         0.1800000000         1.3558399686       -23.3668215572       213.3814790163 
        0.4800001000         0.1800000000         1.3558399686       -22.0823229905       213.3814790163 
        0.4850000000         0.1800000000         1.3762315805       -20.7978244238       243.8167206389 
        0.4900002000         0.1800000000         1.3558399686       -19.5133258570       213.3814790163 
        0.4950000000         0.1800000000         1.3583889201       -19.3298260618       217.1858842191 
        0.5000000000         0.1800000000         1.3481931142       -18.7793266760       201.9682634078 
        0.5050000000         0.1800000000         1.3711336775       -16.3938293378       236.2079102333 
        0.5100000000         0.1800000000         1.3532910171       -16.0268297473       209.5770738135 
        0.5150000000         0.1800000000         1.3532910171       -14.9258309758       209.5770738135 
        0.5200000000         0.1800000000         1.3532910171       -14.0083319996       209.5770738135 
        0.5250000000         0.1800000000         1.3558399686       -12.9073332281       213.3814790163 
        0.5300000000         0.1800000000         1.3736826290       -11.4393348661       240.0123154361 
        0.5350006000         0.1800000000         1.3558399686       -10.5218358898       213.3814790163 
        0.5400000000         0.1800000000         1.3685847260        -9.2373373231       232.4035050304 
        0.5450000000         0.1800000000         1.3558399686        -8.6868379374       213.3814790163 
        0.5500000000         0.1800000000         1.3634868231        -7.5858391659       224.7946946248 
        0.5550000000         0.1800000000         1.3481931142        -7.0353397801       201.9682634078 
        0.5600000000         0.1800000000         1.3711336775        -5.0168420324       236.2079102333 
        0.5650000000         0.1800000000         1.3634868231        -3.9158432609       224.7946946248 
        0.5700005000         0.1800000000         1.3634868231        -3.3653438751       224.7946946248 
        0.5750001000         0.1800000000         1.3634868231        -1.8973455132       224.7946946248 
        0.5800001000         0.1800000000         1.3583889201        -1.3468461274       217.1858842191 
        0.5850000000         0.1800000000         1.3711336775         0.3046520298       236.2079102333 
        0.5900006000         0.1800000000         1.3532910171         0.8551514156       209.5770738135 
        0.5950004000         0.1800000000         1.3481931142         1.2221510061       201.9682634078 
        0.6000002000         0.1800000000         1.3507420656         2.3231497776       205.7726686106 
        0.6050000000         0.1800000000         1.3507420656         4.1581477300       205.7726686106 
        0.6100000000         0.1800000000         1.3609378716         4.8921469110       220.9902894219 
        0.6150000000         0.1800000000         1.3609378716         6.1766454778       220.9902894219 
        0.6200000000         0.1800000000         1.3456441627         6.3601452730       198.1638582050 
        0.6250000000         0.1800000000         1.3634868231         8.3786430208       224.7946946248 
        0.6300030000         0.1800000000         1.3507420656         8.3786430208       205.7726686106 
        0.6350000000         0.1800000000         1.3558399686        10.0301411780       213.3814790163 
        0.6400000000         0.1800000000         1.3481931142        11.1311399495       201.9682634078 
        0.6450000000         0.1800000000         1.3430952112        11.4981395400       194.3594530021 
        0.6500000000         0.1800000000         1.3634868231        12.7826381067       224.7946946248 
        0.6550000000         0.1800000000         1.3583889201        14.4341362640       217.1858842191 
        0.6600000000         0.1800000000         1.3456441627        14.9846356497       198.1638582050 
        0.6650000000         0.1800000000         1.3481931142        16.0856344212       201.9682634078 
        0.6700000000         0.1800000000         1.3583889201        17.5536327832       217.1858842191 
        0.6750000000         0.1800000000         1.3532910171        18.1041321689       209.5770738135 
        0.6800000000         0.1800000000         1.3507420656        18.4711317594       205.7726686106 
        0.6850000000         0.1800000000         1.3430952112        20.3061297119       194.3594530021 
        0.6900000000         0.1800000000         1.3532910171        21.0401288929       209.5770738135 
        0.6950001000         0.1800000000         1.3456441627        21.9576278691       198.1638582050 
        0.7000001000         0.1800000000         1.3456441627        23.0586266406       198.1638582050 
        0.7050001000         0.1800000000         1.3430952112        23.4256262311       194.3594530021 
        0.7100000000         0.1800000000         1.3558399686        25.4441239789       213.3814790163 
        0.7150000000         0.1800000000         1.3507420656        25.9946233646       205.7726686106 
        0.7200000000         0.1800000000         1.3456441627        26.9121223409       198.1638582050 
        0.7250029000         0.1800000000         1.3507420656        27.8296213171       205.7726686106 
        0.7300000000         0.1800000000         1.3456441627        29.1141198838       198.1638582050 
        0.7350000000         0.1800000000         1.3532910171        29.4811194743       209.5770738135 
        0.7400000000         0.1800000000         1.3456441627        30.5821182458       198.1638582050 
        0.7450000000         0.1800000000         1.3532910171        31.4996172221       209.5770738135 
        0.7500002000         0.1800000000         1.3354483567        32.2336164031       182.9462373937 
        0.7550019000         0.1800000000         1.3583889201        33.5181149698       217.1858842191 
        0.7600000000         0.1800000000         1.3379973082        34.9861133318       186.7506425965 
        0.7650000000         0.1800000000         1.3583889201        35.5366127175       217.1858842191 
        0.7700000000         0.1800000000         1.3354483567        36.6376114890       182.9462373937 
        0.7750000000         0.1800000000         1.3558399686        37.9221100558       213.3814790163 
        0.7800000000         0.1800000000         1.3456441627        39.0231088273       198.1638582050 
        0.7850584000         0.1800000000         1.3532910171        39.2066086225       209.5770738135 
        0.7900000000         0.1800000000         1.3354483567        40.6746069845       182.9462373937 
        0.7950000000         0.1800000000         1.3583889201        42.3261051417       217.1858842191 
        0.8000000000         0.1800000000         1.3456441627        42.8766045275       198.1638582050 
        0.8050000000         0.1800000000         1.3507420656        43.9776032990       205.7726686106 
        0.8100000000         0.1800000000         1.3507420656        44.3446028895       205.7726686106 
