           Time[sec]           V_{cmd}[V]          V_{gyro}[V] \omega_{gyro}[rad/s]          \theta[rad] 
        0.0000000000         0.7800000000         1.2130986854        -0.0254973684         1.2895900981 
        0.0050000000         0.7800000000         1.2105497339        -0.0918967653         1.2735767201 
        0.0100000000         0.7800000000         1.2207455399         0.1737008222         1.2895900981 
        0.0150000000         0.7800000000         1.2130986854        -0.0254973684         1.2863874225 
        0.0200001000         0.7800000000         1.4297595617         5.6184513655         1.2991981249 
        0.0250001000         0.7800000000         1.4144658528         5.2200549843         1.3248195298 
        0.0300000000         0.7800000000         1.4144658528         5.2200549843         1.3536436102 
        0.0350000000         0.7800000000         1.4909343974         7.2120368904         1.3824676906 
        0.0400000000         0.7800000000         1.4705427855         6.6808417154         1.4144944467 
        0.0450000000         0.7800000000         1.4985812518         7.4112350810         1.4561292295 
        0.0500001000         0.7800000000         1.5138749607         7.8096314622         1.5009666880 
        0.0550001000         0.7800000000         1.5623050390         9.0712200027         1.5297907684 
        0.0600001000         0.7800000000         1.5444623786         8.6064242246         1.5842362537 
        0.0650000000         0.7800000000         1.5597560875         9.0048206058         1.6130603341 
        0.0700000000         0.7800000000         1.5495602815         8.7392230184         1.6418844145 
        0.0750000000         0.7800000000         1.5419134271         8.5400248278         1.7059379266 
        0.0800001000         0.7800000000         1.6081861657        10.2664091464         1.7475727095 
        0.0851057000         0.7800000000         1.5725008449         9.3368175902         1.7956128435 
        0.0900001000         0.7800000000         1.5954414083         9.9344121620         1.8404503020 
        0.0950000000         0.7800000000         1.6132840687        10.3992079401         1.8820850848 
        0.1000000000         0.7800000000         1.6081861657        10.2664091464         1.9301252189 
        0.1050000000         0.7800000000         1.6081861657        10.2664091464         1.9877733798 
        0.1100695000         0.7800000000         1.6107351172        10.3328085432         2.0422188650 
        0.1150001000         0.7800000000         1.6311267291        10.8640037182         2.1094750527 
        0.1200001000         0.7800000000         1.6183819717        10.5320067338         2.1479071600 
        0.1250000000         0.7800000000         1.6515183410        11.3951988931         2.2023526452 
        0.1300000000         0.7800000000         1.6260288261        10.7312049244         2.2503927793 
        0.1350000000         0.7800000000         1.6515183410        11.3951988931         2.3208516426 
        0.1400005000         0.7800000000         1.6387735836        11.0632019088         2.3784998034 
        0.1450018000         0.7800000000         1.6693610014        11.8599946712         2.4585666935 
        0.1500001000         0.7800000000         1.6770078558        12.0591928618         2.4937961252 
        0.1550000000         0.7800000000         1.6693610014        11.8599946712         2.5418362592 
        0.1600000000         0.7800000000         1.6566162440        11.5279976869         2.6026870957 
        0.1650000000         0.7800000000         1.6591651954        11.5943970837         2.6699432834 
        0.1700000000         0.7800000000         1.6591651954        11.5943970837         2.7564155247 
        0.1750001000         0.7800000000         1.7050463222        12.7895862274         2.8332797392 
        0.1836560000         0.7800000000         1.6897526133        12.3911898462         2.9069412781 
        0.1850145000         0.7800000000         1.6897526133        12.3911898462         2.9197519805 
        0.1900000000         0.7800000000         1.6897526133        12.3911898462         2.9774001413 
        0.1950000000         0.7800000000         1.7024973707        12.7231868305         3.0446563290 
        0.2000000000         0.7800000000         1.7050463222        12.7895862274         3.1119125167 
        0.2051419000         0.7800000000         1.7024973707        12.7231868305         3.1375339215 
        0.2100001000         0.7800000000         1.7050463222        12.7895862274         3.1407365971 
        0.2150001000         0.7800000000         1.7101442252        12.9223850211        -1.7593570767 
        0.2200000000         0.7800000000         1.7101442252        12.9223850211        -1.7465463743 
        0.2250000000         0.7800000000         1.7050463222        12.7895862274        -3.1429129376 
        0.2300000000         0.7800000000         1.7101442252        12.9223850211        -3.1429129376 
        0.2350001000         0.7800000000         1.7279868856        13.3871807992        -3.1108861815 
        0.2400001000         0.7800000000         1.7228889826        13.2543820055        -3.0436299938 
        0.2450044000         0.7800000000         1.7254379341        13.3207814023        -2.9699684550 
        0.2500000000         0.7800000000         1.7330847885        13.5199795930        -2.8610774844 
        0.2614852000         0.7800000000         1.7228889826        13.2543820055        -2.7393758115 
        0.2658529000         0.7800000000         1.7458295460        13.8519765773        -2.6721196238 
        0.2674211000         0.7800000000         1.7432805945        13.7855771804        -2.6625115970 
        0.2700001000         0.7800000000         1.7305358370        13.4535801961        -2.6240794897 
        0.2750001000         0.7800000000         1.7458295460        13.8519765773        -2.5504179509 
        0.2800685000         0.7800000000         1.7432805945        13.7855771804        -2.4799590876 
        0.2850000000         0.7800000000         1.7432805945        13.7855771804        -2.4223109267 
        0.2900001000         0.7800000000         1.7611232549        14.2503729585        -2.3422440366 
        0.2950000000         0.7800000000         1.7458295460        13.8519765773        -2.2845958757 
        0.3000001000         0.7800000000         1.7611232549        14.2503729585        -2.2141370125 
        0.3050001000         0.7800000000         1.7611232549        14.2503729585        -2.1468808248 
        0.3100001000         0.7800000000         1.7789659153        14.7151687366        -2.0668139347 
        0.3150000000         0.7800000000         1.7636722064        14.3167723554        -1.9995577470 
        0.3200000000         0.7800000000         1.7636722064        14.3167723554        -1.9419095861 
        0.3250000000         0.7800000000         1.7687701093        14.4495711491        -1.8714507228 
        0.3300001000         0.7800000000         1.7585743034        14.1839735616        -1.8009918596 
        0.3350001000         0.7800000000         1.7738680123        14.5823699429        -1.7369383475 
        0.3400001000         0.7800000000         1.7713190608        14.5159705460        -1.6600741330 
        0.3450000000         0.7800000000         1.7840638182        14.8479675303        -1.5928179453 
        0.3500001000         0.7800000000         1.7764169638        14.6487693397        -1.5223590820 
        0.3550001000         0.7800000000         1.7738680123        14.5823699429        -1.4390895163 
        0.3600001000         0.7800000000         1.7917106727        15.0471657209        -1.3686306530 
        0.3650001000         0.7800000000         1.7942596242        15.1135651178        -1.2885637630 
        0.3700001000         0.7800000000         1.7866127697        14.9143669272        -1.2149022241 
        0.3750000000         0.7800000000         1.7866127697        14.9143669272        -1.1540513876 
        0.3800000000         0.7800000000         1.7866127697        14.9143669272        -1.0707818219 
        0.3850000000         0.7800000000         1.7942596242        15.1135651178        -1.0195390122 
        0.3900000000         0.7800000000         1.7840638182        14.8479675303        -0.9394721221 
        0.3950001000         0.7800000000         1.7866127697        14.9143669272        -0.8626079076 
        0.4000001000         0.7800000000         1.7866127697        14.9143669272        -0.7985543956 
        0.4050000000         0.7800000000         1.8044554301        15.3791627053        -0.7120821543 
        0.4100000000         0.7800000000         1.8019064786        15.3127633084        -0.6480286422 
        0.4150001000         0.7800000000         1.8070043816        15.4455621022        -0.5743671033 
        0.4200001000         0.7800000000         1.7942596242        15.1135651178        -0.5039082400 
        0.4250001000         0.7800000000         1.7942596242        15.1135651178        -0.4142333231 
        0.4300001000         0.7800000000         1.7840638182        14.8479675303        -0.3565851622 
        0.4350001000         0.7800000000         1.8070043816        15.4455621022        -0.2701129209 
        0.4400000000         0.7800000000         1.7917106727        15.0471657209        -0.2092620845 
        0.4450000000         0.7800000000         1.8121022846        15.5783608959        -0.1259925188 
        0.4500000000         0.7800000000         1.7993575272        15.2463639116        -0.0587363311 
        0.4550001000         0.7800000000         1.8019064786        15.3127633084         0.0053171810 
        0.4600001000         0.7800000000         1.8095533331        15.5119614990         0.0917894223 
        0.4650001000         0.7800000000         1.8044554301        15.3791627053         0.1494375832 
        0.4700000000         0.7800000000         1.8121022846        15.5783608959         0.2423151757 
        0.4750001000         0.7800000000         1.7917106727        15.0471657209         0.3063686878 
        0.4800001000         0.7800000000         1.8019064786        15.3127633084         0.3768275510 
        0.4850001000         0.7800000000         1.7993575272        15.2463639116         0.4665024679 
        0.4900001000         0.7800000000         1.8095533331        15.5119614990         0.5305559800 
        0.4950001000         0.7800000000         1.7968085757        15.1799645147         0.6170282213 
        0.5447347000         0.7800000000         1.7942596242        15.1135651178         1.8244369240 
        0.5787854000         0.7800000000         1.7789659153        14.7151687366         1.8436529776 
        0.5801908000         0.7800000000         1.7840638182        14.8479675303         1.8724770580 
        0.5814964000         0.7800000000         1.7968085757        15.1799645147         1.9045038141 
        0.5828046000         0.7800000000         1.8019064786        15.3127633084         1.9141118409 
        0.5840958000         0.7800000000         1.8146512361        15.6447602928         1.9429359213 
        0.5853806000         0.7800000000         1.8070043816        15.4455621022         1.9557466237 
        0.5866223000         0.7800000000         1.7866127697        14.9143669272         1.9717600017 
        0.5879174000         0.7800000000         1.7789659153        14.7151687366         1.9909760554 
        0.5891581000         0.7800000000         1.7789659153        14.7151687366         2.0133947846 
        0.5905077000         0.7800000000         1.7789659153        14.7151687366         2.0262054870 
        0.5934986000         0.7800000000         1.8222980905        15.8439584834         2.0774482967 
        0.5948817000         0.7800000000         1.8222980905        15.8439584834         2.1030697015 
        0.5983554000         0.7800000000         1.7891617212        14.9807663241         2.1607178624 
        0.6003686000         0.7800000000         1.7764169638        14.6487693397         2.1735285648 
        0.6016394000         0.7800000000         1.7789659153        14.7151687366         2.1927446184 
        0.6029273000         0.7800000000         1.8019064786        15.3127633084         2.2279740500 
        0.6041764000         0.7800000000         1.8146512361        15.6447602928         2.2439874281 
        0.6054509000         0.7800000000         1.8197491390        15.7775590865         2.2696088329 
