           Time[sec]  \omega_{cmd}[rad/s]          V_{gyro}[V] \omega_{gyro}[rad/s]          \theta[rad] 
        0.0000000000         0.0000000000         1.2207455399         0.2057053315         0.8540262160 
        0.0050001000         0.5274153150         1.2181965884         0.1393059346         0.8540262160 
        0.0100001000         1.0525253354         1.2054518309        -0.1926910497         0.8380128380 
        0.0150000000         1.5730455569         1.2105497339        -0.0598922560         0.8380128380 
        0.0200001000         2.0867422393         1.2207455399         0.2057053315         0.8540262160 
        0.0250001000         2.5913493309         1.2130986854         0.0065071409         0.8444181892 
        0.0300000000         3.0846719382         1.2181965884         0.1393059346         0.8636342428 
        0.0350001000         3.5645928278         1.2130986854         0.0065071409         0.8412155136 
        0.0400001000         4.0289947312         1.2844693270         1.8656902532         0.8444181892 
        0.0450000000         4.4758580648         1.2844693270         1.8656902532         0.8668369184 
        0.0500001000         4.9032647688         1.2666266666         1.4008944752         0.8604315672 
        0.0550001000         5.3093290264         1.2895672300         1.9984890470         0.8860529720 
        0.0600015000         5.6923966712         1.2895672300         1.9984890470         0.8860529720 
        0.0650001000         6.0504899468         1.3048609389         2.3968854282         0.9052690257 
        0.0700001000         6.3823618798         1.3150567448         2.6624830157         0.9148770525 
        0.0750001000         6.6864646855         1.3074098904         2.4632848251         0.9212824037 
        0.0800001000         6.9614752378         1.3023119874         2.3304860313         0.9212824037 
        0.0850001000         7.2061969885         1.3328994052         3.1272787938         0.9437011329 
        0.0900001000         7.4195651736         1.3201546478         2.7952818094         0.9565118353 
        0.0950001000         7.6006514458         1.3201546478         2.7952818094         0.9661198621 
        0.1000001000         7.7486679138         1.3456441627         3.4592757781         0.9949439426 
        0.1050001000         7.8629705702         1.3354483567         3.1936781906         0.9917412670 
        0.1100001000         7.9430620935         1.3481931142         3.5256751750         1.0205653474 
        0.1150001000         7.9885940124         1.3660357746         3.9904709531         1.0461867522 
        0.1200001000         7.9993682210         1.3507420656         3.5920745718         1.0557947790 
        0.1250000000         7.9753386699         1.3787805320         4.3224679374         1.0654028059 
        0.1300001000         7.9166074289         1.3634868231         3.9240715562         1.1038349131 
        0.1350001000         7.8234325135         1.3736826290         4.1896691437         1.1166456155 
        0.1400000000         7.6962213727         1.3558399686         3.7248733656         1.1262536423 
        0.1450001000         7.5355188617         1.3838784350         4.4552667311         1.1614830740 
        0.1500001000         7.3420328138         1.3762315805         4.2560685405         1.1871044788 
        0.1550000000         7.1166070110         1.3787805320         4.3224679374         1.1967125056 
        0.1600001000         6.8602078200         1.3481931142         3.5256751750         1.2191312348 
        0.1650001000         6.5739652546         1.3940742409         4.7208643186         1.2383472885 
        0.1700000000         6.2591264846         1.3660357746         3.9904709531         1.2511579909 
        0.1750001000         5.9170416566         1.3736826290         4.1896691437         1.2799820713 
        0.1800001000         5.5492188441         1.3762315805         4.2560685405         1.3056034761 
        0.1850000000         5.1572599090         1.3711336775         4.1232697468         1.3152115030 
        0.1900001000         4.7428460618         1.3762315805         4.2560685405         1.3504409346 
        0.1950001000         4.3078045531         1.3558399686         3.7248733656         1.3536436102 
        0.2000001000         3.8540201440         1.3864273864         4.5216661280         1.3856703662 
