           Time[sec]  \omega_{cmd}[rad/s]          V_{gyro}[V] \omega_{gyro}[rad/s]          \theta[rad] 
        0.0000000000         0.0000000000         1.2130986854         0.0065071409         1.2447526397 
        0.0050000000         0.8278955620         1.2130986854         0.0065071409         1.2447526397 
        0.0100000000         1.6469008702         1.2207455399         0.2057053315         1.2511579909 
        0.0150000000         2.4482211375         1.2130986854         0.0065071409         1.2415499641 
        0.0200003000         3.2232970314         1.2105497339        -0.0598922560         1.2351446129 
        0.0250000000         3.9636693475         1.2130986854         0.0065071409         1.2415499641 
        0.0300000000         4.6615238373         1.2181965884         0.1393059346         1.2511579909 
        0.0350000000         5.3093211315         1.2181965884         0.1393059346         1.2447526397 
        0.0400000000         5.9001049389         1.3150567448         2.6624830157         1.2575633421 
        0.0450000000         6.4275312009         1.2921161815         2.0648884438         1.2639686933 
        0.0500000000         6.8859362160         1.2742735211         1.6000926658         1.2639686933 
        0.0550000000         7.2703974588         1.3227035993         2.8616812063         1.2895900981 
        0.0600000000         7.5767864400         1.3227035993         2.8616812063         1.2991981249 
        0.0650000000         7.8018130393         1.3328994052         3.1272787938         1.3152115030 
        0.0700000000         7.9430608366         1.3481931142         3.5256751750         1.3344275566 
        0.0750000000         7.9990130599         1.3379973082         3.2600775875         1.3440355834 
        0.0800000000         7.9690688731         1.3354483567         3.1936781906         1.3600489614 
        0.0850000000         7.8535498284         1.3762315805         4.2560685405         1.3696569882 
        0.0900000000         7.6536964125         1.3328994052         3.1272787938         1.3952783931 
        0.0950000000         7.3716547266         1.3634868231         3.9240715562         1.4144944467 
        0.1000000000         7.0104534404         1.3481931142         3.5256751750         1.4401158515 
        0.1050000000         6.5739712690         1.3736826290         4.1896691437         1.4497238783 
        0.1100000000         6.0668953223         1.3379973082         3.2600775875         1.4593319051 
        0.1150000000         5.4946707724         1.3634868231         3.9240715562         1.4849533100 
        0.1200000000         4.8634423816         1.3456441627         3.4592757781         1.5041693636 
        0.1250000000         4.1799885177         1.3660357746         3.9904709531         1.5329934440 
        0.1300006000         3.4515585804         1.3252525508         2.9280806031         1.5329934440 
