           Time[sec]              Command             PortNo.0             PortNo.1             PortNo.2             PortNo.3 
        0.0000000000         2.5000000000         1.3966839240         1.3944191484         1.4067677040         2.3868800515 
        0.0050000000         2.5785268977         1.3992310243         1.3969654589         1.4067677040         2.3792335868 
        0.0100000000         2.6569762988         1.4043252250         1.4020580799         1.3991287878         2.3817824084 
        0.0150000000         2.7352707833         1.3966839240         1.3969654589         1.3991287878         2.3868800515 
        0.0200000000         2.8133330839         1.3763071212         1.3944191484         1.3914898717         2.3741359437 
        0.0250000000         2.8910861626         1.3763071212         1.3969654589         1.3965824825         2.3741359437 
        0.0300000000         2.9684532865         1.4017781247         1.3969654589         1.3940361771         2.3766847653 
        0.0350001000         3.0453596365         1.4017781247         1.3995117694         1.3813046501         2.3792335868 
        0.0400000000         3.1217247179         1.4145136264         1.4046043904         1.3991287878         2.3868800515 
        0.0450011000         3.1974943578         1.4094194257         1.4020580799         1.3940361771         2.3970753377 
        0.0500000000         3.2725424859         1.4017781247         1.3969654589         1.3863972609         2.3970753377 
        0.0550000000         3.3468448006         1.4017781247         1.3842339063         1.3863972609         2.4072706240 
        0.0600000000         3.4203113817         1.4068723253         1.3995117694         1.3940361771         2.4225635533 
        0.0650000000         3.4928697266         1.4017781247         1.3893265273         1.3914898717         2.4378564826 
        0.0700000000         3.5644482289         1.4119665260         1.3918728378         1.3965824825         2.4556982335 
        0.0750000000         3.6349762493         1.4068723253         1.3969654589         1.4042213986         2.4735399844 
        0.0800000000         3.7043841853         1.4017781247         1.3893265273         1.3965824825         2.4939305569 
        0.0850000000         3.7726035394         1.3941368236         1.3816875958         1.3965824825         2.5194187725 
        0.0900000000         3.8395669874         1.3966839240         1.3842339063         1.4067677040         2.5398093449 
        0.0950000000         3.9052084446         1.4170607267         1.4020580799         1.3940361771         2.5678463820 
        0.1000000000         3.9694631307         1.3941368236         1.3969654589         1.3965824825         2.5882369545 
        0.1050000000         4.0322676341         1.3839484223         1.3944191484         1.3940361771         2.6341157425 
        0.1100000000         4.0935599744         1.3839484223         1.3969654589         1.3965824825         2.6723480658 
        0.1150000000         4.1532796633         1.3941368236         1.3969654589         1.4093140094         2.7105803892 
        0.1200000000         4.2113677648         1.3992310243         1.3893265273         1.3991287878         2.7513615341 
        0.1250000000         4.2677669530         1.3915897233         1.3918728378         1.4118603148         2.8023379652 
        0.1300000000         4.3224215686         1.3915897233         1.4020580799         1.4016750932         2.8482167532 
        0.1350000000         4.3752776741         1.3864955226         1.3842339063         1.4067677040         2.8915467197 
        0.1400000000         4.4262831069         1.3992310243         1.4096970115         1.3965824825         2.9425231508 
        0.1450000000         4.4753875309         1.3992310243         1.3969654589         1.3940361771         2.9934995820 
        0.1500000000         4.5225424859         1.3839484223         1.3867802168         1.4118603148         3.0597689424 
        0.1550000000         4.5677014357         1.3864955226         1.3995117694         1.3965824825         3.1132941951 
        0.1600000000         4.6108198138         1.3915897233         1.3944191484         1.3914898717         3.1719170909 
        0.1650000000         4.6518550675         1.3941368236         1.3918728378         1.3914898717         3.2330888083 
        0.1700000000         4.6907667001         1.3992310243         1.4096970115         1.3991287878         3.3019069903 
        0.1750000000         4.7275163105         1.3864955226         1.3842339063         1.4042213986         3.3758228154 
        0.1800001000         4.7620683000         1.3966839240         1.3893265273         1.4042213986         3.4446409975 
        0.1850000000         4.7943865642         1.3890426230         1.3995117694         1.3991287878         3.5109103579 
        0.1900000000         4.8244412147         1.3890426230         1.3867802168         1.3965824825         3.5848261831 
        0.1950000000         4.8522019224         1.3966839240         1.3944191484         1.3914898717         3.6536443651 
