           Time[sec]           V_{cmd}[V]          V_{gyro}[V]          \theta[deg] \omega_{gyro}[deg/sec] 
        0.0000000000        23.4339600000         1.2130986854         0.6716516203        -4.6185479162 
        0.0050000000         4.2039378918         1.2283923943         0.8551514156        18.2078833007 
        0.0100000000         4.1114385865         1.3685847260         1.9561501871       227.4501694563 
        0.0150000000         3.3254240528         1.4679938340         2.6901493681       375.8219723667 
        0.0200000000         2.7730436459         1.5495602815         5.4426462968       497.5629388572 
        0.0250000000         2.0907690492         1.6132840687         7.8281436350       592.6730689279 
        0.0300000000         1.5326986680         1.6744589044        10.9476401542       683.9787937959 
        0.0350000000         0.9086030411         1.7228889826        14.8011358545       756.2624926496 
        0.0400000000         0.2671176845         1.7407316430        18.1041321689       782.8933290694 
        0.0450000000        -0.1698230301         1.7381826915        21.7741280739       779.0889238666 
        0.0500000000        -0.5485847749         1.7152421281        25.8111235694       744.8492770411 
        0.0550000000        -0.8691675498         1.6872036618        29.4811194743       703.0008198100 
        0.0600000000        -1.1263405043         1.5036791548        31.8666168126       429.0836452063 
        0.0650000000        -0.5049996197         1.1315322379        32.2336164031      -126.3595144068 
        0.0700000000         1.2311046560         1.1876091705        31.8666168126       -42.6625999445 
        0.0750000000         1.0027013798         1.2080007824        32.4171161983       -12.2273583219 
        0.0800000000         0.8467922540         1.2258434428        31.8666168126        14.4034780979 
        0.0850000000         0.8203181944         1.4042700468        33.1511153793       280.7118422960 
        0.0900000000        -0.1676255560         1.5164239122        34.2521141508       448.1056712204 
        0.0950000000        -0.8198924203         1.4577980281        36.4541116938       360.6043515554 
        0.1000000000        -0.7747905770         1.4527001251        38.8396090320       352.9955411497 
        0.1050000000        -1.0045712244         1.2691756181        38.6561092368        79.0783665460 
        0.1100000000        -0.1095859032         1.0652594992        37.9221100558      -225.2740496803 
        0.1150000000         0.9413085439         1.1009448200        38.4726094415      -172.0123768407 
        0.1200000000         0.7124461439         1.1060427230        37.0046110795      -164.4035664351 
        0.1250000000         0.8444966354         1.1417280438        37.0046110795      -111.1418935955 
        0.1300000000         0.6742723290         1.3634868231        36.8211112843       219.8413590507 
        0.1350000000        -0.3640041153         1.3685847260        37.5551104653       227.4501694563 
        0.1400000000        -0.4665059981         1.3430952112        39.2066086225       189.4061174280 
        0.1450000000        -0.5208314886         1.2997630359        39.9406078035       124.7312289800 
        0.1500000000        -0.3923146698         1.2768224726        40.3076073940        90.4915821545 
        0.1550034000        -0.3219768210         1.2334902973        41.2251063702        25.8166937064 
        0.1600000000        -0.2130060334         1.0932979656        39.5736082130      -183.4255924492 
        0.1650000000         0.6316465938         1.1519238497        39.7571080083       -95.9242727841 
        0.1700009000         0.3324463450         1.1825112676        39.9406078035       -50.2714103502 
        0.1750000000         0.1669937655         1.1927070735        38.6561092368       -35.0537895389 
        0.1800001000         0.2551804677         1.2029028795        39.2066086225       -19.8361687276 
        0.1850000000         0.1479068580         1.2130986854        38.8396090320        -4.6185479162 
        0.1900000000         0.1383634043         1.3176056963        39.5736082130       151.3620653998 
        0.1950000000        -0.4383347607         1.2717245696        40.1241075988        82.8827717488 
        0.2000000000        -0.2781130317         1.2487840062        40.4911071892        48.6431249234 
        0.2050000000        -0.2077751828         1.2232944913        41.2251063702        10.5990728951 
        0.2100015000        -0.1643705173         1.2029028795        40.1241075988       -19.8361687276 
        0.2150000000         0.0501767020         1.2130986854        40.6746069845        -4.6185479162 
        0.2200000000        -0.0570969076         1.2156476369        41.2251063702        -0.8141427134 
        0.2250000000        -0.1278938802         1.2130986854        40.6746069845        -4.6185479162 
        0.2300000000        -0.0570969076         1.1774133646        39.9406078035       -57.8802207559 
        0.2350000000         0.1913115235         1.1595707042        39.7571080083       -84.5110571756 
        0.2400001000         0.2959697079         1.1901581220        40.4911071892       -38.8581947417 
        0.2450000000         0.0718790348         1.1850602191        39.3901084178       -46.4670051474 
        0.2500000000         0.2134729800         1.2003539280        39.2066086225       -23.6405739304 
        0.2550000000         0.1600657370         1.2156476369        39.7571080083        -0.8141427134 
        0.2600000000         0.0284743693         1.2130986854        39.7571080083        -4.6185479162 
        0.2650000000         0.0406332483         1.2997630359        40.1241075988       124.7312289800 
        0.2700000000        -0.4118607010         1.2640777151        40.4911071892        71.4695561403 
        0.2750000000        -0.2807284570         1.2411371518        41.4086061655        37.2299093149 
