           Time[sec]           V_{cmd}[V]          V_{gyro}[V]          \theta[deg] \omega_{gyro}[deg/sec] 
        0.0000000000        27.6946800000         1.2130986854         1.4056508013         1.1641479921 
        0.0050001000         8.3679922710         1.2207455399         1.9561501871        12.5773636005 
        0.0100001000         8.2728775403         1.2181965884         2.1396499823         8.7729583977 
        0.0150000000         8.2654903881         1.4374064162         2.1396499823       335.9518058410 
        0.0200001000         7.2198267917         1.6336756806         4.1581477300       628.8910064589 
        0.0250001000         6.0685867634         1.5979903598         7.0941444540       575.6293336193 
        0.0300001000         5.9260745708         1.7075952737        11.4981395400       739.2187573409 
        0.0350000000         4.9341380240         1.7483784974        15.1681354450       800.0892405862 
        0.0400001000         4.3486753358         1.7611232549        18.4711317594       819.1112666003 
        0.0450001000         3.9360523792         1.8044554301        22.5081272549       883.7861550484 
        0.0500000000         3.2993387495         1.8911197807        27.6461215219      1013.1359319446 
        0.0550001000         2.3386479892         1.8809239747        31.8666168126       997.9183111333 
        0.0600001000         1.9377247880         1.8936687321        37.1881108748      1016.9403371475 
        0.0650001000         1.3100954883         1.9344519559        43.4271039132      1077.8108203927 
        0.0700000000         0.4509883634         1.9854309856        48.3815983849      1153.8989244493 
        0.0750001000        -0.3199320593         1.9522946163        53.3360928566      1104.4416568125 
        0.0800001000        -0.6896094741         1.9395498589        59.5750858951      1085.4196307984 
        0.0850000000        -1.2933801394         1.9038645381        64.7130801621      1032.1579579588 
        0.0900000000        -1.6704447063         1.4399553677        66.5480781145       339.7562110439 
        0.0950001000         0.3470109649         1.3762315805        68.7500756575       244.6460809731 
        0.1000001000         0.4164305663         1.3354483567        69.1170752480       183.7755977279 
        0.1050000000         0.5718805684         1.3048609389        69.6675746338       138.1227352939 
        0.1100001000         0.6591490232         1.2946651330        71.5025725862       122.9051144826 
        0.1150001000         0.5123242274         1.4323085132        71.8695721767       328.3429954354 
        0.1200000000        -0.1833473025         1.4985812518        74.4385693102       427.2575307089 
        0.1250000000        -0.7731225939         1.4374064162        76.0900674675       335.9518058410 
        0.1300001000        -0.6572237780         1.4170148043        77.5580658294       305.5165642184 
        0.1350001000        -0.7163209953         1.1927070735        77.5580658294       -29.2710936306 
        0.1400000000         0.3536603592         1.0958469171        77.0075664437      -173.8384913381 
        0.1450001000         0.8743358559         1.1672175587        77.1910662390       -67.3151456589 
        0.1500001000         0.5143412119         1.1876091705        76.6405668532       -36.8799040362 
        0.1550001000         0.4757082732         1.2156476369        76.2735672627         4.9685531949 
        0.1600000000         0.3810526663         1.3379973082        76.8240666485       187.5800029307 
        0.1650001000        -0.2612116206         1.3507420656        77.5580658294       206.6020289448 
        0.1700001000        -0.4001901405         1.3201546478        78.4755648057       160.9491665109 
        0.1750000000        -0.3520137481         1.3048609389        79.7600633724       138.1227352939 
        0.1800001000        -0.4158826923         1.2640777151        80.3105627582        77.2522520486 
        0.1850001000        -0.2799787214         1.1672175587        80.6775623487       -67.3151456589 
        0.1900001000         0.1429666193         1.1289832864        80.1270629629      -124.3812237013 
        0.1950000000         0.3839878983         1.1825112676        79.7600633724       -44.4887144419 
        0.2000001000         0.1677435011         1.1952560250        79.0260641914       -25.4666884277 
        0.2050001000         0.1851332307         1.2156476369        79.2095639867         4.9685531949 
        0.2100001000         0.0683161673         1.2156476369        78.8425643962         4.9685531949 
        0.2150000000         0.1074082296         1.2156476369        79.5765635772         4.9685531949 
        0.2200001000         0.0292241049         1.2615287636        79.5765635772        73.4478468458 
        0.2250001000        -0.1896357176         1.2844693270        80.1270629629       107.6874936713 
        0.2300000000        -0.3577037225         1.2411371518        79.7600633724        43.0126052232 
        0.2350001000        -0.1119107166         1.2232944913        79.9435631677        16.3817688034 
        0.2400001000        -0.0463445946         1.2130986854        80.6775623487         1.1641479921 
        0.2450000000        -0.0758932032         1.2156476369        80.1270629629         4.9685531949 
        0.2500000000        -0.0294139887         1.2105497339        80.3105627582        -2.6402572108 
        0.2550001000        -0.0246422618         1.2207455399        80.6775623487        12.5773636005 
        0.2600001000        -0.1123698403         1.1468259468        79.3930637819       -97.7503872815 
        0.2650000000         0.3770598698         1.1723154616        79.3930637819       -59.7063352532 
        0.2700001000         0.2554710795         1.1876091705        79.0260641914       -36.8799040362 
        0.2750001000         0.2216098678         1.2130986854        79.0260641914         1.1641479921 
        0.2800001000         0.1000210775         1.2105497339        78.6590646009        -2.6402572108 
        0.2850000000         0.1512720189         1.2080007824        79.2095639867        -6.4446624136 
        0.2900015000         0.1047928043         1.2080007824        79.0260641914        -6.4446624136 
        0.2950001000         0.1243388355         1.2283923943        79.2095639867        23.9905792090 
        0.3000000000         0.0075217721         1.3074098904        79.7600633724       141.9271404967 
        0.3050001000        -0.4280415713         1.2513329577        80.4940625534        58.2302260345 
        0.3100001000        -0.2387303575         1.2207455399        80.3105627582        12.5773636005 
        0.3150001000        -0.0732777779         1.1952560250        80.1270629629       -25.4666884277 
        0.3200000000         0.0678570435         1.2232944913        80.3105627582        16.3817688034 
        0.3250001000        -0.0854366570         1.2003539280        79.7600633724       -17.8578780221 
        0.3300001000         0.0826313479         1.2105497339        80.1270629629        -2.6402572108 
        0.3350000000        -0.0050962306         1.2105497339        79.7600633724        -2.6402572108 
        0.3400000000         0.0339958317         1.2130986854        80.4940625534         1.1641479921 
        0.3450001000        -0.0563471720         1.2105497339        80.1270629629        -2.6402572108 
        0.3500001000        -0.0050962306         1.2130986854        80.1270629629         1.1641479921 
        0.3550001000        -0.0172551097         1.2054518309        79.5765635772       -10.2490676164 
        0.3600001000         0.0778596210         1.2054518309        79.5765635772       -10.2490676164 
        0.3650001000         0.0778596210         1.2130986854        80.1270629629         1.1641479921 
        0.3700000000        -0.0172551097         1.2130986854        80.1270629629         1.1641479921 
        0.3750000000        -0.0172551097         1.2080007824        79.5765635772        -6.4446624136 
        0.3800001000         0.0657007420         1.2080007824        79.5765635772        -6.4446624136 
        0.3850001000         0.0657007420         1.2207455399        80.6775623487        12.5773636005 
        0.3900000000        -0.1123698403         1.2232944913        79.9435631677        16.3817688034 
        0.3950001000        -0.0463445946         1.2283923943        80.3105627582        23.9905792090 
        0.4000001000        -0.1097544150         1.1952560250        80.4940625534       -25.4666884277 
        0.4050001000         0.0287649811         1.2029028795        80.1270629629       -14.0534728193 
        0.4100000000         0.0313804064         1.2181965884        80.3105627582         8.7729583977 
        0.4150001000        -0.0611188989         1.2029028795        79.7600633724       -14.0534728193 
        0.4200001000         0.0704724688         1.2207455399        80.8610621439        12.5773636005 
        0.4250000000        -0.1319158715         1.2232944913        81.0445619392        16.3817688034 
        0.4300001000        -0.1636207817         1.2105497339        80.3105627582        -2.6402572108 
        0.4350001000        -0.0246422618         1.2130986854        80.3105627582         1.1641479921 
        0.4400001000        -0.0368011409         1.2054518309        79.7600633724       -10.2490676164 
        0.4450000000         0.0583135898         1.2105497339        80.3105627582        -2.6402572108 
        0.4500001000        -0.0246422618         1.2105497339        79.9435631677        -2.6402572108 
        0.4550001000         0.0144498006         1.2080007824        80.3105627582        -6.4446624136 
        0.4600000000        -0.0124833828         1.2029028795        80.3105627582       -14.0534728193 
        0.4650000000         0.0118343753         1.1927070735        79.5765635772       -29.2710936306 
        0.4700001000         0.1386540161         1.2232944913        80.6775623487        16.3817688034 
