           Time[sec]  \omega_{cmd}[rad/s]          V_{gyro}[V] \omega_{gyro}[rad/s]          \theta[rad] 
        0.0000000000         2.5000000000         1.2130986854        31.6008450925         1.5714255513 
        0.0050000000         2.5000000000         1.2207455399        31.8000432831         1.5714255513 
        0.0100000000         2.5000000000         1.2130986854        31.6008450925         1.5650202001 
        0.0150000000         2.5000000000         1.2130986854        31.6008450925         1.5618175245 
        0.0200000000         2.5000000000         1.2130986854        31.6008450925         1.5618175245 
        0.0250000000         2.5000000000         1.2130986854        31.6008450925         1.5618175245 
        0.0300032000         2.5000000000         1.2130986854        31.6008450925         1.5618175245 
        0.0350000000         2.5000000000         1.2130986854        31.6008450925         1.5618175245 
        0.0400000000         2.5000000000         1.2130986854        31.6008450925         1.5618175245 
        0.0450000000         2.5000000000         1.2105497339        31.5344456956         1.5586148488 
        0.0500000000         2.5000000000         1.2207455399        31.8000432831         1.5714255513 
        0.0550000000         2.5000000000         1.2130986854        31.6008450925         1.5554121732 
        0.0600000000         2.5000000000         1.2080007824        31.4680462987         1.5554121732 
        0.0650000000         2.5000000000         1.2130986854        31.6008450925         1.5554121732 
        0.0700000000         2.5000000000         1.2130986854        31.6008450925         1.5650202001 
        0.0750000000         2.5000000000         1.2207455399        31.8000432831         1.5714255513 
        0.0800000000         2.5000000000         1.2156476369        31.6672444893         1.5714255513 
        0.0850000000         2.5000000000         1.2181965884        31.7336438862         1.5714255513 
        0.0900000000         2.5000000000         1.2080007824        31.4680462987         1.5554121732 
        0.0950000000         2.5000000000         1.2181965884        31.7336438862         1.5714255513 
        0.1000000000         2.5000000000         1.2130986854        31.6008450925         1.5650202001 
        0.1050000000         2.5000000000         1.2054518309        31.4016469019         1.5554121732 
        0.1100000000         2.5000000000         1.2207455399        31.8000432831         1.5714255513 
        0.1150000000         2.5000000000         1.2130986854        31.6008450925         1.5618175245 
        0.1200000000         2.5000000000         1.2130986854        31.6008450925         1.5650202001 
        0.1250000000         2.5000000000         1.2105497339        31.5344456956         1.5618175245 
        0.1300000000         2.5000000000         1.2130986854        31.6008450925         1.5618175245 
        0.1350000000         2.5000000000         1.2080007824        31.4680462987         1.5586148488 
        0.1400000000         2.5000000000         1.2207455399        31.8000432831         1.5746282269 
        0.1450000000         2.5000000000         1.2130986854        31.6008450925         1.5714255513 
        0.1500000000         2.5000000000         1.2130986854        31.6008450925         1.5618175245 
        0.1550000000         2.5000000000         1.2207455399        31.8000432831         1.5618175245 
        0.1600000000         2.5000000000         1.2130986854        31.6008450925         1.5554121732 
        0.1650000000         2.5000000000         1.2130986854        31.6008450925         1.5650202001 
        0.1700000000         2.5000000000         1.2029028795        31.3352475050         1.5554121732 
        0.1750000000         2.5000000000         1.2130986854        31.6008450925         1.5650202001 
        0.1800000000         2.5000000000         1.2080007824        31.4680462987         1.5554121732 
        0.1850000000         2.5000000000         1.2130986854        31.6008450925         1.5650202001 
        0.1900000000         2.5000000000         1.2156476369        31.6672444893         1.5714255513 
        0.1950000000         2.5000000000         1.2207455399        31.8000432831         1.5714255513 
        0.2000000000         2.5000000000         1.2207455399        31.8000432831         1.5714255513 
        0.2050000000         2.5000000000         1.2080007824        31.4680462987         1.5554121732 
        0.2100000000         2.5000000000         1.2130986854        31.6008450925         1.5618175245 
        0.2150000000         2.5000000000         1.2207455399        31.8000432831         1.5714255513 
        0.2200000000         2.5000000000         1.2181965884        31.7336438862         1.5746282269 
        0.2250000000         2.5000000000         1.2105497339        31.5344456956         1.5618175245 
        0.2300000000         2.5000000000         1.2029028795        31.3352475050         1.5586148488 
        0.2350000000         2.5000000000         1.2080007824        31.4680462987         1.5586148488 
        0.2400000000         2.5000000000         1.2207455399        31.8000432831         1.5714255513 
        0.2450000000         2.5000000000         1.2181965884        31.7336438862         1.5618175245 
        0.2500000000         2.5000000000         1.2130986854        31.6008450925         1.5650202001 
        0.2550000000         2.5000000000         1.2054518309        31.4016469019         1.5554121732 
        0.2600000000         2.5000000000         1.2181965884        31.7336438862         1.5714255513 
        0.2650000000         2.5000000000         1.2080007824        31.4680462987         1.5618175245 
        0.2700000000         2.5000000000         1.2130986854        31.6008450925         1.5650202001 
        0.2750000000         2.5000000000         1.2130986854        31.6008450925         1.5618175245 
        0.2800000000         2.5000000000         1.2029028795        31.3352475050         1.5554121732 
        0.2850000000         2.5000000000         1.2156476369        31.6672444893         1.5714255513 
        0.2900000000         2.5000000000         1.2105497339        31.5344456956         1.5650202001 
        0.2950000000         2.5000000000         1.2130986854        31.6008450925         1.5650202001 
        0.3000000000         2.5000000000         1.2054518309        31.4016469019         1.5554121732 
        0.3050000000         2.5000000000         1.2105497339        31.5344456956         1.5650202001 
