           Time[sec]  \omega_{cmd}[rad/s]          V_{gyro}[V] \omega_{gyro}[rad/s]          \theta[rad] 
        0.0000000000         3.3200000000         1.2054518309        -0.1803407619         3.1343312459 
        0.0050000000         3.3200000000         1.2181965884         0.1516562224         3.1407365971 
        0.0100000000         3.3200000000         1.2105497339        -0.0475419682         3.1407365971 
        0.0150000000         3.3200000000         1.2207455399         0.2180556193         3.1471419483 
        0.0200000000         3.3200000000         1.2768224726         1.6788423504         3.1471419483 
        0.0250000000         3.3200000000         1.4170148043         5.3308091783         3.1407365971 
        0.0300000000         3.3200000000         1.3379973082         3.2724278753         3.1407365971 
        0.0350000000         3.3200000000         1.3532910171         3.6708242565         3.1279258947 
        0.0400000000         3.3200000000         1.4374064162         5.8620043532        -1.7721677791 
        0.0450000000         3.3200000000         1.3864273864         4.5340164158        -1.7625597523 
        0.0500000000         3.3200000000         1.4399553677         5.9284037501        -1.7529517255 
        0.0552800000         3.3200000000         1.4170148043         5.3308091783        -3.1397102620 
        0.0600000000         3.3200000000         1.4577980281         6.3931995282        -3.1429129376 
        0.0650000000         3.3200000000         1.4144658528         5.2644097814        -3.1525209644 
        0.0700000000         3.3200000000         1.4628959310         6.5259983219        -3.1461156132 
        0.0750000000         3.3200000000         1.4399553677         5.9284037501        -3.1461156132 
        0.0800000000         3.3200000000         1.4603469795         6.4595989250        -3.1333049108 
        0.0850000000         3.3200000000         1.4756406885         6.8579953063        -3.1044808303 
        0.0900000000         3.3200000000         1.4858364944         7.1235928937        -3.0660487231 
        0.0950000000         3.3200000000         1.4654448825         6.5923977188        -3.0340219670 
        0.1000000000         3.3200000000         1.4985812518         7.4555898781        -3.0019952110 
        0.1050000000         3.3200000000         1.4832875429         7.0571934969        -2.9667657794 
        0.1100000000         3.3200000000         1.5087770578         7.7211874656        -2.9251309965 
        0.1150000000         3.3200000000         1.4730917370         6.7915959094        -2.8899015649 
        0.1200000000         3.3200000000         1.5189728637         7.9867850530        -2.8386587552 
        0.1250000000         3.3200000000         1.4960323003         7.3891904812        -2.8002266480 
        0.1300000000         3.3200000000         1.5291686697         8.2523826405        -2.7714025675 
        0.1350000000         3.3200000000         1.5036791548         7.5883886718        -2.7329704603 
        0.1400000000         3.3200000000         1.5342665726         8.3851814343        -2.6977410286 
        0.1450000000         3.3200000000         1.5138749607         7.8539862593        -2.6432955434 
        0.1500000000         3.3200000000         1.5521092330         8.8499772123        -2.6048634361 
        0.1550000000         3.3200000000         1.5368155241         8.4515808311        -2.5600259777 
        0.1600000000         3.3200000000         1.5317176211         8.3187820374        -2.5279992216 
        0.1650000000         3.3200000000         1.5419134271         8.5843796249        -2.4863644388 
        0.1700000000         3.3200000000         1.5368155241         8.4515808311        -2.4479323315 
        0.1750000000         3.3200000000         1.5546581845         8.9163766092        -2.3902841707 
        0.1800001000         3.3200000000         1.5572071360         8.9827760061        -2.3550547390 
        0.1850000000         3.3200000000         1.5521092330         8.8499772123        -2.3102172806 
        0.1900000000         3.3200000000         1.5623050390         9.1155747998        -2.2653798221 
        0.1950000000         3.3200000000         1.5470113301         8.7171784186        -2.2301503905 
        0.2000000000         3.3200000000         1.5572071360         8.9827760061        -2.1885156076 
        0.2050000000         3.3200000000         1.5623050390         9.1155747998        -2.1468808248 
        0.2100001000         3.3200000000         1.5750497964         9.4475717842        -2.0924353395 
        0.2150000000         3.3200000000         1.5597560875         9.0491754029        -2.0379898542 
        0.2200000000         3.3200000000         1.5903435053         9.8459681654        -1.9995577470 
        0.2250000000         3.3200000000         1.5699518934         9.3147729904        -1.9451122617 
        0.2300000000         3.3200000000         1.5928924568         9.9123675622        -1.9130855057 
        0.2350000000         3.3200000000         1.5572071360         8.9827760061        -1.8586400204 
        0.2400001000         3.3200000000         1.5903435053         9.8459681654        -1.8105998864 
        0.2450000000         3.3200000000         1.5801476994         9.5803705779        -1.7657624279 
        0.2500000000         3.3200000000         1.5954414083         9.9787669591        -1.7209249695 
        0.2550000000         3.3200000000         1.5674029419         9.2483735936        -1.6824928622 
        0.2600000000         3.3200000000         1.6107351172        10.3771633403        -1.6248447014 
        0.2650000000         3.3200000000         1.5801476994         9.5803705779        -1.5896152697 
        0.2700000000         3.3200000000         1.5979903598        10.0451663560        -1.5287644332 
        0.2750000000         3.3200000000         1.5903435053         9.8459681654        -1.4903323260 
        0.2800000000         3.3200000000         1.6005393113        10.1115657529        -1.4326841651 
        0.2850000000         3.3200000000         1.6183819717        10.5763615309        -1.3750360043 
        0.2900001000         3.3200000000         1.6005393113        10.1115657529        -1.3334012214 
        0.2950000000         3.3200000000         1.5979903598        10.0451663560        -1.2853610873 
        0.3000000000         3.3200000000         1.6158330202        10.5099621341        -1.2405236289 
        0.3050000000         3.3200000000         1.5928924568         9.9123675622        -1.1860781436 
        0.3100000000         3.3200000000         1.6056372142        10.2443645466        -1.1316326584 
        0.3150000000         3.3200000000         1.6260288261        10.7755597215        -1.0707818219 
        0.3200000000         3.3200000000         1.6158330202        10.5099621341        -1.0323497146 
        0.3250000000         3.3200000000         1.6183819717        10.5763615309        -0.9875122562 
        0.3300000000         3.3200000000         1.6158330202        10.5099621341        -0.9330667709 
        0.3350000000         3.3200000000         1.6387735836        11.1075567059        -0.8754186101 
        0.3400000000         3.3200000000         1.6107351172        10.3771633403        -0.8369865028 
        0.3450000000         3.3200000000         1.6209309231        10.6427609278        -0.7697303151 
        0.3500001000         3.3200000000         1.6362246321        11.0411573090        -0.7248928567 
        0.3550001000         3.3200000000         1.6183819717        10.5763615309        -0.6704473714 
