           Time[sec]           V_{cmd}[V]          V_{gyro}[V]          \theta[deg] \omega_{gyro}[deg/sec] 
        0.0000000000         0.0000000000         1.2207455399       356.0974558779        10.9678838958 
        0.0050001000         0.0000000000         1.2156476369       355.7304562874         3.3590734901 
        0.0100000000         0.0000000000         1.2207455399       355.9139560826        10.9678838958 
        0.0150000000         0.0000000000         1.2207455399       355.3634566969        10.9678838958 
        0.0200001000         0.0000000000         1.2207455399       356.0974558779        10.9678838958 
        0.0250000000         0.0000000000         1.2130986854       355.5469564922        -0.4453317127 
        0.0300000000         0.0000000000         1.2054518309       355.7304562874       -11.8585473212 
        0.0350000000         0.0000000000         1.2080007824       355.5469564922        -8.0541421184 
        0.0400000000         0.0000000000         1.2054518309       355.1799569017       -11.8585473212 
        0.0450001000         0.0000000000         1.2105497339       355.1799569017        -4.2497369155 
        0.0500000000         0.0000000000         1.2054518309       354.9964571064       -11.8585473212 
        0.0550000000         0.0000000000         1.2130986854       355.5469564922        -0.4453317127 
        0.0600001000         0.0000000000         1.2130986854       355.7304562874        -0.4453317127 
        0.0650000000         0.0000000000         1.2080007824       354.9964571064        -8.0541421184 
        0.0700000000         0.0000000000         1.2130986854       355.5469564922        -0.4453317127 
        0.0750001000         0.0000000000         1.2207455399       356.0974558779        10.9678838958 
        0.0800000000         0.0000000000         1.2207455399       355.9139560826        10.9678838958 
        0.0850000000         0.0000000000         1.2130986854       355.5469564922        -0.4453317127 
        0.0900000000         0.0000000000         1.2130986854       355.5469564922        -0.4453317127 
        0.0950000000         0.0000000000         1.2054518309       354.9964571064       -11.8585473212 
        0.1000001000         0.0000000000         1.2130986854       355.5469564922        -0.4453317127 
        0.1050000000         0.0000000000         1.2130986854       355.5469564922        -0.4453317127 
        0.1100000000         0.0000000000         1.2130986854       355.5469564922        -0.4453317127 
        0.1150001000         0.0000000000         1.2130986854       356.0974558779        -0.4453317127 
        0.1200000000         0.0000000000         1.2130986854       355.9139560826        -0.4453317127 
        0.1250000000         0.0000000000         1.2054518309       355.5469564922       -11.8585473212 
        0.1300001000         0.0000000000         1.2130986854       355.5469564922        -0.4453317127 
        0.1350000000         0.0000000000         1.2130986854       355.5469564922        -0.4453317127 
        0.1400000000         0.0000000000         1.2080007824       354.9964571064        -8.0541421184 
        0.1450001000         0.0000000000         1.2130986854       355.5469564922        -0.4453317127 
        0.1500000000         0.0000000000         1.2181965884       356.0974558779         7.1634786930 
        0.1550000000         0.0000000000         1.2156476369       355.5469564922         3.3590734901 
        0.1600000000         0.0000000000         1.2130986854       355.5469564922        -0.4453317127 
        0.1650000000         0.0000000000         1.2130986854       356.0974558779        -0.4453317127 
        0.1700001000         0.0000000000         1.2080007824       355.1799569017        -8.0541421184 
        0.1750000000         0.0000000000         1.2232944913       355.5469564922        14.7722890986 
        0.1800001000         0.0000000000         1.2130986854       356.0974558779        -0.4453317127 
        0.1850001000         0.0000000000         1.2156476369       356.0974558779         3.3590734901 
        0.1900000000         0.0000000000         1.2232944913       356.0974558779        14.7722890986 
        0.1950000000         0.0000000000         1.2181965884       355.9139560826         7.1634786930 
        0.2000001000         0.0000000000         1.2130986854       355.9139560826        -0.4453317127 
        0.2050000000         0.0000000000         1.2207455399       356.0974558779        10.9678838958 
        0.2100001000         0.0000000000         1.2130986854       355.5469564922        -0.4453317127 
        0.2150000000         0.0000000000         1.2080007824       355.5469564922        -8.0541421184 
        0.2200000000         0.0000000000         1.2080007824       354.9964571064        -8.0541421184 
        0.2250001000         0.0000000000         1.2054518309       355.1799569017       -11.8585473212 
        0.2300000000         0.0000000000         1.2156476369       355.5469564922         3.3590734901 
        0.2350000000         0.0000000000         1.2130986854       355.5469564922        -0.4453317127 
        0.2400001000         0.0000000000         1.2207455399       355.9139560826        10.9678838958 
        0.2450000000         0.0000000000         1.2156476369       355.3634566969         3.3590734901 
        0.2500000000         0.0000000000         1.2130986854       355.5469564922        -0.4453317127 
        0.2550001000         0.0000000000         1.2080007824       355.5469564922        -8.0541421184 
        0.2600000000         0.0000000000         1.2029028795       354.9964571064       -15.6629525240 
        0.2650000000         0.0000000000         1.2130986854       355.7304562874        -0.4453317127 
        0.2700001000         0.0000000000         1.2207455399       355.5469564922        10.9678838958 
        0.2750000000         0.0000000000         1.2130986854       355.9139560826        -0.4453317127 
        0.2800000000         0.0000000000         1.2130986854       355.5469564922        -0.4453317127 
        0.2850000000         0.0000000000         1.2080007824       354.9964571064        -8.0541421184 
        0.2900001000         0.0000000000         1.2130986854       355.7304562874        -0.4453317127 
        0.2950001000         0.0000000000         1.2181965884       356.0974558779         7.1634786930 
        0.3000000000         0.0000000000         1.2130986854       355.5469564922        -0.4453317127 
        0.3050000000         0.0000000000         1.2130986854       355.7304562874        -0.4453317127 
        0.3100001000         0.0000000000         1.2130986854       355.5469564922        -0.4453317127 
        0.3150000000         0.0000000000         1.2207455399       355.9139560826        10.9678838958 
        0.3200000000         0.0000000000         1.2207455399       356.0974558779        10.9678838958 
        0.3250001000         0.0000000000         1.2130986854       355.5469564922        -0.4453317127 
        0.3300000000         0.0000000000         1.2130986854       355.5469564922        -0.4453317127 
        0.3350000000         0.0000000000         1.2130986854       355.7304562874        -0.4453317127 
        0.3400000000         0.0000000000         1.2130986854       355.7304562874        -0.4453317127 
        0.3450000000         0.0000000000         1.2130986854       355.5469564922        -0.4453317127 
        0.3500001000         0.0000000000         1.2130986854       355.5469564922        -0.4453317127 
        0.3550001000         0.0000000000         1.2080007824       355.5469564922        -8.0541421184 
        0.3600000000         0.0000000000         1.2232944913       355.7304562874        14.7722890986 
        0.3650001000         0.0000000000         1.2207455399       355.9139560826        10.9678838958 
        0.3700000000         0.0000000000         1.2080007824       354.9964571064        -8.0541421184 
        0.3750000000         0.0000000000         1.2130986854       355.1799569017        -0.4453317127 
        0.3800001000         0.0000000000         1.2207455399       355.9139560826        10.9678838958 
        0.3850000000         0.0000000000         1.2080007824       354.9964571064        -8.0541421184 
        0.3900000000         0.0000000000         1.2130986854       355.5469564922        -0.4453317127 
        0.3950001000         0.0000000000         1.2232944913       355.7304562874        14.7722890986 
        0.4000000000         0.0000000000         1.2130986854       355.5469564922        -0.4453317127 
        0.4050000000         0.0000000000         1.2080007824       354.9964571064        -8.0541421184 
        0.4100000000         0.0000000000         1.2054518309       354.9964571064       -11.8585473212 
        0.4150001000         0.0000000000         1.2156476369       355.5469564922         3.3590734901 
        0.4200001000         0.0000000000         1.2130986854       355.7304562874        -0.4453317127 
        0.4250000000         0.0000000000         1.2181965884       355.9139560826         7.1634786930 
        0.4300000000         0.0000000000         1.2105497339       355.5469564922        -4.2497369155 
        0.4350001000         0.0000000000         1.2207455399       355.9139560826        10.9678838958 
        0.4400000000         0.0000000000         1.2130986854       355.7304562874        -0.4453317127 
        0.4450000000         0.0000000000         1.2080007824       355.1799569017        -8.0541421184 
        0.4500001000         0.0000000000         1.2130986854       355.5469564922        -0.4453317127 
        0.4550000000         0.0000000000         1.2130986854       355.7304562874        -0.4453317127 
        0.4600000000         0.0000000000         1.2130986854       355.7304562874        -0.4453317127 
