           Time[sec]           V_{cmd}[V]          V_{gyro}[V]          \theta[deg] \omega_{gyro}[deg/sec] 
        0.0000000000         2.5000000000         0.6191929892        72.4067724237       924.1686405854 
        0.0050001000         2.5000000000         0.6268398436        73.3242713999       935.5818561939 
        0.0100001000         2.5000000000         0.6191929892        72.4067724237       924.1686405854 
        0.0150000000         2.5000000000         0.6242908922        72.7737720142       931.7774509911 
        0.0200000000         2.5000000000         0.6242908922        72.9572718094       931.7774509911 
        0.0250001000         2.5000000000         0.6242908922        73.1407716047       931.7774509911 
        0.0300001000         2.5000000000         0.6242908922        72.7737720142       931.7774509911 
        0.0350000000         2.5000000000         0.6293887951        72.9572718094       939.3862613967 
        0.0400001000         2.5000000000         0.6242908922        72.7737720142       931.7774509911 
        0.0450001000         2.5000000000         0.6319377466        73.3242713999       943.1906665995 
        0.0500000000         2.5000000000         0.6217419407        72.4067724237       927.9730457882 
        0.0550001000         2.5000000000         0.6217419407        72.4067724237       927.9730457882 
        0.0600001000         2.5000000000         0.6217419407        72.4067724237       927.9730457882 
        0.0650000000         2.5000000000         0.6293887951        73.3242713999       939.3862613967 
        0.0700001000         2.5000000000         0.6242908922        72.9572718094       931.7774509911 
        0.0750001000         2.5000000000         0.6293887951        72.4067724237       939.3862613967 
        0.0800000000         2.5000000000         0.6319377466        73.3242713999       943.1906665995 
        0.0850001000         2.5000000000         0.6217419407        72.4067724237       927.9730457882 
        0.0900001000         2.5000000000         0.6319377466        73.3242713999       943.1906665995 
        0.0950000000         2.5000000000         0.6293887951        72.9572718094       939.3862613967 
        0.1000001000         2.5000000000         0.6191929892        72.4067724237       924.1686405854 
        0.1050001000         2.5000000000         0.6319377466        73.3242713999       943.1906665995 
        0.1100000000         2.5000000000         0.6242908922        72.9572718094       931.7774509911 
        0.1150001000         2.5000000000         0.6293887951        73.5077711952       939.3862613967 
        0.1200001000         2.5000000000         0.6293887951        72.9572718094       939.3862613967 
        0.1250000000         2.5000000000         0.6268398436        73.3242713999       935.5818561939 
        0.1300001000         2.5000000000         0.6268398436        72.7737720142       935.5818561939 
        0.1350001000         2.5000000000         0.6242908922        72.4067724237       931.7774509911 
        0.1400000000         2.5000000000         0.6268398436        72.4067724237       935.5818561939 
        0.1450000000         2.5000000000         0.6268398436        73.1407716047       935.5818561939 
        0.1500001000         2.5000000000         0.6242908922        72.9572718094       931.7774509911 
        0.1550001000         2.5000000000         0.6319377466        73.3242713999       943.1906665995 
        0.1600000000         2.5000000000         0.6319377466        73.5077711952       943.1906665995 
        0.1650001000         2.5000000000         0.6344866981        73.3242713999       946.9950718024 
        0.1700001000         2.5000000000         0.6217419407        72.9572718094       927.9730457882 
        0.1750000000         2.5000000000         0.6217419407        72.4067724237       927.9730457882 
        0.1800001000         2.5000000000         0.6319377466        72.9572718094       943.1906665995 
        0.1850001000         2.5000000000         0.6344866981        73.3242713999       946.9950718024 
        0.1900000000         2.5000000000         0.6217419407        72.7737720142       927.9730457882 
        0.1950001000         2.5000000000         0.6217419407        72.5902722190       927.9730457882 
        0.2000001000         2.5000000000         0.6370356496        73.5077711952       950.7994770052 
        0.2050000000         2.5000000000         0.6191929892        72.4067724237       924.1686405854 
        0.2100001000         2.5000000000         0.6293887951        72.7737720142       939.3862613967 
        0.2150001000         2.5000000000         0.6242908922        73.3242713999       931.7774509911 
        0.2200000000         2.5000000000         0.6217419407        72.5902722190       927.9730457882 
        0.2250001000         2.5000000000         0.6319377466        73.3242713999       943.1906665995 
        0.2300001000         2.5000000000         0.6268398436        72.9572718094       935.5818561939 
        0.2350000000         2.5000000000         0.6293887951        72.7737720142       939.3862613967 
        0.2400001000         2.5000000000         0.6293887951        72.7737720142       939.3862613967 
        0.2450001000         2.5000000000         0.6293887951        72.4067724237       939.3862613967 
        0.2500000000         2.5000000000         0.6293887951        72.7737720142       939.3862613967 
        0.2550001000         2.5000000000         0.6242908922        72.9572718094       931.7774509911 
        0.2600001000         2.5000000000         0.6217419407        72.4067724237       927.9730457882 
        0.2650000000         2.5000000000         0.6344866981        73.5077711952       946.9950718024 
        0.2700000000         2.5000000000         0.6217419407        72.4067724237       927.9730457882 
        0.2750001000         2.5000000000         0.6242908922        72.9572718094       931.7774509911 
        0.2800001000         2.5000000000         0.6319377466        73.5077711952       943.1906665995 
        0.2850000000         2.5000000000         0.6217419407        72.4067724237       927.9730457882 
        0.2900001000         2.5000000000         0.6268398436        72.9572718094       935.5818561939 
        0.2950001000         2.5000000000         0.6319377466        73.3242713999       943.1906665995 
        0.3000000000         2.5000000000         0.6217419407        72.9572718094       927.9730457882 
        0.3050001000         2.5000000000         0.6293887951        72.7737720142       939.3862613967 
        0.3100001000         2.5000000000         0.6319377466        72.9572718094       943.1906665995 
        0.3150000000         2.5000000000         0.6242908922        72.5902722190       931.7774509911 
        0.3200001000         2.5000000000         0.6217419407        72.4067724237       927.9730457882 
        0.3250001000         2.5000000000         0.6217419407        72.4067724237       927.9730457882 
        0.3300000000         2.5000000000         0.6344866981        73.3242713999       946.9950718024 
        0.3350001000         2.5000000000         0.6268398436        72.7737720142       935.5818561939 
        0.3400001000         2.5000000000         0.6242908922        72.7737720142       931.7774509911 
        0.3450000000         2.5000000000         0.6242908922        72.7737720142       931.7774509911 
