           Time[sec]           V_{cmd}[V]          V_{gyro}[V]          \theta[deg] \omega_{gyro}[deg/sec] 
        0.0000000000        -0.0600000000         1.2130986854        82.8662607529        -0.7152281781 
        0.0050000000        -0.0600000000         1.2054518309        82.1322615719       -12.1284437866 
        0.0100000000        -0.0600000000         1.2130986854        82.6827609576        -0.7152281781 
        0.0150000000        -0.0600000000         1.2130986854        83.2332603434        -0.7152281781 
        0.0200000000        -0.0600000000         1.2054518309        82.3157613671       -12.1284437866 
        0.0250000000        -0.0600000000         1.2130986854        82.8662607529        -0.7152281781 
        0.0300000000        -0.0600000000         1.2105497339        82.6827609576        -4.5196333810 
        0.0350000000        -0.0600000000         1.2080007824        82.3157613671        -8.3240385838 
        0.0400000000        -0.0600000000         1.1774133646        82.8662607529       -53.9769010177 
        0.0450000000        -0.0600000000         1.1442769953        81.9487617766      -103.4341686545 
        0.0500000000        -0.0600000000         1.1850602191        82.1322615719       -42.5636854093 
        0.0550000000        -0.0600000000         1.1672175587        81.0312628004       -69.1945218291 
        0.0600000000        -0.0600000000         1.1595707042        81.7652619814       -80.6077374375 
        0.0650000000        -0.0600000000         1.1595707042        80.6642632099       -80.6077374375 
        0.0700000000        -0.0600000000         1.1697665101        80.4807634146       -65.3901166262 
        0.0750000000        -0.0600000000         1.1621196557        79.5632644384       -76.8033322347 
        0.0800000000        -0.0600000000         1.1595707042        79.9302640289       -80.6077374375 
        0.0850000000        -0.0600000000         1.1672175587        79.5632644384       -69.1945218291 
        0.0900000000        -0.0600000000         1.1697665101        79.0127650526       -65.3901166262 
        0.0950000000        -0.0600000000         1.1544728012        78.4622656669       -88.2165478432 
        0.1000000000        -0.0600000000         1.1723154616        78.2787658717       -61.5857114234 
        0.1050000000        -0.0600000000         1.1621196557        78.4622656669       -76.8033322347 
        0.1100000000        -0.0600000000         1.1570217527        76.9942673049       -84.4121426404 
        0.1150000000        -0.0600000000         1.1672175587        77.7282664859       -69.1945218291 
        0.1200000000        -0.0600000000         1.1595707042        76.8107675097       -80.6077374375 
        0.1250000000        -0.0600000000         1.1544728012        76.4437679192       -88.2165478432 
        0.1300000000        -0.0600000000         1.1493748983        76.2602681239       -95.8253582489 
        0.1350000000        -0.0600000000         1.1621196557        76.2602681239       -76.8033322347 
        0.1400000000        -0.0600000000         1.1570217527        75.3427691477       -84.4121426404 
        0.1450000000        -0.0600000000         1.1519238497        75.3427691477       -92.0209530460 
        0.1500000000        -0.0600000000         1.1519238497        74.2417703762       -92.0209530460 
        0.1550000000        -0.0600000000         1.1570217527        74.0582705809       -84.4121426404 
        0.1600000000        -0.0600000000         1.1519238497        73.5077711952       -92.0209530460 
        0.1650000000        -0.0600000000         1.1544728012        73.5077711952       -88.2165478432 
        0.1700000000        -0.0600000000         1.1417280438        72.2232726285      -107.2385738573 
        0.1750000000        -0.0600000000         1.1442769953        71.8562730380      -103.4341686545 
        0.1800000000        -0.0600000000         1.1544728012        72.0397728332       -88.2165478432 
        0.1850000000        -0.0600000000         1.1493748983        71.1222738570       -95.8253582489 
        0.1900000000        -0.0600000000         1.1468259468        70.5717744712       -99.6297634517 
        0.1950000000        -0.0600000000         1.1315322379        69.6542754950      -122.4561946687 
        0.2000000000        -0.0600000000         1.1493748983        69.6542754950       -95.8253582489 
        0.2050000000        -0.0600000000         1.1468259468        69.2872759045       -99.6297634517 
        0.2100000000        -0.0600000000         1.1340811893        68.1862771330      -118.6517894658 
        0.2150000000        -0.0600000000         1.1468259468        68.1862771330       -99.6297634517 
        0.2200000000        -0.0600000000         1.1417280438        68.1862771330      -107.2385738573 
        0.2250000000        -0.0600000000         1.1315322379        66.9017785662      -122.4561946687 
        0.2300000000        -0.0600000000         1.1340811893        66.1677793853      -118.6517894658 
        0.2350000000        -0.0600000000         1.1391790923        65.8007797948      -111.0429790602 
        0.2400000000        -0.0600000000         1.1468259468        65.9842795900       -99.6297634517 
        0.2450000000        -0.0600000000         1.1417280438        64.8832808185      -107.2385738573 
        0.2500000000        -0.0600000000         1.1442769953        64.5162812280      -103.4341686545 
        0.2550000000        -0.0600000000         1.1417280438        63.9657818423      -107.2385738573 
        0.2600000000        -0.0600000000         1.1289832864        62.8647830708      -126.2605998715 
        0.2650000000        -0.0600000000         1.1468259468        63.5987822518       -99.6297634517 
        0.2700000000        -0.0600000000         1.1417280438        62.3142836850      -107.2385738573 
        0.2750000000        -0.0600000000         1.1340811893        62.1307838898      -118.6517894658 
        0.2800000000        -0.0600000000         1.1289832864        61.3967847088      -126.2605998715 
        0.2850000000        -0.0600000000         1.1417280438        60.8462853230      -107.2385738573 
        0.2900000000        -0.0600000000         1.1391790923        60.2957859373      -111.0429790602 
        0.2950000000        -0.0600000000         1.1391790923        59.7452865516      -111.0429790602 
        0.3000000000        -0.0600000000         1.1391790923        59.3782869611      -111.0429790602 
        0.3050000000        -0.0600000000         1.1340811893        58.6442877801      -118.6517894658 
        0.3100000000        -0.0600000000         1.1340811893        57.7267888038      -118.6517894658 
        0.3150000000        -0.0600000000         1.1391790923        58.0937883943      -111.0429790602 
        0.3200000000        -0.0600000000         1.1315322379        56.4422902371      -122.4561946687 
        0.3250000000        -0.0600000000         1.1468259468        56.9927896228       -99.6297634517 
        0.3300000000        -0.0600000000         1.1315322379        55.5247912608      -122.4561946687 
        0.3350000000        -0.0600000000         1.1468259468        55.1577916703       -99.6297634517 
        0.3400000000        -0.0600000000         1.1366301408        54.9742918751      -114.8473842630 
        0.3450000000        -0.0600000000         1.1366301408        53.8732931036      -114.8473842630 
        0.3500000000        -0.0600000000         1.1417280438        54.2402926941      -107.2385738573 
        0.3550000000        -0.0600000000         1.1315322379        52.7722943321      -122.4561946687 
        0.3600000000        -0.0600000000         1.1442769953        53.3227937179      -103.4341686545 
        0.3650000000        -0.0600000000         1.1391790923        52.0382951511      -111.0429790602 
        0.3700000000        -0.0600000000         1.1391790923        51.6712955606      -111.0429790602 
        0.3750000000        -0.0600000000         1.1468259468        51.6712955606       -99.6297634517 
        0.3800000000        -0.0600000000         1.1289832864        50.0197974034      -126.2605998715 
        0.3850000000        -0.0600000000         1.1468259468        50.3867969939       -99.6297634517 
        0.3900000000        -0.0600000000         1.1366301408        49.4692980176      -114.8473842630 
        0.3950000000        -0.0600000000         1.1315322379        48.3682992461      -122.4561946687 
        0.4000000000        -0.0600000000         1.1442769953        48.7352988366      -103.4341686545 
        0.4050000000        -0.0600000000         1.1340811893        47.2673004747      -118.6517894658 
        0.4100000000        -0.0600000000         1.1417280438        47.6343000652      -107.2385738573 
        0.4150000000        -0.0600000000         1.1340811893        46.1663017032      -118.6517894658 
        0.4200001000        -0.0600000000         1.1340811893        45.7993021127      -118.6517894658 
        0.4250000000        -0.0600000000         1.1315322379        45.0653029317      -122.4561946687 
        0.4300000000        -0.0600000000         1.1315322379        44.6983033412      -122.4561946687 
        0.4350000000        -0.0600000000         1.1366301408        44.6983033412      -114.8473842630 
        0.4400000000        -0.0600000000         1.1315322379        43.2303049792      -122.4561946687 
        0.4450000000        -0.0600000000         1.1366301408        43.2303049792      -114.8473842630 
        0.4500000000        -0.0600000000         1.1417280438        42.8633053887      -107.2385738573 
        0.4550000000        -0.0600000000         1.1289832864        42.1293062077      -126.2605998715 
        0.4600000000        -0.0600000000         1.1315322379        41.0283074362      -122.4561946687 
        0.4650000000        -0.0600000000         1.1366301408        41.3953070267      -114.8473842630 
        0.4700000000        -0.0600000000         1.1417280438        40.4778080505      -107.2385738573 
        0.4750000000        -0.0600000000         1.1264343349        39.3768092790      -130.0650050743 
        0.4800000000        -0.0600000000         1.1315322379        38.8263098932      -122.4561946687 
        0.4850000000        -0.0600000000         1.1340811893        38.6428100980      -118.6517894658 
        0.4900000000        -0.0600000000         1.1391790923        38.0923107122      -111.0429790602 
        0.4950000000        -0.0600000000         1.1340811893        37.1748117360      -118.6517894658 
        0.5000000000        -0.0600000000         1.1468259468        37.5418113265       -99.6297634517 
        0.5050000000        -0.0600000000         1.1391790923        36.0738129645      -111.0429790602 
        0.5100000000        -0.0600000000         1.1442769953        36.4408125550      -103.4341686545 
        0.5150000000        -0.0600000000         1.1315322379        34.9728141930      -122.4561946687 
        0.5200000000        -0.0600000000         1.1468259468        35.1563139883       -99.6297634517 
        0.5250000000        -0.0600000000         1.1315322379        33.8718154215      -122.4561946687 
        0.5300000000        -0.0600000000         1.1468259468        34.2388150120       -99.6297634517 
        0.5350000000        -0.0600000000         1.1238853834        33.1378162405      -133.8694102772 
        0.5400000000        -0.0600000000         1.1391790923        32.7708166500      -111.0429790602 
        0.5450000000        -0.0600000000         1.1442769953        32.5873168548      -103.4341686545 
        0.5500000000        -0.0600000000         1.1315322379        30.9358186975      -122.4561946687 
        0.5550000000        -0.0600000000         1.1391790923        30.9358186975      -111.0429790602 
        0.5600000000        -0.0600000000         1.1366301408        30.2018195165      -114.8473842630 
        0.5650000000        -0.0600000000         1.1238853834        29.4678203356      -133.8694102772 
        0.5700000000        -0.0600000000         1.1340811893        29.2843205403      -118.6517894658 
        0.5750000000        -0.0600000000         1.1340811893        29.2843205403      -118.6517894658 
        0.5800000000        -0.0600000000         1.1391790923        27.8163221783      -111.0429790602 
        0.5850000000        -0.0600000000         1.1366301408        27.6328223831      -114.8473842630 
        0.5900000000        -0.0600000000         1.1264343349        26.8988232021      -130.0650050743 
        0.5950000000        -0.0600000000         1.1366301408        26.8988232021      -114.8473842630 
        0.6000000000        -0.0600000000         1.1391790923        25.9813242258      -111.0429790602 
        0.6050000000        -0.0600000000         1.1340811893        25.4308248401      -118.6517894658 
        0.6100000000        -0.0600000000         1.1315322379        25.2473250448      -122.4561946687 
        0.6150000000        -0.0600000000         1.1315322379        23.7793266828      -122.4561946687 
        0.6200000000        -0.0600000000         1.1391790923        23.4123270924      -111.0429790602 
        0.6250000000        -0.0600000000         1.1264343349        22.8618277066      -130.0650050743 
        0.6300000000        -0.0600000000         1.1315322379        21.7608289351      -122.4561946687 
        0.6350000000        -0.0600000000         1.1340811893        21.7608289351      -118.6517894658 
        0.6400000000        -0.0600000000         1.1340811893        20.8433299589      -118.6517894658 
        0.6450000000        -0.0600000000         1.1391790923        21.2103295494      -111.0429790602 
