           Time[sec]           V_{cmd}[V]          V_{gyro}[V]          \theta[deg] \omega_{gyro}[deg/sec] 
        0.0000000000         0.3000000000         1.2130986854       203.2421264359         0.1293497769 
        0.0050000000         0.3000000000         1.2105497339       202.8751268454        -3.6750554259 
        0.0100001000         0.3000000000         1.2207455399       203.0586266406        11.5425653854 
        0.0150000000         0.3000000000         1.2080007824       203.0586266406        -7.4794606288 
        0.0200000000         0.3000000000         1.2130986854       203.2421264359         0.1293497769 
        0.0250001000         0.3000000000         1.2156476369       203.2421264359         3.9337549797 
        0.0300023000         0.3000000000         1.2130986854       203.2421264359         0.1293497769 
        0.0350000000         0.3000000000         1.2181965884       203.4256262311         7.7381601826 
        0.0400001000         0.3000000000         1.2130986854       203.2421264359         0.1293497769 
        0.0450000000         0.3000000000         1.2080007824       203.0586266406        -7.4794606288 
        0.0500000000         0.3000000000         1.2181965884       203.9761256169         7.7381601826 
        0.0550001000         0.3000000000         1.2105497339       203.0586266406        -3.6750554259 
        0.0600000000         0.3000000000         1.2181965884       203.4256262311         7.7381601826 
        0.0650000000         0.3000000000         1.2130986854       203.4256262311         0.1293497769 
        0.0700000000         0.3000000000         1.2232944913       203.0586266406        15.3469705882 
        0.0750000000         0.3000000000         1.2691756181       204.3431252074        83.8262642391 
        0.0800000000         0.3000000000         1.4170148043       204.8936245931       304.4817660032 
        0.0850000000         0.3000000000         1.4883854459       206.7286225456       411.0051116825 
        0.0900000000         0.3000000000         1.4832875429       208.9306200886       403.3963012768 
        0.0950000000         0.3000000000         1.4756406885       210.3986184506       391.9830856683 
        0.1000000000         0.3000000000         1.4654448825       211.6831170173       376.7654648570 
        0.1050000000         0.3000000000         1.4577980281       214.4356139460       365.3522492485 
        0.1100000000         0.3000000000         1.4323085132       215.1696131270       327.3081972202 
        0.1150000000         0.3000000000         1.4272106102       217.1881108748       319.6993868146 
        0.1200000000         0.3000000000         1.4170148043       218.6561092368       304.4817660032 
        0.1250000000         0.3000000000         1.4119169013       220.3076073940       296.8729555976 
        0.1300000000         0.3000000000         1.4170148043       221.5921059607       304.4817660032 
        0.1350001000         0.3000000000         1.4501511736       223.6106037085       353.9390336400 
        0.1400000000         0.3000000000         1.4603469795       224.7116024800       369.1566544513 
        0.1450000000         0.3000000000         1.4730917370       226.9136000229       388.1786804655 
        0.1500001000         0.3000000000         1.4654448825       228.9320977707       376.7654648570 
        0.1550000000         0.3000000000         1.4654448825       230.7670957232       376.7654648570 
        0.1600000000         0.3000000000         1.4730917370       232.6020936757       388.1786804655 
        0.1650001000         0.3000000000         1.4781896399       234.8040912186       395.7874908711 
        0.1700000000         0.3000000000         1.4679938340       235.7215901949       380.5698700598 
        0.1750000000         0.3000000000         1.4807385914       238.2905873284       399.5918960740 
        0.1800018000         0.3000000000         1.4756406885       240.4925848713       391.9830856683 
        0.1850000000         0.3000000000         1.4807385914       242.6945824143       399.5918960740 
        0.1900000000         0.3000000000         1.4807385914       244.3460805716       399.5918960740 
        0.1950000000         0.3000000000         1.4858364944       246.1810785240       407.2007064796 
        0.2000000000         0.3000000000         1.4934833489       248.5665758623       418.6139220881 
        0.2050000000         0.3000000000         1.4883854459       250.0345742243       411.0051116825 
        0.2100001000         0.3000000000         1.4858364944       251.6860723815       407.2007064796 
        0.2150000000         0.3000000000         1.4883854459       254.4385693102       411.0051116825 
        0.2200000000         0.3000000000         1.5036791548       256.6405668532       433.8315428994 
        0.2250000000         0.3000000000         1.4960323003       257.9250654199       422.4183272909 
        0.2300000000         0.3000000000         1.4985812518       261.2280617344       426.2227324938 
        0.2350000000         0.3000000000         1.4807385914       262.1455607107       399.5918960740 
        0.2400001000         0.3000000000         1.4985812518       264.5310580489       426.2227324938 
        0.2450000000         0.3000000000         1.4960323003       266.9165553871       422.4183272909 
        0.2500000000         0.3000000000         1.5087770578       269.3020527254       441.4403533051 
        0.2550000000         0.3000000000         1.5011302033       270.7700510873       430.0271376966 
        0.2600001000         0.3000000000         1.5087770578       272.9720486303       441.4403533051 
        0.2650000000         0.3000000000         1.5062281063       275.3575459686       437.6359481023 
        0.2700000000         0.3000000000         1.5011302033       277.1925439210       430.0271376966 
        0.2750001000         0.3000000000         1.5087770578       279.7615410545       441.4403533051 
        0.2800000000         0.3000000000         1.5062281063       281.9635385975       437.6359481023 
        0.2850000000         0.3000000000         1.4934833489       283.4315369595       418.6139220881 
        0.2900001000         0.3000000000         1.5215218152       286.9180330692       460.4623793192 
        0.2950010000         0.3000000000         1.5138749607       288.0190318407       449.0491637107 
        0.3000000000         0.3000000000         1.5087770578       290.9550285647       441.4403533051 
        0.3050001000         0.3000000000         1.5317176211       293.8910252887       475.6800001306 
        0.3100000000         0.3000000000         1.5087770578       295.1755238554       441.4403533051 
        0.3150000000         0.3000000000         1.5215218152       297.7445209889       460.4623793192 
        0.3200000000         0.3000000000         1.5240707667       300.3135181223       464.2667845221 
        0.3250000000         0.3000000000         1.5164239122       301.9650162796       452.8535689136 
        0.3300000000         0.3000000000         1.5215218152       305.0845127988       460.4623793192 
        0.3350000000         0.3000000000         1.5342665726       307.8370097275       479.4844053334 
        0.3400000000         0.3000000000         1.5266197182       309.3050080895       468.0711897249 
        0.3450000000         0.3000000000         1.5368155241       311.8740052230       483.2888105362 
        0.3500001000         0.3000000000         1.5317176211       314.9935017422       475.6800001306 
        0.3550001000         0.3000000000         1.5393644756       317.0119994900       487.0932157390 
        0.3600000000         0.3000000000         1.5393644756       319.9479962139       487.0932157390 
        0.3650000000         0.3000000000         1.5240707667       321.2324947807       464.2667845221 
        0.3700000000         0.3000000000         1.5342665726       324.7189908904       479.4844053334 
        0.3750000000         0.3000000000         1.5419134271       327.1044882286       490.8976209419 
        0.3800000000         0.3000000000         1.5266197182       328.5724865906       468.0711897249 
        0.3850001000         0.3000000000         1.5495602815       332.0589827003       502.3108365504 
        0.3900000000         0.3000000000         1.5419134271       334.0774804481       490.8976209419 
        0.3950000000         0.3000000000         1.5393644756       336.6464775816       487.0932157390 
        0.4000001000         0.3000000000         1.5393644756       339.2154747150       487.0932157390 
        0.4050000000         0.3000000000         1.5419134271       342.1514714390       490.8976209419 
        0.4100000000         0.3000000000         1.5240707667       343.8029695962       464.2667845221 
        0.4150001000         0.3000000000         1.5368155241       346.7389663202       483.2888105362 
        0.4200001000         0.3000000000         1.5419134271       349.6749630442       490.8976209419 
        0.4250000000         0.3000000000         1.5444623786       352.2439601777       494.7020261447 
        0.4300001000         0.3000000000         1.5470113301       354.4459577207       498.5064313475 
        0.4350000000         0.3000000000         1.5393644756       356.4644554684       487.0932157390 
        0.4400000000         0.3000000000         1.5419134271       359.0334526019       490.8976209419 
        0.4450000000         0.3000000000         1.5368155241       359.9509515781       483.2888105362 
        0.4500000000         0.3000000000         1.5495602815       359.9509515781       502.3108365504 
        0.4550000000         0.3000000000         1.5495602815       360.3179511686       502.3108365504 
        0.4600000000         0.3000000000         1.5419134271        79.1962648479       490.8976209419 
        0.4650000000         0.3000000000         1.5572071360        80.4807634146       513.7240521588 
        0.4700000000         0.3000000000         1.5521092330         0.1078530958       506.1152417532 
        0.4750001000         0.3000000000         1.5521092330        -0.0756466995       506.1152417532 
        0.4800001000         0.3000000000         1.5419134271        -0.0756466995       490.8976209419 
        0.4850000000         0.3000000000         1.5495602815         0.2913528910       502.3108365504 
        0.4900000000         0.3000000000         1.5419134271         2.3098506388       490.8976209419 
        0.4950000000         0.3000000000         1.5546581845         5.2458473627       509.9196469560 
        0.5000000000         0.3000000000         1.5444623786         6.8973455200       494.7020261447 
        0.5050000000         0.3000000000         1.5521092330         9.8333422440       506.1152417532 
        0.5100001000         0.3000000000         1.5572071360        12.7693389679       513.7240521588 
        0.5150000000         0.3000000000         1.5470113301        15.1548363062       498.5064313475 
        0.5200000000         0.3000000000         1.5597560875        18.0908330301       517.5284573617 
        0.5250001000         0.3000000000         1.5470113301        19.7423311874       498.5064313475 
        0.5300000000         0.3000000000         1.5546581845        23.4123270924       509.9196469560 
        0.5350000000         0.3000000000         1.5470113301        24.8803254543       498.5064313475 
        0.5400001000         0.3000000000         1.5495602815        27.8163221783       502.3108365504 
        0.5450000000         0.3000000000         1.5521092330        30.0183197213       506.1152417532 
        0.5500000000         0.3000000000         1.5495602815        32.7708166500       502.3108365504 
        0.5550001000         0.3000000000         1.5495602815        35.5233135788       502.3108365504 
        0.5600000000         0.3000000000         1.5623050390        38.0923107122       521.3328625645 
        0.5650000000         0.3000000000         1.5572071360        40.8448076410       513.7240521588 
        0.5700001000         0.3000000000         1.5470113301        42.8633053887       498.5064313475 
        0.5750001000         0.3000000000         1.5495602815        45.2488027269       502.3108365504 
        0.5800001000         0.3000000000         1.5572071360        47.6343000652       513.7240521588 
        0.5850000000         0.3000000000         1.5572071360        50.5702967891       513.7240521588 
        0.5900000000         0.3000000000         1.5572071360        52.7722943321       513.7240521588 
        0.5950000000         0.3000000000         1.5521092330        55.5247912608       506.1152417532 
        0.6000000000         0.3000000000         1.5444623786        57.1762894181       494.7020261447 
        0.6050000000         0.3000000000         1.5495602815        60.4792857325       502.3108365504 
        0.6100000000         0.3000000000         1.5470113301        62.3142836850       498.5064313475 
        0.6150000000         0.3000000000         1.5444623786        64.5162812280       494.7020261447 
        0.6200000000         0.3000000000         1.5572071360        67.8192775425       513.7240521588 
        0.6250000000         0.3000000000         1.5495602815        69.2872759045       502.3108365504 
        0.6300000000         0.3000000000         1.5623050390        72.5902722190       521.3328625645 
        0.6350001000         0.3000000000         1.5368155241        74.0582705809       483.2888105362 
        0.6400001000         0.3000000000         1.5648539905        77.7282664859       525.1372677673 
        0.6450020000         0.3000000000         1.5572071360        79.5632644384       513.7240521588 
        0.6500001000         0.3000000000         1.5572071360        81.3982623909       513.7240521588 
        0.6550000000         0.3000000000         1.5572071360        84.5177589101       513.7240521588 
        0.6600000000         0.3000000000         1.5470113301        86.7197564531       498.5064313475 
        0.6650001000         0.3000000000         1.5546581845        89.2887535866       509.9196469560 
        0.6700000000         0.3000000000         1.5470113301        91.6742509248       498.5064313475 
        0.6750000000         0.3000000000         1.5572071360        93.8762484678       513.7240521588 
        0.6800001000         0.3000000000         1.5597560875        96.2617458060       517.5284573617 
        0.6850000000         0.3000000000         1.5572071360        99.0142427347       513.7240521588 
        0.6900000000         0.3000000000         1.5546581845       101.3997400730       509.9196469560 
        0.6950001000         0.3000000000         1.5597560875       103.9687372064       517.5284573617 
        0.7000001000         0.3000000000         1.5470113301       105.9872349542       498.5064313475 
        0.7050001000         0.3000000000         1.5572071360       108.7397318829       513.7240521588 
        0.7100000000         0.3000000000         1.5470113301       110.7582296306       498.5064313475 
        0.7150000000         0.3000000000         1.5597560875       113.6942263546       517.5284573617 
        0.7200000000         0.3000000000         1.5470113301       115.8962238976       498.5064313475 
        0.7250000000         0.3000000000         1.5597560875       118.8322206216       517.5284573617 
        0.7300000000         0.3000000000         1.5444623786       120.6672185741       494.7020261447 
        0.7350000000         0.3000000000         1.5546581845       123.7867150933       509.9196469560 
        0.7400000000         0.3000000000         1.5393644756       125.9887126363       487.0932157390 
        0.7450000000         0.3000000000         1.5597560875       128.3742099745       517.5284573617 
        0.7500000000         0.3000000000         1.5623050390       131.1267069032       521.3328625645 
        0.7550000000         0.3000000000         1.5546581845       133.5122042415       509.9196469560 
        0.7600001000         0.3000000000         1.5623050390       135.8977015797       521.3328625645 
        0.7650000000         0.3000000000         1.5623050390       138.6501985084       521.3328625645 
        0.7700000000         0.3000000000         1.5419134271       141.0356958466       490.8976209419 
        0.7750001000         0.3000000000         1.5470113301       143.0541935944       498.5064313475 
        0.7800000000         0.3000000000         1.5597560875       146.3571899089       517.5284573617 
        0.7850000000         0.3000000000         1.5546581845       148.5591874518       509.9196469560 
        0.7900001000         0.3000000000         1.5546581845       150.9446847901       509.9196469560 
        0.7950000000         0.3000000000         1.5521092330       153.3301821283       506.1152417532 
        0.8000000000         0.3000000000         1.5597560875       156.2661788523       517.5284573617 
        0.8050001000         0.3000000000         1.5470113301       157.9176770095       498.5064313475 
        0.8100000000         0.3000000000         1.5444623786       160.6701739382       494.7020261447 
        0.8150000000         0.3000000000         1.5393644756       162.6886716860       487.0932157390 
        0.8200001000         0.3000000000         1.5546581845       166.3586675909       509.9196469560 
        0.8250001000         0.3000000000         1.5495602815       168.1936655434       502.3108365504 
        0.8300001000         0.3000000000         1.5495602815       170.5791628817       502.3108365504 
        0.8350001000         0.3000000000         1.5444623786       173.6986594009       494.7020261447 
        0.8400000000         0.3000000000         1.5470113301       174.9831579676       498.5064313475 
        0.8450000000         0.3000000000         1.5521092330       178.2861542821       506.1152417532 
        0.8500000000         0.3000000000         1.5521092330       180.3046520298       506.1152417532 
        0.8550000000         0.3000000000         1.5572071360       183.2406487538       513.7240521588 
        0.8600000000         0.3000000000         1.5495602815       185.4426462968       502.3108365504 
        0.8650000000         0.3000000000         1.5546581845       187.8281436350       509.9196469560 
        0.8700000000         0.3000000000         1.5521092330       190.7641403590       506.1152417532 
        0.8750000000         0.3000000000         1.5419134271       192.2321387210       490.8976209419 
        0.8800000000         0.3000000000         1.5521092330       194.9846356497       506.1152417532 
        0.8850001000         0.3000000000         1.5521092330       197.5536327832       506.1152417532 
