           Time[sec]             ao1_Vcmd            ai2_Vgyro           ai3_Vpoten                Wgyro 
        0.0000000000         4.1000000000         1.2207455399         0.3251712096         0.1732505305 
        0.0050001000         4.1000000000         1.2207455399         0.3302684262         0.1732505305 
        0.0100000000         4.1000000000         1.2105497339         0.3226226013        -0.0923470570 
        0.0150000000         4.1000000000         1.2130986854         0.3251712096        -0.0259476601 
        0.0200000000         4.1000000000         1.2207455399         0.3302684262         0.1732505305 
        0.0250000000         4.1000000000         1.2130986854         0.3251712096        -0.0259476601 
        0.0300000000         4.1000000000         1.2207455399         0.3328170344         0.1732505305 
        0.0350000000         4.1000000000         1.2156476369         0.3251712096         0.0404517368 
        0.0400000000         4.1000000000         1.2080007824         0.3149767765        -0.1587464538 
        0.0450000000         4.1000000000         1.2258434428         0.3302684262         0.3060493242 
        0.0500000000         4.1000000000         1.2487840062         0.3251712096         0.9036438961 
        0.0550000000         4.1000000000         1.3966231924         0.3404628592         4.7548089145 
        0.0600000000         4.1000000000         1.7789659153         0.3812405915        14.7147184449 
        0.0650000000         4.1000000000         1.8197491390         0.4271155403        15.7771087948 
        0.0700000000         4.1000000000         1.8044554301         0.5086710049        15.3787124136 
        0.0750000000         4.1000000000         1.7993575272         0.5570945619        15.2459136199 
        0.0800000000         4.1000000000         1.7942596242         0.6284555934        15.1131148261 
        0.0850000000         4.1000000000         1.7738680123         0.6845249753        14.5819196512 
        0.0900000000         4.1000000000         1.7534764004         0.7354971407        14.0507244762 
        0.0950000000         4.1000000000         1.7407316430         0.7941151308        13.7187274919 
        0.1000000000         4.1000000000         1.7228889826         0.8348928631        13.2539317138 
        0.1050000000         4.1000000000         1.7203400311         0.8935108532        13.1875323169 
        0.1100000000         4.1000000000         1.7126931766         0.9444830186        12.9883341263 
        0.1150001000         4.1000000000         1.7024973707         0.9954551839        12.7227365388 
        0.1200000000         4.1000000000         1.6999484192         1.0438787410        12.6563371420 
        0.1250000000         4.1000000000         1.7203400311         1.0846564733        13.1875323169 
        0.1300001000         4.1000000000         1.7611232549         1.1509202882        14.2499226668 
        0.1350000000         4.1000000000         1.7917106727         1.1993438453        15.0467154292 
        0.1400000000         4.1000000000         1.8095533331         1.2579618355        15.5115112073 
        0.1450000000         4.1000000000         1.8146512361         1.3242256504        15.6443100011 
        0.1500000000         4.1000000000         1.8019064786         1.3701005992        15.3123130167 
        0.1550000000         4.1000000000         1.8095533331         1.4389130224        15.5115112073 
        0.1600000000         4.1000000000         1.8070043816         1.4949824043        15.4451118105 
        0.1650000000         4.1000000000         1.8222980905         1.5536003945        15.8435081917 
        0.1700000000         4.1000000000         1.8324938965         1.6096697764        16.1091057792 
        0.1750000000         4.1000000000         1.8350428480         1.6861280244        16.1755051760 
        0.1800001000         4.1000000000         1.8273959935         1.7396487980        15.9763069854 
        0.1850000000         4.1000000000         1.8350428480         1.8033640047        16.1755051760 
        0.1900000000         4.1000000000         1.8375917995         1.8619819948        16.2419045729 
        0.1950000000         4.1000000000         1.8452386539         1.9358916346        16.4411027635 
        0.2000000000         4.1000000000         1.8350428480         1.9945096247        16.1755051760 
        0.2050000000         4.1000000000         1.8350428480         2.0531276149        16.1755051760 
        0.2100001000         4.1000000000         1.8426897024         2.1193914298        16.3747033666 
        0.2150000000         4.1000000000         1.8554344599         2.1754608117        16.7067003510 
        0.2200000000         4.1000000000         1.8579834113         2.2493704515        16.7730997479 
        0.2250000000         4.1000000000         1.8528855084         2.3105370499        16.6403009541 
        0.2300000000         4.1000000000         1.8707281688         2.3895439062        17.1050967322 
        0.2350000000         4.1000000000         1.8681792173         2.4456132880        17.0386973353 
        0.2400001000         4.1000000000         1.8758260717         2.5169743195        17.2378955259 
        0.2450000000         4.1000000000         1.8605323628         2.5730437014        16.8394991447 
        0.2500000000         4.1000000000         1.8707281688         2.6495019494        17.1050967322 
        0.2550001000         4.1000000000         1.8758260717         2.7208629809        17.2378955259 
        0.2600000000         4.1000000000         1.8758260717         2.7692865380        17.2378955259 
        0.2650000000         4.1000000000         1.8707281688         2.8380989612        17.1050967322 
        0.2700000000         4.1000000000         1.8834729262         2.9120086010        17.4370937165 
        0.2750000000         4.1000000000         1.8834729262         2.9757238076        17.4370937165 
        0.2800000000         4.1000000000         1.8834729262         3.0419876226        17.4370937165 
        0.2850000000         4.1000000000         1.8834729262         3.1082514376        17.4370937165 
        0.2900001000         4.1000000000         1.8783750232         3.1694180360        17.3042949228 
        0.2950000000         4.1000000000         1.8936687321         3.2484248923        17.7026913040 
        0.3000000000         4.1000000000         1.9013155866         3.3197859237        17.9018894946 
        0.3050000000         4.1000000000         1.8860218777         3.3809525222        17.5034931134 
        0.3100000000         4.1000000000         1.8860218777         3.4497649454        17.5034931134 
        0.3150000000         4.1000000000         1.8962176836         3.5262231934        17.7690907009 
        0.3200000000         4.1000000000         1.8962176836         3.5873897918        17.7690907009 
        0.3250000000         4.1000000000         1.8962176836         3.6612994316        17.7690907009 
        0.3300000000         4.1000000000         1.8987666351         3.7326604631        17.8354900978 
        0.3350000000         4.1000000000         1.8885708292         3.7861812367        17.5698925103 
        0.3400000000         4.1000000000         1.9013155866         3.8677367012        17.9018894946 
        0.3450000000         4.1000000000         1.8860218777         3.9263546914        17.5034931134 
        0.3500001000         4.1000000000         1.8936687321         4.0002643311        17.7026913040 
        0.3550001000         4.1000000000         1.9013155866         4.0690767543        17.9018894946 
        0.3600000000         4.1000000000         1.8936687321         4.1404377858        17.7026913040 
        0.3650001000         4.1000000000         1.9038645381         4.2117988173        17.9682888915 
        0.3700000000         4.1000000000         1.9013155866         4.2780626323        17.9018894946 
        0.3750000000         4.1000000000         1.9064134896         4.3545208803        18.0346882884 
        0.3800001000         4.1000000000         1.9013155866         4.4182360870        17.9018894946 
        0.3850000000         4.1000000000         1.9089624411         4.5048887681        18.1010876852 
        0.3900000000         4.1000000000         1.9038645381         4.5737011913        17.9682888915 
        0.3950000000         4.1000000000         1.9013155866         4.6476108310        17.9018894946 
        0.4000000000         4.1000000000         1.9089624411         4.7189718625        18.1010876852 
        0.4050000000         4.1000000000         1.9064134896         4.7852356775        18.0346882884 
        0.4100000000         4.1000000000         1.9217071985         4.8769855751        18.4330846696 
        0.4150001000         4.1000000000         1.9140603440         4.9432493900        18.2338864790 
        0.4200001000         4.1000000000         1.9140603440         5.0018673802        18.2338864790 
        0.4250000000         4.1000000000         1.9064134896         4.9942215554        18.0346882884 
        0.4300000000         4.1000000000         1.9191582470         1.1101425560        18.3666852727 
        0.4350000000         4.1000000000         1.9166092955        -0.0061478651        18.3002858758 
        0.4400000000         4.1000000000         1.9217071985         0.0116923927        18.4330846696 
        0.4450000000         4.1000000000         1.9038645381         0.0652131663        17.9682888915 
        0.4500000000         4.1000000000         1.9217071985         0.1518658474        18.4330846696 
        0.4550000000         4.1000000000         1.9089624411         0.2130324459        18.1010876852 
        0.4600000000         4.1000000000         1.9268051015         0.2996851269        18.5658834633 
        0.4650000000         4.1000000000         1.9089624411         0.3684975502        18.1010876852 
        0.4700000000         4.1000000000         1.9166092955         0.4398585816        18.3002858758 
        0.4750001000         4.1000000000         1.9166092955         0.5137682214        18.3002858758 
        0.4800001000         4.1000000000         1.9268051015         0.5902264694        18.5658834633 
        0.4850000000         4.1000000000         1.9140603440         0.6513930678        18.2338864790 
        0.4900001000         4.1000000000         1.9268051015         0.7329485324        18.5658834633 
        0.4950000000         4.1000000000         1.9140603440         0.7992123473        18.2338864790 
        0.5000000000         4.1000000000         1.9268051015         0.8807678119        18.5658834633 
        0.5050001000         4.1000000000         1.9089624411         0.9419344103        18.1010876852 
        0.5100000000         4.1000000000         1.9293540529         1.0183926583        18.6322828602 
        0.5150000000         4.1000000000         1.9293540529         1.0897536898        18.6322828602 
        0.5200000000         4.1000000000         1.9217071985         1.1534688965        18.4330846696 
        0.5250000000         4.1000000000         1.9268051015         1.2299271445        18.5658834633 
        0.5300000000         4.1000000000         1.9166092955         1.2885451347        18.3002858758 
        0.5350000000         4.1000000000         1.9217071985         1.3650033827        18.4330846696 
        0.5400000000         4.1000000000         1.9242561500         1.4363644142        18.4994840665 
        0.5450000000         4.1000000000         1.9166092955         1.4975310126        18.3002858758 
        0.5500000000         4.1000000000         1.9344519559         1.5790864771        18.7650816539 
        0.5550000000         4.1000000000         1.9268051015         1.6478989004        18.5658834633 
        0.5600000000         4.1000000000         1.9242561500         1.7167113236        18.4994840665 
        0.5650000000         4.1000000000         1.9293540529         1.7982667881        18.6322828602 
