           Time[sec]          ao1_Vcmd[V]         ai2_Vgyro[V]        ai3_Vpoten[V]         Wgyro[rad/s] 
        0.0000000000         5.0000000000         1.2130986854         0.0371784754        -0.0259476601 
        0.0050000000         5.0000000000         1.2156476369         0.0295326506         0.0404517368 
        0.0100000000         5.0000000000         1.2130986854         0.0397270837        -0.0259476601 
        0.0150000000         5.0000000000         1.2207455399         0.0397270837         0.1732505305 
        0.0200001000         5.0000000000         1.2080007824         0.0320812589        -0.1587464538 
        0.0250000000         5.0000000000         1.2105497339         0.0397270837        -0.0923470570 
        0.0300000000         5.0000000000         1.2130986854         0.0397270837        -0.0259476601 
        0.0350001000         5.0000000000         1.2130986854         0.0397270837        -0.0259476601 
        0.0400000000         5.0000000000         1.2232944913         0.0448243002         0.2396499274 
        0.0450000000         5.0000000000         1.2462350547         0.0397270837         0.8372444992 
        0.0500001000         5.0000000000         1.6413225350         0.0856020325        11.1291510140 
        0.0550014000         5.0000000000         2.1383680748         0.1569630640        24.0770334035 
        0.0600000000         5.0000000000         2.0797421906         0.2436157451        22.5498472755 
        0.0650001000         5.0000000000         2.0644484817         0.3379142510        22.1514508943 
        0.0700000000         5.0000000000         2.0720953362         0.4271155403        22.3506490849 
        0.0750020000         5.0000000000         2.0466058213         0.5061223966        21.6866551162 
        0.0800000000         5.0000000000         2.0313121124         0.6004209025        21.2882587350 
        0.0850000000         5.0000000000         2.0109205005         0.6794277588        20.7570635600 
        0.0900000000         5.0000000000         1.9879799371         0.7507887903        20.1594689882 
        0.0950000000         5.0000000000         1.9777841312         0.8399900796        19.8938714007 
        0.1000000000         5.0000000000         1.9726862282         0.9113511111        19.7610726070 
        0.1050000000         5.0000000000         1.9650393737         0.9878093591        19.5618744164 
        0.1100000000         5.0000000000         1.9675883252         1.0693648237        19.6282738132 
        0.1150000000         5.0000000000         2.0058225975         1.1509202882        20.6242647663 
        0.1200000000         5.0000000000         2.0287631609         1.2146354949        21.2218593381 
        0.1250000000         5.0000000000         2.0568016272         1.3089340008        21.9522527037 
        0.1300000000         5.0000000000         2.0848400936         1.4006838984        22.6826460692 
        0.1350000000         5.0000000000         2.0771932391         1.4796907547        22.4834478786 
        0.1400000000         5.0000000000         2.0771932391         1.5586976110        22.4834478786 
        0.1450001000         5.0000000000         2.0771932391         1.6478989004        22.4834478786 
        0.1500000000         5.0000000000         2.0848400936         1.7396487980        22.6826460692 
        0.1550000000         5.0000000000         2.0822911421         1.8263014791        22.6162466724 
        0.1600001000         5.0000000000         2.0822911421         1.9155027684        22.6162466724 
        0.1650000000         5.0000000000         2.0899379966         2.0148984909        22.8154448630 
        0.1700000000         5.0000000000         2.0899379966         2.1066483885        22.8154448630 
        0.1750001000         5.0000000000         2.0899379966         2.1882038530        22.8154448630 
        0.1800001000         5.0000000000         2.0899379966         2.2723079259        22.8154448630 
        0.1850000000         5.0000000000         2.1103296084         2.3742522566        23.3466400379 
        0.1900001000         5.0000000000         2.1128785599         2.4660021542        23.4130394348 
        0.1950000000         5.0000000000         2.1026827540         2.5450090105        23.1474418473 
        0.2000000000         5.0000000000         2.1001338025         2.6367589081        23.0810424504 
        0.2050000000         5.0000000000         2.1026827540         2.7234115892        23.1474418473 
        0.2100001000         5.0000000000         2.0924869480         2.8049670537        22.8818442598 
        0.2150000000         5.0000000000         2.1001338025         2.9043627762        23.0810424504 
        0.2200000000         5.0000000000         2.1001338025         2.9910154573        23.0810424504 
        0.2250000000         5.0000000000         2.0975848510         3.0802167466        23.0146430536 
        0.2300000000         5.0000000000         2.1077806570         3.1745152525        23.2802406411 
        0.2350000000         5.0000000000         2.1026827540         3.2611679336        23.1474418473 
        0.2400001000         5.0000000000         2.1077806570         3.3478206147        23.2802406411 
        0.2450000000         5.0000000000         2.1103296084         3.4446677288        23.3466400379 
        0.2500000000         5.0000000000         2.1026827540         3.5313204099        23.1474418473 
        0.2550000000         5.0000000000         2.1052317055         3.6205216993        23.2138412442 
        0.2600000000         5.0000000000         2.1077806570         3.7173688134        23.2802406411 
        0.2650000000         5.0000000000         2.0975848510         3.7963756697        23.0146430536 
        0.2700001000         5.0000000000         2.1001338025         3.8906741756        23.0810424504 
        0.2750000000         5.0000000000         2.1001338025         3.9824240732        23.0810424504 
        0.2800000000         5.0000000000         2.1077806570         4.0741739709        23.2802406411 
        0.2850001000         5.0000000000         2.0899379966         4.1608266520        22.8154448630 
        0.2900001000         5.0000000000         2.0924869480         4.2576737661        22.8818442598 
        0.2950000000         5.0000000000         2.1103296084         4.3570694885        23.3466400379 
        0.3000001000         5.0000000000         2.1077806570         4.4513679944        23.2802406411 
        0.3050000000         5.0000000000         2.1052317055         4.5354720673        23.2138412442 
        0.3100000000         5.0000000000         2.1026827540         4.6272219649        23.1474418473 
        0.3150001000         5.0000000000         2.1077806570         4.7291662956        23.2802406411 
        0.3200000000         5.0000000000         2.1103296084         4.8234648015        23.3466400379 
        0.3250000000         5.0000000000         2.1052317055         4.9228605239        23.2138412442 
        0.3300000000         5.0000000000         2.1026827540         4.9942215554        23.1474418473 
        0.3350000000         5.0000000000         2.1077806570         4.9891243388        23.2802406411 
        0.3400000000         5.0000000000         2.1205254144         0.0091437845        23.6122376254 
        0.3450000000         5.0000000000         2.1154275114        -0.0010506486        23.4794388317 
        0.3500001000         5.0000000000         2.1179764629         0.0881506408        23.5458382285 
        0.3550001000         5.0000000000         2.1179764629         0.1849977549        23.5458382285 
        0.3600000000         5.0000000000         2.1077806570         0.2665532195        23.2802406411 
        0.3650000000         5.0000000000         2.1103296084         0.3684975502        23.3466400379 
        0.3700000000         5.0000000000         2.1052317055         0.4576988395        23.2138412442 
        0.3750000000         5.0000000000         2.1103296084         0.5519973454        23.3466400379 
        0.3800000000         5.0000000000         2.1103296084         0.6437472430        23.3466400379 
        0.3850000000         5.0000000000         2.1205254144         0.7329485324        23.6122376254 
        0.3900000000         5.0000000000         2.1052317055         0.8246984300        23.2138412442 
        0.3950001000         5.0000000000         2.1128785599         0.9164483276        23.4130394348 
        0.4000000000         5.0000000000         2.1052317055         1.0031010087        23.2138412442 
        0.4050054000         5.0000000000         2.1103296084         1.0999481229        23.3466400379 
        0.4100001000         5.0000000000         2.1026827540         1.1815035874        23.1474418473 
        0.4150001000         5.0000000000         2.1052317055         1.2732534851        23.2138412442 
        0.4200001000         5.0000000000         2.1103296084         1.3650033827        23.3466400379 
        0.4250001000         5.0000000000         2.1103296084         1.4465588472        23.3466400379 
        0.4300000000         5.0000000000         2.1128785599         1.5459545697        23.4130394348 
        0.4350000000         5.0000000000         2.1205254144         1.6428016838        23.6122376254 
        0.4400001000         5.0000000000         2.1179764629         1.7371001897        23.5458382285 
        0.4450000000         5.0000000000         2.1128785599         1.8212042625        23.4130394348 
        0.4500000000         5.0000000000         2.1052317055         1.9053083354        23.2138412442 
        0.4550000000         5.0000000000         2.1052317055         2.0021554495        23.2138412442 
        0.4600000000         5.0000000000         2.1077806570         2.0990025637        23.2802406411 
        0.4650000000         5.0000000000         2.1001338025         2.1831066365        23.0810424504 
        0.4700000000         5.0000000000         2.1205254144         2.2825023589        23.6122376254 
        0.4750001000         5.0000000000         2.1154275114         2.3589606070        23.4794388317 
        0.4800001000         5.0000000000         2.1128785599         2.4558077211        23.4130394348 
        0.4850000000         5.0000000000         2.1205254144         2.5552034435        23.6122376254 
        0.4900000000         5.0000000000         2.1103296084         2.6393075164        23.3466400379 
        0.4950000000         5.0000000000         2.1077806570         2.7310574140        23.2802406411 
        0.5000000000         5.0000000000         2.0975848510         2.8100642703        23.0146430536 
        0.5050000000         5.0000000000         2.1077806570         2.9043627762        23.2802406411 
        0.5100000000         5.0000000000         2.1103296084         2.9986612821        23.3466400379 
        0.5150000000         5.0000000000         2.1103296084         3.0929597879        23.3466400379 
        0.5200001000         5.0000000000         2.0950358995         3.1719666442        22.9482436567 
        0.5250000000         5.0000000000         2.0975848510         3.2586193253        23.0146430536 
        0.5300000000         5.0000000000         2.1103296084         3.3631122643        23.3466400379 
        0.5350001000         5.0000000000         2.1026827540         3.4446677288        23.1474418473 
        0.5400000000         5.0000000000         2.1052317055         3.5338690182        23.2138412442 
        0.5450000000         5.0000000000         2.1077806570         3.6179730910        23.2802406411 
        0.5500001000         5.0000000000         2.1154275114         3.7250146382        23.4794388317 
        0.5550000000         5.0000000000         2.1077806570         3.8091187111        23.2802406411 
        0.5600000000         5.0000000000         2.0975848510         3.9008686087        23.0146430536 
        0.5650001000         5.0000000000         2.1103296084         3.9977157229        23.3466400379 
        0.5700001000         5.0000000000         2.1001338025         4.0818197957        23.0810424504 
        0.5750001000         5.0000000000         2.1001338025         4.1761183016        23.0810424504 
        0.5800001000         5.0000000000         2.1103296084         4.2729654157        23.3466400379 
        0.5850000000         5.0000000000         2.1052317055         4.3596180968        23.2138412442 
        0.5900000000         5.0000000000         2.1077806570         4.4615624275        23.2802406411 
        0.5950000000         5.0000000000         2.1001338025         4.5380206755        23.0810424504 
        0.6000000000         5.0000000000         2.1001338025         4.6425136145        23.0810424504 
        0.6050000000         5.0000000000         2.1205254144         4.7444579452        23.6122376254 
        0.6100000000         5.0000000000         2.1052317055         4.8260134097        23.2138412442 
        0.6150103000         5.0000000000         2.1179764629         4.9407007818        23.5458382285 
        0.6200000000         5.0000000000         2.1077806570         4.9916729471        23.2802406411 
        0.6250000000         5.0000000000         2.1205254144         4.9916729471        23.6122376254 
        0.6300000000         5.0000000000         2.1179764629         0.0014979597        23.5458382285 
        0.6350000000         5.0000000000         2.1103296084        -0.0010506486        23.3466400379 
        0.6400000000         5.0000000000         2.1103296084         0.0856020325        23.3466400379 
        0.6450001000         5.0000000000         2.1077806570         0.1799005384        23.2802406411 
        0.6500000000         5.0000000000         2.1103296084         0.2843934773        23.3466400379 
        0.6550000000         5.0000000000         2.1205254144         0.3863378080        23.6122376254 
        0.6600001000         5.0000000000         2.1103296084         0.4704418809        23.3466400379 
        0.6650000000         5.0000000000         2.1077806570         0.5647403867        23.2802406411 
        0.6700000000         5.0000000000         2.1205254144         0.6615875009        23.6122376254 
        0.6750001000         5.0000000000         2.1077806570         0.7405943572        23.2802406411 
        0.6800000000         5.0000000000         2.1103296084         0.8450872962        23.3466400379 
        0.6850000000         5.0000000000         2.1103296084         0.9291913690        23.3466400379 
        0.6900001000         5.0000000000         2.1205254144         1.0260384831        23.6122376254 
        0.6950001000         5.0000000000         2.1154275114         1.1101425560        23.4794388317 
        0.7000001000         5.0000000000         2.1205254144         1.2095382784        23.6122376254 
        0.7050001000         5.0000000000         2.1205254144         1.2885451347        23.6122376254 
        0.7100000000         5.0000000000         2.1077806570         1.3751978158        23.2802406411 
        0.7150000000         5.0000000000         2.1154275114         1.4669477134        23.4794388317 
        0.7200000000         5.0000000000         2.1052317055         1.5485031779        23.2138412442 
        0.7250000000         5.0000000000         2.1077806570         1.6478989004        23.2802406411 
        0.7300000000         5.0000000000         2.1103296084         1.7396487980        23.3466400379 
        0.7350000000         5.0000000000         2.1205254144         1.8313986956        23.6122376254 
        0.7400000000         5.0000000000         2.1179764629         1.9282458098        23.5458382285 
        0.7450000000         5.0000000000         2.0975848510         2.0072526661        23.0146430536 
        0.7500000000         5.0000000000         2.0924869480         2.0964539554        22.8818442598 
        0.7550000000         5.0000000000         2.1077806570         2.2034955026        23.2802406411 
        0.7600000000         5.0000000000         2.1179764629         2.2825023589        23.5458382285 
        0.7650000000         5.0000000000         2.1205254144         2.3768008648        23.6122376254 
        0.7700001000         5.0000000000         2.1128785599         2.4660021542        23.4130394348 
        0.7750000000         5.0000000000         2.1103296084         2.5577520518        23.3466400379 
        0.7800000000         5.0000000000         2.1103296084         2.6520505577        23.3466400379 
        0.7850001000         5.0000000000         2.0975848510         2.7336060223        23.0146430536 
        0.7900000000         5.0000000000         2.1052317055         2.8304531364        23.2138412442 
        0.7950000000         5.0000000000         2.1205254144         2.9273002506        23.6122376254 
        0.8000001000         5.0000000000         2.1077806570         3.0063071069        23.2802406411 
        0.8050000000         5.0000000000         2.1154275114         3.1057028293        23.4794388317 
        0.8100000000         5.0000000000         2.1077806570         3.1923555104        23.2802406411 
        0.8150001000         5.0000000000         2.1103296084         3.2815567997        23.3466400379 
        0.8200001000         5.0000000000         2.1154275114         3.3758553056        23.4794388317 
        0.8250001000         5.0000000000         2.1103296084         3.4574107702        23.3466400379 
        0.8300001000         5.0000000000         2.0975848510         3.5440634513        23.0146430536 
        0.8350001000         5.0000000000         2.1077806570         3.6409105654        23.2802406411 
        0.8400000000         5.0000000000         2.1001338025         3.7275632465        23.0810424504 
